Name;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Notes;Language Preference
Claude Guimond, M.P.;farmer, administrator;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];1963-08-04;Rimouski, Quebec, Canada;;;;;
Michel Guimond, M.P.;lawyer;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 1998-06-17)|(1998-06-18 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];1953-12-26;Chicoutimi, Quebec, Canada;2015-01-19;;;;
Jean-François Guité;merchant;1330 days [3 year(s), 7 month(s), 21 day(s)];(1897-03-17 - 1900-11-06);1330 days [3 year(s), 7 month(s), 21 day(s)];1852-03-30;Maria, Canada East;1917-09-17;;;;
Deane Roscoe Gundlock, M.P.;farmer;5327 days [14 year(s), 7 month(s), 1 day(s)];(1958-03-31 - 1972-10-29);5327 days [14 year(s), 7 month(s), 1 day(s)];1914-08-11;Warner, Alberta, Canada;1986-09-10;;;;
Alexander Gunn, M.P.;grocery wholesaler;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];1828-10-05;Burns, Caithness, Scotland;1907-09-26;;;;
Benjamin B. Gunn;merchant;1132 days [3 year(s), 1 month(s), 6 day(s)];(1904-11-03 - 1907-12-09);1132 days [3 year(s), 1 month(s), 6 day(s)];1860-02-15;Wallacetown, Canada West;1907-12-09 (Died in Office);;;;
Gary Michael Gurbin;physician;3471 days [9 year(s), 6 month(s), 1 day(s)];(1979-05-22 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];1941-12-13;Essex, Ontario, Canada;;;;;
The Hon. Leonard Joe Gustafson, P.C., M.P., Senator;farmer, contractor, businessman;10766 days [29 year(s), 5 month(s), 22 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 1993-05-25);5118 days [14 year(s), 5 day(s)];1933-11-10;Macoun, Saskatchewan, Canada;2022-03-18;(1993-05-26 - 2008-11-10);5648 days [15 year(s), 5 month(s), 17 day(s)];;
Donald Guthrie, M.P.;lawyer;2176 days [5 year(s), 11 month(s), 15 day(s)];(1876-07-05 - 1882-06-19);2176 days [5 year(s), 11 month(s), 15 day(s)];1840-05-08;Edinburgh, Scotland;1915-10-31;;;;
The Hon. Hugh Guthrie, P.C., M.P.;lawyer;12741 days [34 year(s), 10 month(s), 19 day(s)];(1900-11-07 - 1930-08-06)|(1930-08-25 - 1935-10-13);12741 days [34 year(s), 10 month(s), 19 day(s)];1866-08-13;Guelph, Ontario, Canada;1939-11-03;;;;
Joseph-Alphonse-Anaclet Habel;businessman;5433 days [14 year(s), 10 month(s), 16 day(s)];(1953-08-10 - 1968-06-24);5433 days [14 year(s), 10 month(s), 16 day(s)];1895-07-13;Deschaillons, Quebec, Canada;1979-12-05;;;;
Edward Hackett, M.P.;merchant, accountant;4812 days [13 year(s), 2 month(s), 3 day(s)];(1878-09-17 - 1887-02-21)|(1896-06-23 - 1897-03-24)|(1900-11-07 - 1904-11-02);4812 days [13 year(s), 2 month(s), 3 day(s)];1840-07-06;Tignish, Prince Edward Island, Canada;1916-12-23;;;;
The Hon. John Thomas Hackett, M.P., Senator;lawyer;3797 days [10 year(s), 4 month(s), 23 day(s)];(1930-07-28 - 1935-10-13)|(1945-06-11 - 1949-06-26);3381 days [9 year(s), 3 month(s), 3 day(s)];1884-06-12;Stanstead, Quebec, Canada;1956-09-15 (Died in Office);(1955-07-28 - 1956-09-15);416 days [1 year(s), 1 month(s), 21 day(s)];;
George Haddow, M.P.;merchant;1620 days [4 year(s), 5 month(s), 7 day(s)];(1878-01-12 - 1882-06-19);1620 days [4 year(s), 5 month(s), 7 day(s)];1833-12-10;Douglastown, New Brunswick, Canada;1919-11-11;;;;
Albert Peter Hagar, M.P.;farmer, merchant, miller;4015 days [10 year(s), 11 month(s), 28 day(s)];(1867-09-20 - 1878-09-16);4015 days [10 year(s), 11 month(s), 28 day(s)];1827;North Plantagenet Township, Upper Canada;1924-09-14;;;;
Alexander Haggart;lawyer;1081 days [2 year(s), 11 month(s), 16 day(s)];(1908-10-26 - 1911-10-11);1081 days [2 year(s), 11 month(s), 16 day(s)];1848-01-20;Peterborough, Canada West;1927-02-19;;;;
The Hon. John Graham Haggart, P.C., M.P.;mill owner;14750 days [40 year(s), 4 month(s), 18 day(s)];(1872-10-12 - 1888-08-02)|(1888-08-15 - 1913-03-13);14750 days [40 year(s), 4 month(s), 18 day(s)];1836-11-14;Perth, Upper Canada;1913-03-13 (Died in Office);;;;
David George Hahn, M.P.;businessman;945 days [2 year(s), 7 month(s), 2 day(s)];(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];1925-05-15;Toronto, Ontario, Canada;2012-12-08;;;;
Frederick George Hahn;business executive, merchant, principal, teacher;1694 days [4 year(s), 7 month(s), 20 day(s)];(1953-08-10 - 1958-03-30);1694 days [4 year(s), 7 month(s), 20 day(s)];1911-11-03;Killaly, Saskatchewan, Canada;1963-02-05;;;;
The Hon. Stanley Haidasz, P.C., M.P., Senator;physician;13338 days [36 year(s), 6 month(s), 6 day(s)];(1957-06-10 - 1958-03-30)|(1962-06-18 - 1978-03-22);6051 days [16 year(s), 6 month(s), 24 day(s)];1923-03-04;Toronto, Ontario, Canada;2009-08-06;(1978-03-23 - 1998-03-04);7287 days [19 year(s), 11 month(s), 12 day(s)];First Canadian of Polish origin appointed to the Senate. (Source Encyclopedia of Canada's peoples);
The Hon. James Campbell Haig, Q.C., Senator;barrister, lawyer;5677 days [15 year(s), 6 month(s), 15 day(s)];;;1909-06-02;Winnipeg, Manitoba, Canada;1980-02-05;(1962-06-15 - 1977-12-29);5677 days [15 year(s), 6 month(s), 15 day(s)];;
The Hon. John Thomas Haig, P.C., Senator;lawyer;9654 days [26 year(s), 5 month(s), 6 day(s)];;;1877-12-15;Colborne, Ontario, Canada;1962-10-23;(1935-08-14 - 1962-01-17);9654 days [26 year(s), 5 month(s), 6 day(s)];;
The Hon. Patricia Hajdu, P.C., M.P.;executive director, director general;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];1966-03-11;;;;;;English
Robert Henry Halbert;farmer;2151 days [5 year(s), 10 month(s), 21 day(s)];(1919-12-09 - 1925-10-28);2151 days [5 year(s), 10 month(s), 21 day(s)];1870-10-31;Dufferin County, Ontario, Canada;1943-10-11;;;;
Frederick Harding Hale, M.P.;lumber merchant;6463 days [17 year(s), 8 month(s), 11 day(s)];(1887-02-22 - 1904-11-02);6463 days [17 year(s), 8 month(s), 11 day(s)];1844-12-08;Northampton, New Brunswick, Canada;1912-06-16;;;;
Alfred Dryden Hales;manufacturer, farmer, merchant, butcher and meat cutter;6237 days [17 year(s), 28 day(s)];(1957-06-10 - 1968-06-24)|(1968-06-25 - 1974-07-07);6237 days [17 year(s), 28 day(s)];1909-11-22;Guelph, Ontario, Canada;1998-02-22;;;;
Allen Haley, M.P.;shipbuilder, dentist, broker, shipowner, insurance agent;1400 days [3 year(s), 9 month(s), 30 day(s)];(1896-06-23 - 1900-04-23);1400 days [3 year(s), 9 month(s), 30 day(s)];1844-01-31;Yarmouth, Nova Scotia, Canada;1900-04-23 (Died in Office);;;;
Charles E. Haliburton;barrister, lawyer;888 days [2 year(s), 5 month(s), 6 day(s)];(1972-10-30 - 1974-07-07)|(1979-05-22 - 1980-02-17);888 days [2 year(s), 5 month(s), 6 day(s)];1938-04-23;Wolfville, Nova Scotia, Canada;;;;;
James Hall, M.P.;land surveyor, civil engineer;1699 days [4 year(s), 7 month(s), 25 day(s)];(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];1806-04;Clackmannanshire, Scotland;1882-10-11;;;;
Robert Newton Hall, M.P.;lawyer, dean;3180 days [8 year(s), 8 month(s), 15 day(s)];(1882-06-20 - 1891-03-04);3180 days [8 year(s), 8 month(s), 15 day(s)];1836-07-26;Laprairie, Lower Canada;1907-07-01;;;;
Robert Richard Hall;lawyer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];1865-12-10;Fenelon Township, Canada West;1938-04-08;;;;
Walter Allan Hall;physician;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];1867-08-24;Cromarty, Ontario, Canada;1944-08-04;;;;
William Samuel Hall;dentist;836 days [2 year(s), 3 month(s), 15 day(s)];(1935-10-14 - 1938-01-26);836 days [2 year(s), 3 month(s), 15 day(s)];1871-11-08;Mount Forest, Ontario, Canada;1938-01-26 (Died in Office);;;;
Martha Hall Findlay, M.P.;lawyer, entrepreneur, businesswoman;1141 days [3 year(s), 1 month(s), 15 day(s)];(2008-03-17 - 2011-05-01);1141 days [3 year(s), 1 month(s), 15 day(s)];1959-08-17;Toronto, Ontario, Canada;;;;;
Howard Hadden Halladay;farmer, insurance agent;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];1878-06-15;Elgin, Ontario, Canada;1952-01-23;;;;
Jasraj Singh Hallan, M.P.;;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;;;English
Maurice Hallé;farmer, executive secretary;3380 days [9 year(s), 3 month(s), 2 day(s)];(1940-03-26 - 1949-06-26);3380 days [9 year(s), 3 month(s), 2 day(s)];1906-02-26;Sherbrooke, Quebec, Canada;1991-04-05;;;;
Bruce Halliday, M.P.;physician;7049 days [19 year(s), 3 month(s), 18 day(s)];(1974-07-08 - 1993-10-24);7049 days [19 year(s), 3 month(s), 18 day(s)];1926-06-18;Woodstock, Ontario, Canada;2011-01-01;;;;
James Halliday;merchant, cattle dealer;1324 days [3 year(s), 7 month(s), 15 day(s)];(1901-03-20 - 1904-11-02);1324 days [3 year(s), 7 month(s), 15 day(s)];1845-04-03;Burgess Township, Canada West;1921-04-11;;;;
The Hon. George Ernest Halpenny, , P.C.;chemist;2128 days [5 year(s), 9 month(s), 28 day(s)];(1957-06-10 - 1963-04-07);2128 days [5 year(s), 9 month(s), 28 day(s)];1903-06-14;Plantagenet, Ontario, Canada;1974-05-10;;;;
René Hamel;lawyer;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];1910-02-09;Grand-Mère, Quebec, Canada;1982-12-16;;;;
Charles-André Hamelin;journalist, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];1947-04-20;;1993-07-29;;;;
Charles James Hamilton;physician;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];1855-09-15;Goderich, Canada West;1937-12-19;;;;
The Hon. Francis Alvin George Hamilton, P.C., M.P.;teacher;9899 days [27 year(s), 1 month(s), 7 day(s)];(1957-06-10 - 1968-06-24)|(1972-10-30 - 1988-11-20);9899 days [27 year(s), 1 month(s), 7 day(s)];1912-03-30;Kenora, Ontario, Canada;2004-06-29;;;;
Frank Fletcher Hamilton;farmer;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];1921-04-03;Mazenod, Saskatchewan, Canada;2008-02-01;;;;
Henry Sidney Hamilton;barrister, lawyer;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];1887-01-28;Sault Ste Marie, Ontario, Canada;1976-02-10;;;;
The Hon. John  Hamilton (1802-1882);shipowner;5467 days [14 year(s), 11 month(s), 19 day(s)];;;1802;Queenston, Upper Canada;1882-10-10 (Died in Office);(1867-10-23 - 1882-10-10);5467 days [14 year(s), 11 month(s), 19 day(s)];;
The Hon. John  Hamilton (1827-1888);lumberman;7131 days [19 year(s), 6 month(s), 8 day(s)];;;1827-12-16;Hawkesbury, Upper Canada;1888-04-03;(1867-10-23 - 1887-05-01);7131 days [19 year(s), 6 month(s), 8 day(s)];;
John Borden Hamilton, Q.C., C.M., M.P.;barrister;2779 days [7 year(s), 7 month(s), 9 day(s)];(1954-11-08 - 1962-06-17);2779 days [7 year(s), 7 month(s), 9 day(s)];1913-05-16;Barrie, Ontario, Canada;2005-11-24;;;;
The Hon. William McLean Hamilton, P.C., M.P.;business executive;3234 days [8 year(s), 10 month(s), 8 day(s)];(1953-08-10 - 1962-06-17);3234 days [8 year(s), 10 month(s), 8 day(s)];1919-02-23;Montreal, Quebec, Canada;1989-06-07;;;;
William James Hammell;farmer;1413 days [3 year(s), 10 month(s), 13 day(s)];(1921-12-06 - 1925-10-18);1413 days [3 year(s), 10 month(s), 13 day(s)];1881-06-28;Raymond, Ontario, Canada;1959-12-04;;;;
