Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;Senator;Service in Senate;MP;Service in House of Commons;Language Preference;Notes
Ovide Laflamme, M.P.;1925-12-10;Saint-Damien, Quebec, Canada;1993-06-29;judge, lawyer;4081 days [11 year(s), 2 month(s), 2 day(s)];;;(1955-09-26 - 1958-03-30)|(1965-11-08 - 1968-06-24)|(1968-06-25 - 1974-07-07);4081 days [11 year(s), 2 month(s), 2 day(s)];;
The Hon. Toussaint Antoine Rodolphe Laflamme, P.C., K.C., M.P.;1827-05-15;Montreal, Lower Canada;1893-12-07;professor, editor, lawyer;2117 days [5 year(s), 9 month(s), 17 day(s)];;;(1872-10-12 - 1876-11-08)|(1876-12-28 - 1878-09-16);2117 days [5 year(s), 9 month(s), 17 day(s)];;
Joseph-François Laflèche, , M.P.;1879-10-04;Saint-Wenceslas, Quebec, Canada;1945-06-02;pharmacist, physician, surgeon;1904 days [5 year(s), 2 month(s), 17 day(s)];;;(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;
The Hon. Léo Richer LaFlèche, P.C., M.P.;1888-04-16;Concordia, Kansas, United States;1956-03-07;senior public servant, ambassador, military, diplomat;924 days [2 year(s), 6 month(s), 11 day(s)];;;(1942-11-30 - 1945-06-10);924 days [2 year(s), 6 month(s), 11 day(s)];;
The Hon. Paul C. Lafond, Senator;1919-07-12;Hull, Quebec, Canada;1988-05-27 (Died in Office);administrator;6443 days [17 year(s), 7 month(s), 21 day(s)];(1970-10-07 - 1988-05-27);6443 days [17 year(s), 7 month(s), 21 day(s)];;;;
Joseph Lafontaine, M.P.;1885-04-04;Saint-Calixte de Somerset, Quebec, Canada;1965-12-14;gentleman, merchant;6579 days [18 year(s), 5 day(s)];;;(1940-03-26 - 1949-06-26)|(1949-06-27 - 1958-03-30);6579 days [18 year(s), 5 day(s)];;
Jean-Yves Laforest, M.P.;1949-06-13;Shawinigan, Quebec, Canada;;physical educator, school administrator;1925 days [5 year(s), 3 month(s), 8 day(s)];;;(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;
David Arthur Lafortune, K.C., M.P.;1848-10-04;Saint-Esprit, Canada East;1922-10-19 (Died in Office);lawyer;4773 days [13 year(s), 25 day(s)];;;(1909-09-25 - 1917-12-16)|(1917-12-17 - 1922-10-19);4773 days [13 year(s), 25 day(s)];;
Mario Laframboise, M.P.;1957-11-07;Notre-Dame-de-la-Paix, Quebec, Canada;;notary;3808 days [10 year(s), 5 month(s), 4 day(s)];;;(2000-11-27 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2011-05-01);3808 days [10 year(s), 5 month(s), 4 day(s)];;
Robert B. Lafrenière, M.P.;1924-03-07;Maskinongé, Quebec, Canada;2012-11-27;lawyer;1540 days [4 year(s), 2 month(s), 18 day(s)];;;(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;
Paul Lahaye, M.P.;1902-04-19;Batiscan, Quebec, Canada;1983-04-22;farmer, life insurance agent;1540 days [4 year(s), 2 month(s), 18 day(s)];;;(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;
The Hon. Arthur Laing, P.C., M.P., Senator;1904-09-09;Eburne, British Columbia, Canada;1975-02-13 (Died in Office);manager, businessman, public affairs executive;6028 days [16 year(s), 6 month(s), 1 day(s)];(1972-09-01 - 1975-02-13);896 days [2 year(s), 5 month(s), 14 day(s)];(1949-06-27 - 1953-04-30)|(1962-06-18 - 1972-08-31);5132 days [14 year(s), 19 day(s)];;
The Hon. David Laird, P.C., M.P.;1833-03-12;New Glasgow, Prince Edward Island, Canada;1914-01-12;editor, journalist;1104 days [3 year(s), 8 day(s)];;;(1873-09-29 - 1876-10-06);1104 days [3 year(s), 8 day(s)];;
The Hon. Henry Willoughby Laird, Senator;1868-01-04;Port Dover, Ontario, Canada;1940-09-30 (Died in Office);journalist, wholesaler;8644 days [23 year(s), 7 month(s), 30 day(s)];(1917-01-31 - 1940-09-30);8644 days [23 year(s), 7 month(s), 30 day(s)];;;;
The Hon. John Keith McBroom Laird, Q.C., Senator;1907-01-12;Blenheim, Ontario, Canada;1985-11-12;barrister and solicitor, author;5396 days [14 year(s), 9 month(s), 9 day(s)];(1967-04-06 - 1982-01-12);5396 days [14 year(s), 9 month(s), 9 day(s)];;;;
Charles Gérin Lajoie, M.P.;1824-12-28;Yamachiche, Lower Canada;1895-11-06;manufacturer, miller;1699 days [4 year(s), 7 month(s), 25 day(s)];;;(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];;
Claude G. Lajoie, M.P.;1928-01-26;Trois-Rivières, Quebec, Canada;2015-05-15;building contractor, businessman;4845 days [13 year(s), 3 month(s), 6 day(s)];;;(1971-05-31 - 1972-10-29)|(1972-10-30 - 1979-05-21)|(1979-05-22 - 1984-09-03);4845 days [13 year(s), 3 month(s), 6 day(s)];;
The Hon. Mike Lake, P.C., M.P.;1969-06-04;New Westminster, British Columbia, Canada;;sales director, account executive, businessman;7401 days [20 year(s), 3 month(s), 5 day(s)];;;(2006-01-23 - 2015-10-18)|(2015-10-19 - 2025-04-27)|(2025-04-28 - );7401 days [20 year(s), 3 month(s), 5 day(s)];English;
The Hon. Richard Stuart Lake, M.P.;1860-07-10;Preston, Lancashire, England;1950-04-23;farmer, public servant;2513 days [6 year(s), 10 month(s), 18 day(s)];;;(1904-11-03 - 1908-10-25)|(1908-10-26 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];;
Rick Laliberte, M.P.;1958-09-13;Île-à-la-Crosse, Saskatchewan, Canada;;school administrator;2583 days [7 year(s), 26 day(s)];;;(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;Of Métis origin.
Francine Lalonde, M.P.;1940-08-24;Saint-Hyacinthe, Quebec, Canada;2014-01-16;unionist, lecturer, teacher;6398 days [17 year(s), 6 month(s), 6 day(s)];;;(1993-10-25 - 2004-06-27)|(2004-06-28 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;
The Hon. Marc Lalonde, P.C., K.C., M.P.;1929-07-26;Île Perrot, Quebec, Canada;2023-05-06;author, lawyer;4327 days [11 year(s), 10 month(s), 5 day(s)];;;(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;
Marie-France Lalonde, M.P.;;;;politician;2381 days [6 year(s), 6 month(s), 7 day(s)];;;(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];French;
Maurice Lalonde, M.P.;1901-08-24;Montreal, Quebec, Canada;1956-06-02;lawyer;5005 days [13 year(s), 8 month(s), 14 day(s)];;;(1935-10-14 - 1949-06-26);5005 days [13 year(s), 8 month(s), 14 day(s)];;
Francis Ramsey Lalor, M.P.;1856-11-14;St. Catharines, Canada West;1929-06-24;manufacturer, merchant;6242 days [17 year(s), 1 month(s), 3 day(s)];;;(1904-11-03 - 1921-12-05);6242 days [17 year(s), 1 month(s), 3 day(s)];;
Paul-Émile Lamarche, M.P.;1881-12-21;Montreal, Quebec, Canada;1918-10-11;lawyer;1828 days [5 year(s), 2 day(s)];;;(1911-09-21 - 1916-09-21);1828 days [5 year(s), 2 day(s)];;
The Hon. Julia Verlyn (Judy) LaMarsh, P.C., Q.C., M.P.;1924-12-20;Chatham, Ontario, Canada;1980-10-27;barrister;2794 days [7 year(s), 7 month(s), 24 day(s)];;;(1960-10-31 - 1968-06-24);2794 days [7 year(s), 7 month(s), 24 day(s)];;
Charles Wesley Lamb, M.P.;1891;Prince Albert, Ontario, Canada;1965-07-12 (Died in Office);auctioneer, businessman;827 days [2 year(s), 3 month(s), 6 day(s)];;;(1963-04-08 - 1965-07-12);827 days [2 year(s), 3 month(s), 6 day(s)];;
Joseph Adrien Henri Lambert, M.P.;1913-07-15;Saint-Adrien-d'Irlande, Quebec, Canada;2003-07-23;farmer;4255 days [11 year(s), 7 month(s), 24 day(s)];;;(1968-06-25 - 1980-02-17);4255 days [11 year(s), 7 month(s), 24 day(s)];;
The Hon. Marcel Joseph Aimé Lambert, P.C., Q.C., M.P.;1919-08-21;Edmonton, Alberta, Canada;2000-09-24;lawyer;9948 days [27 year(s), 2 month(s), 25 day(s)];;;(1957-06-10 - 1984-09-03);9948 days [27 year(s), 2 month(s), 25 day(s)];;
The Hon. Norman Platt Lambert, Senator;1885-01-07;Mount Forest, Ontario, Canada;1965-11-04 (Died in Office);correspondent, journalist;10151 days [27 year(s), 9 month(s), 15 day(s)];(1938-01-20 - 1965-11-04);10151 days [27 year(s), 9 month(s), 15 day(s)];;;;
Emmanuella Lambropoulos, M.P.;1991;Ville St-Laurent, Quebec, Canada;;educator, teacher, community activist;3313 days [9 year(s), 26 day(s)];;;(2017-04-03 - );3313 days [9 year(s), 26 day(s)];English, French;
The Hon. David Lametti, P.C., K.C., M.P.;1962-08-10;Port Colborne, Ontario, Canada;;dean (associate), professor of law;3027 days [8 year(s), 3 month(s), 14 day(s)];;;(2015-10-19 - 2024-01-31);3027 days [8 year(s), 3 month(s), 14 day(s)];;
The Hon. John Henderson Lamont, M.P.;1865-11-12;Horning's Mills, Canada West;1936-03-10;lawyer;307 days [, 10 month(s), 3 day(s)];;;(1904-11-03 - 1905-09-05);307 days [, 10 month(s), 3 day(s)];;
The Hon. J. Gilles Lamontagne, P.C., O.C., C.D., C.Q., M.P.;1919-04-17;Montreal, Quebec, Canada;2016-06-14;merchant;2499 days [6 year(s), 10 month(s), 4 day(s)];;;(1977-05-24 - 1984-03-26);2499 days [6 year(s), 10 month(s), 4 day(s)];;
The Hon. Maurice Lamontagne, P.C., F.R.S.A., F.R.S.C., M.P., Senator;1917-09-07;Mont-Joli, Quebec, Canada;1983-06-12 (Died in Office);economist, professor of economics;7371 days [20 year(s), 2 month(s), 5 day(s)];(1967-04-06 - 1983-06-12);5912 days [16 year(s), 2 month(s), 7 day(s)];(1963-04-08 - 1967-04-05);1459 days [3 year(s), 11 month(s), 28 day(s)];;
The Hon. Kevin Lamoureux, P.C., M.P.;1962-01-22;Winnipeg, Manitoba, Canada;;air traffic controller;5630 days [15 year(s), 4 month(s), 29 day(s)];;;(2010-11-29 - );5630 days [15 year(s), 4 month(s), 29 day(s)];English;
The Hon. Lucien Lamoureux, P.C., Q.C., M.P.;1920-08-03;Ottawa, Ontario, Canada;1998-07-16;barrister, ambassador, lawyer;4375 days [11 year(s), 11 month(s), 22 day(s)];;;(1962-07-16 - 1968-06-24)|(1968-06-25 - 1974-07-07);4375 days [11 year(s), 11 month(s), 22 day(s)];;
Gérard Lamy, M.P.;1919-05-02;Grand-Mère, Quebec, Canada;2016-10-26;contractor;294 days [, 9 month(s), 20 day(s)];;;(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;
Edward Arthur Lancaster, K.C.;1860-09-22;London, England;1916-01-04 (Died in Office);lawyer;5537 days [15 year(s), 1 month(s), 28 day(s)];;;(1900-11-07 - 1904-11-02)|(1904-11-03 - 1916-01-04);5537 days [15 year(s), 1 month(s), 28 day(s)];;
Adélard Lanctôt, M.P.;1874-02-13;Saint-Philippe-de-Laprairie, Quebec, Canada;1919-04-17;lawyer;1659 days [4 year(s), 6 month(s), 15 day(s)];;;(1907-03-07 - 1911-09-20);1659 days [4 year(s), 6 month(s), 15 day(s)];;
Robert Lanctôt, M.P.;1963-11-19;Lachine, Quebec, Canada;;lawyer;1309 days [3 year(s), 7 month(s), 30 day(s)];;;(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;
Roch Lanctôt, M.P.;1866-01-30;Saint-Constant, Canada East;1929-05-30 (Died in Office);farmer;8975 days [24 year(s), 6 month(s), 26 day(s)];;;(1904-11-03 - 1929-05-30);8975 days [24 year(s), 6 month(s), 26 day(s)];;
The Hon. George Landerkin, M.P., Senator;1839-07-20;Simcoe, Upper Canada;1903-10-04 (Died in Office);farm worker, physician;9841 days [26 year(s), 11 month(s), 10 day(s)];(1901-02-16 - 1903-10-04);961 days [2 year(s), 7 month(s), 18 day(s)];(1872-10-12 - 1878-09-16)|(1882-06-20 - 1900-11-06);8880 days [24 year(s), 3 month(s), 23 day(s)];;
Mike Landers, M.P.;1943-04-27;Saint John, New Brunswick, Canada;;chemical dependency counsellor, lawyer;3439 days [9 year(s), 4 month(s), 30 day(s)];;;(1974-07-08 - 1979-05-21)|(1980-02-18 - 1984-09-03);3439 days [9 year(s), 4 month(s), 30 day(s)];;
John Charles Landeryou, M.P.;1905-04-02;Harriston, Ontario, Canada;1982-07-26;chef;1625 days [4 year(s), 5 month(s), 12 day(s)];;;(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;
The Hon. Auguste-Charles-Philippe-Robert Landry, K.C.S.G., M.P., Senator;1846-01-15;Québec, Canada East;1919-12-20 (Died in Office);farmer, editor, author;13242 days [36 year(s), 3 month(s), 2 day(s)];(1892-02-23 - 1919-12-20);10162 days [27 year(s), 9 month(s), 26 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;
Jean Landry, M.P.;1948-10-03;Saint-Valère, Quebec, Canada;;cook, photographer;1316 days [3 year(s), 7 month(s), 7 day(s)];;;(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;
The Hon. Joseph Gérard Lauri P. Landry, Senator;1922-06-19;Cap-Pelé, New Brunswick, Canada;2008-07-25;businessman;480 days [1 year(s), 3 month(s), 24 day(s)];(1996-02-26 - 1997-06-19);480 days [1 year(s), 3 month(s), 24 day(s)];;;;
Joseph-Armand Landry, M.P.;1918-12-14;Îles-de-la-Madeleine, Quebec, Canada;1985-03-23;manager, insurance broker, accountant;294 days [, 9 month(s), 20 day(s)];;;(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;
The Hon. Monique Landry, P.C., M.P.;1937-12-25;Montreal, Quebec, Canada;;physiotherapist, administrator, businesswoman;3338 days [9 year(s), 1 month(s), 21 day(s)];;;(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;
Sir Pierre Amand Landry, M.P.;1846-05-01;Memramcook, New Brunswick, Canada;1916-07-28;lawyer;2397 days [6 year(s), 6 month(s), 23 day(s)];;;(1883-09-22 - 1890-04-14);2397 days [6 year(s), 6 month(s), 23 day(s)];;
Robert (Bob) Edward Lane, M.P.;1933-11-29;;2025-01-13;insurance executive;272 days [, 8 month(s), 29 day(s)];;;(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;
Samuel Johnathan Lane, M.P.;1830;England;1891-01-28;barrister;1372 days [3 year(s), 9 month(s), 2 day(s)];;;(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;
The Hon. Hector Daniel Lang, Senator;1948-04-03;Dawson Creek, British Columbia, Canada;;real estate agent;3148 days [8 year(s), 7 month(s), 13 day(s)];(2009-01-02 - 2017-08-15);3148 days [8 year(s), 7 month(s), 13 day(s)];;;;
The Hon. Daniel Aiken Lang, Q.C., Senator;1919-06-13;Toronto, Ontario, Canada;1997-12-01;lawyer;11078 days [30 year(s), 3 month(s), 30 day(s)];(1964-02-14 - 1988-06-13);11078 days [30 year(s), 3 month(s), 30 day(s)];;;;
John Lang, M.P.;1839-04-10;Keene, Upper Canada;1921-11-21;farmer;4526 days [12 year(s), 4 month(s), 21 day(s)];;;(1887-02-22 - 1891-03-04)|(1896-06-23 - 1904-11-02);4526 days [12 year(s), 4 month(s), 21 day(s)];;
Malcolm Lang, M.P.;1875-02-25;Eagle, Ontario, Canada;1941-02-24;contractor, prospector;1413 days [3 year(s), 10 month(s), 13 day(s)];;;(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;
Norman Lang, M.P.;1879-08-04;Exeter, Ontario, Canada;1930-07-25;farmer, rancher;1450 days [3 year(s), 11 month(s), 19 day(s)];;;(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;
The Hon. Otto Emil Lang, P.C., K.C., M.P.;1932-05-14;Handel, Saskatchewan, Canada;;lawyer, dean;3983 days [10 year(s), 10 month(s), 27 day(s)];;;(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];;
Peter Joseph Lang, M.P.;1950-11-19;Kitchener, Ontario, Canada;;coroner, physician, psychiatrist;1660 days [4 year(s), 6 month(s), 16 day(s)];;;(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;
Joy Langan, M.P.;1943-01-23;Rossland, British Columbia, Canada;2009-07-30;copywriter, composer, journalist, director;1799 days [4 year(s), 11 month(s), 3 day(s)];;;(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;
Steven W. Langdon, M.P.;1946-07-15;Stratford, Ontario, Canada;;professor, economist, journalist;3338 days [9 year(s), 1 month(s), 21 day(s)];;;(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;
Charles Langelier, M.P.;1850-08-23;Sainte-Rosalie, Canada East;1920-02-07;journalist, lawyer;1205 days [3 year(s), 3 month(s), 18 day(s)];;;(1887-02-22 - 1890-06-10);1205 days [3 year(s), 3 month(s), 18 day(s)];;
The Hon. Sir François Charles Stanislas Langelier, M.P.;1838-12-24;Sainte-Rosalie, Lower Canada;1915-02-08;professor, lawyer, dean;4966 days [13 year(s), 7 month(s), 5 day(s)];;;(1884-06-10 - 1887-02-21)|(1887-02-22 - 1898-01-13);4966 days [13 year(s), 7 month(s), 5 day(s)];;
The Hon. Sir Hector-Louis Langevin, P.C., C.B., Q.C., M.P.;1826-08-25;Québec, Lower Canada;1906-06-11;editor, lawyer;9541 days [26 year(s), 1 month(s), 15 day(s)];;;(1867-09-20 - 1874-01-21)|(1876-01-22 - 1876-11-05)|(1877-03-23 - 1878-08-17)|(1878-11-21 - 1891-03-04)|(1891-03-05 - 1896-06-22);9541 days [26 year(s), 1 month(s), 15 day(s)];;Father of Confederation, attended the Charlottetown (Sept. 1864), Quebec (Oct. 1864) and London (Dec. 1866) conferences.
Aimé Langlois, M.P.;1880-12-06;Varennes, Quebec, Canada;1954-03-24;notary;1733 days [4 year(s), 8 month(s), 29 day(s)];;;(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;
Charles A. Langlois, M.P.;1938-03-22;Sainte-Marthe, Quebec, Canada;;administrator;1799 days [4 year(s), 11 month(s), 3 day(s)];;;(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;
François Langlois, M.P.;1948-01-06;Sainte-Claire, Quebec, Canada;;professor, lawyer, notary;1316 days [3 year(s), 7 month(s), 7 day(s)];;;(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;
The Hon. J. G. Léopold Langlois, Q.C., M.P., Senator;1913-10-02;Sainte-Anne-des-Monts, Quebec, Canada;1996-02-13;lawyer;12505 days [34 year(s), 2 month(s), 26 day(s)];(1966-07-08 - 1988-10-02);8123 days [22 year(s), 2 month(s), 27 day(s)];(1945-06-11 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;
Jean Langlois, M.P.;1824-02-16;Saint-Laurent, Ile-d'Orléans, Quebec, Lower Canada;1886-03-08;professor of criminal law, lawyer;3933 days [10 year(s), 9 month(s), 7 day(s)];;;(1867-12-11 - 1878-09-16);3933 days [10 year(s), 9 month(s), 7 day(s)];;
Joseph Langlois, M.P.;1909-04-15;Varennes, Quebec, Canada;1972-08-29;notary;3199 days [8 year(s), 9 month(s), 3 day(s)];;;(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;
Paul Langlois, M.P.;1926-12-04;Trois-Rivières, Quebec, Canada;2012-07-17;industrialist, businessman;4943 days [13 year(s), 6 month(s), 12 day(s)];;;(1965-11-08 - 1979-05-21);4943 days [13 year(s), 6 month(s), 12 day(s)];;
Raymond Langlois, M.P.;1936-04-10;Wolseley, Saskatchewan, Canada;1996-08-12;professor;2199 days [6 year(s), 8 day(s)];;;(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;
William Fitzgerald Langworthy, M.P.;1867-12-25;Manchester, England;1951-09-28;Crown Attorney, barrister;320 days [, 10 month(s), 16 day(s)];;;(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;
Gérald Laniel, M.P.;1924-08-08;Salaberry-de-Valleyfield, Quebec, Canada;2016-02-02;reservist, military, insurance broker;8114 days [22 year(s), 2 month(s), 18 day(s)];;;(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29)|(1972-10-30 - 1979-05-21)|(1979-05-22 - 1984-09-03);8114 days [22 year(s), 2 month(s), 18 day(s)];;
The Hon. Frances Lankin, P.C., Senator;;London, Ontario, Canada;;social activist, union officer, chief executive officer;3125 days [8 year(s), 6 month(s), 20 day(s)];(2016-04-01 - 2024-10-20);3125 days [8 year(s), 6 month(s), 20 day(s)];;;;
Claude Lanthier, M.P.;1933-01-24;Montreal, Quebec, Canada;2015-04-12;professor, engineer;1539 days [4 year(s), 2 month(s), 17 day(s)];;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;
Jacques Philippe Lantier, M.P.;1814-07-21;Saint-Joseph-de-Soulanges (Les Cédres), Lower Canada;1882-09-15 (Died in Office);store owner;3626 days [9 year(s), 11 month(s), 4 day(s)];;;(1872-10-12 - 1882-09-15);3626 days [9 year(s), 11 month(s), 4 day(s)];;
Georges-Émile Lapalme, M.P.;1907-01-14;Montreal, Quebec, Canada;1985-02-05;lawyer;1839 days [5 year(s), 13 day(s)];;;(1945-06-11 - 1950-06-23);1839 days [5 year(s), 13 day(s)];;
Edmond Antoine Lapierre, M.P.;1866-01-25;Montreal, Canada East;1960-06-20;sales representative;3156 days [8 year(s), 7 month(s), 21 day(s)];;;(1921-12-06 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;
The Hon. Jean-C. Lapierre, P.C., M.P.;1956-05-07;Bassin, Quebec, Canada;2016-03-29;lawyer, communicator, radio & tv host;5788 days [15 year(s), 10 month(s), 5 day(s)];;;(1979-05-22 - 1992-08-23)|(2004-06-28 - 2007-01-28);5788 days [15 year(s), 10 month(s), 5 day(s)];;
The Hon. Laurier L. LaPierre, Senator, O.C., Senator;1929-11-21;Lac Mégantic, Quebec, Canada;2012-12-16;professor, commentator, author, journalist;1258 days [3 year(s), 5 month(s), 10 day(s)];(2001-06-13 - 2004-11-21);1258 days [3 year(s), 5 month(s), 10 day(s)];;;;
Réal Lapierre, M.P.;1944-08-05;Saint-Charles de Bellechasse, Quebec, Canada;;teacher;574 days [1 year(s), 6 month(s), 26 day(s)];;;(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;
Arthur-Joseph Lapointe, M.P.;1895-02-11;Matane, Quebec, Canada;1960-01-05;station agent;3528 days [9 year(s), 7 month(s), 28 day(s)];;;(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;
