Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Language Preference;Cause of Death;Notes
Gérard Laprise, M.P.;1925-04-19;La Sarre, Quebec, Canada;carpenter;6182 days [16 year(s), 11 month(s), 3 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1979-05-21);6182 days [16 year(s), 11 month(s), 3 day(s)];2000-11-14;;;;;
James N. Lapum, M.P.;1819-07;Ernestown, Upper Canada;merchant, postmaster;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];1879-07-26;;;;;
J. James Larabee, M.P.;1885-04-10;Eldon, Prince Edward Island, Canada;shipper, merchant, blacksmith;65 days [, 2 month(s), 4 day(s)];(1935-10-14 - 1935-12-17);65 days [, 2 month(s), 4 day(s)];1954-11-28;;;;;
The Hon. Alphonse Alfred Clément LaRivière, M.P., Senator;1842-07-24;Montreal, Canada East;editor, correspondent;7902 days [21 year(s), 7 month(s), 19 day(s)];(1889-01-24 - 1904-11-02);5761 days [15 year(s), 9 month(s), 8 day(s)];1925-09-20;(1911-10-23 - 1917-09-01);2141 days [5 year(s), 10 month(s), 11 day(s)];;;
Jean-François Larose, M.P.;1972;Repentigny, Quebec, Canada;security officer, correctional services officer;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Andréanne Larouche, M.P.;;;political attaché;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;French;;
Gaby Larrivée, M.P.;1933-02-04;Québec, Quebec, Canada;businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
Frederick Hugo Larson, M.P.;1913-11-24;Lang, Saskatchewan, Canada;farmer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];1994-02-21;;;;;
Achille LaRue, M.P.;1849-10-27;Saint-Jean, Île-d'Orléans, Canada East;lawyer;879 days [2 year(s), 4 month(s), 27 day(s)];(1878-09-17 - 1881-02-11);879 days [2 year(s), 4 month(s), 27 day(s)];1922-05-01;;;;;
Joseph-Ernest-Henri LaRue, M.P.;1892-02-15;Baie-des-Sables, Quebec, Canada;notary;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];1973-10-20;;;;;
Perrault LaRue, M.P.;1925-03-31;Amqui, Quebec, Canada;dentist;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];1987-11-08;;;;;
The Hon. Walt Lastewka, P.C., M.P.;1940-10-11;Montreal, Quebec, Canada;industrial engineer, executive manager;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;;;
Alexandrine Latendresse, M.P.;1984-04-30;Montreal, Quebec, Canada;environmentalist, teacher;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Joseph-Octave Latour, M.P.;1906-02-12;Saint-Jérôme, Quebec, Canada;notary;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];1975-05-22;;;;;
Patricia Lattanzio, M.P.;;;lawyer, city councillor;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;English;;
Henry P. Latulippe, M.P.;1913-04-23;Saint-Victor de Beauce, Quebec, Canada;merchant, industrialist;4403 days [12 year(s), 20 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1974-07-07);4403 days [12 year(s), 20 day(s)];1995-10-26;;;;;
Frederick Andrew Laurence, M.P.;1843-04-23;Port Hood, Nova Scotia, Canada;lawyer;1096 days [3 year(s)];(1904-11-03 - 1907-11-03);1096 days [3 year(s)];1912-02-13;;;;;
Aldéric Laurendeau, M.P.;1890-09-25;Saint-Gabriel-de-Brandon, Quebec, Canada;physician;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];1961-01-11;;;;;
John Wimburne Laurie, M.P.;1835-10-01;London, England;soldier;1140 days [3 year(s), 1 month(s), 14 day(s)];(1887-12-15 - 1888-09-15)|(1888-10-22 - 1891-03-04);1140 days [3 year(s), 1 month(s), 14 day(s)];1912-05-19;;;;;
Romuald-Charlemagne Laurier, M.P.;1852-01-07;Saint-Lin, Canada East;merchant;2243 days [6 year(s), 1 month(s), 22 day(s)];(1900-11-07 - 1906-12-28);2243 days [6 year(s), 1 month(s), 22 day(s)];1906-12-28 (Died in Office);;;;;
Ruben Charles Laurier, M.P.;1868-12-26;Lachenaie, Quebec, Canada;physician;599 days [1 year(s), 7 month(s), 21 day(s)];(1907-03-07 - 1908-10-25);599 days [1 year(s), 7 month(s), 21 day(s)];1947-09-26;;;;;
The Right Hon. Sir Wilfrid Laurier, P.C., K.C., M.P.;1841-11-20;Saint-Lin, Canada East;lawyer;16411 days [44 year(s), 11 month(s), 5 day(s)];(1874-01-22 - 1877-10-07)|(1877-11-28 - 1919-02-17);16411 days [44 year(s), 11 month(s), 5 day(s)];1919-02-17 (Died in Office);;;;stroke;
Joseph-Georges-Philippe Laurin, M.P.;1892-07-09;Montreal, Quebec, Canada;notary;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];1964-10-06;;;;;
René Laurin, M.P.;1940-02-04;Joliette, Quebec, Canada;director general, teacher;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];2023-01-21;;;;;
Guy Lauzon, M.P.;1944-04-06;St. Andrew's West, Ontario, Canada;business manager, entrepreneur;5593 days [15 year(s), 3 month(s), 23 day(s)];(2004-06-28 - 2019-10-20);5593 days [15 year(s), 3 month(s), 23 day(s)];2025-06-22;;;;;
Stéphane Lauzon, M.P.;1966-04-27;Canada;project manager, city councillor, teacher;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;French, English;;
Carole Lavallée, M.P.;1954-01-23;Montreal, Quebec, Canada;communication consultant, journalist, communicator;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];2021-03-26;;;;;
Joseph Octave Lavallée, M.P.;1877-02-21;Berthier, Quebec, Canada;journalist, director;1696 days [4 year(s), 7 month(s), 22 day(s)];(1911-09-21 - 1916-05-12);1696 days [4 year(s), 7 month(s), 22 day(s)];1940-09-10;;;;;
John Reeve Lavell, M.P.;1857-12-11;Peterborough, Canada West;lawyer;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];1925-01-10;;;;;
Hélène Laverdière, M.P.;1955-04-13;Chicoutimi, Quebec, Canada;foreign-service officer, journalist, translator, professor of sociology;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;;;;
Herman E. Laverdière, M.P.;1927-03-13;Saint-Lazarre, Quebec, Canada;teacher;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];2001-05-21;;;;;
Joseph Lavergne, M.P.;1847-10-29;Montmagny, Canada East;editor, lawyer;3816 days [10 year(s), 5 month(s), 12 day(s)];(1887-02-22 - 1897-08-03);3816 days [10 year(s), 5 month(s), 12 day(s)];1922-01-09;;;;;
The Hon. Louis Lavergne, M.P., Senator;1845-12-01;Saint-Pierre, Canada East;editor, notary;11768 days [32 year(s), 2 month(s), 19 day(s)];(1897-11-13 - 1910-10-12);4716 days [12 year(s), 10 month(s), 29 day(s)];1931-02-15;(1910-10-13 - 1930-02);7052 days [19 year(s), 3 month(s), 21 day(s)];;;
Albert Peter Lavigne, M.P.;1908-10-09;Cornwall, Ontario, Canada;retail merchant;1239 days [3 year(s), 4 month(s), 21 day(s)];(1954-11-08 - 1958-03-30);1239 days [3 year(s), 4 month(s), 21 day(s)];1962-06-05;;;;;
Laurent Lavigne, M.P.;1935-08-10;Montreal, Quebec, Canada;farmer, teacher;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];2017-08-03;;;;;
The Hon. Raymond Lavigne, M.P., Senator;1945-11-16;Montreal, Quebec, Canada;real estate consultant, businessman;6357 days [17 year(s), 4 month(s), 26 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-06-28)|(2000-06-29 - 2002-03-25);3074 days [8 year(s), 4 month(s), 30 day(s)];;(2002-03-26 - 2011-03-21);3283 days [8 year(s), 11 month(s), 26 day(s)];;;
Henri-Edgar Lavigueur, M.P.;1867-02-16;Québec, Canada East;merchant;4606 days [12 year(s), 7 month(s), 10 day(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1930-07-27);4606 days [12 year(s), 7 month(s), 10 day(s)];1943-10-29;;;;;
Jacques Lavoie, M.P.;1936-11-04;Montreal, Quebec, Canada;radiology technician, public servant;1316 days [3 year(s), 7 month(s), 7 day(s)];(1975-10-14 - 1979-05-21);1316 days [3 year(s), 7 month(s), 7 day(s)];2000-01-20;;;;;
The Hon. Thérèse Lavoie-Roux, Senator;1928-03-12;Rivière-du-Loup, Quebec, Canada;professor, social worker, therapist;3820 days [10 year(s), 5 month(s), 16 day(s)];;;2009-01-31;(1990-09-27 - 2001-03-12);3820 days [10 year(s), 5 month(s), 16 day(s)];;;
Bowman Brown Law, M.P.;1855-07-29;Douglas, Massachusetts, United States;merchant;4811 days [13 year(s), 2 month(s), 2 day(s)];(1902-12-03 - 1916-02-03);4811 days [13 year(s), 2 month(s), 2 day(s)];1916-02-03 (Died in Office);;;;;Passed away in the fire that destroyed the Centre Block of the Parliament Buildings, Ottawa, Ont.
The Hon. Allan Frederick Lawrence, P.C., Q.C., M.P.;1925-11-08;Toronto, Ontario, Canada;barrister and solicitor;5866 days [16 year(s), 22 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1988-11-20);5866 days [16 year(s), 22 day(s)];2008-09-06;;;;;
Philip Lawrence, M.P.;;;financial planner, lawyer;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;English;;
The Hon. Edward M. Lawson, Senator;1929-09-24;Gerald, Saskatchewan, Canada;union officer;12407 days [33 year(s), 11 month(s), 19 day(s)];;;2016-02-29;(1970-10-07 - 2004-09-24);12407 days [33 year(s), 11 month(s), 19 day(s)];;;
The Hon. James Earl Lawson, P.C., M.P.;1891-10-21;Hamilton, Ontario, Canada;barrister;4166 days [11 year(s), 4 month(s), 26 day(s)];(1928-10-29 - 1935-10-13)|(1935-10-14 - 1940-03-25);4166 days [11 year(s), 4 month(s), 26 day(s)];1950-05-13;;;;;
Peter Lawson, M.P.;1821-01-10;Woodstock, Connecticut, United States;tanner;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];1911-03-22;;;;;
The Hon. Jack Layton, P.C., M.P.;1950-07-18;Montreal, Quebec, Canada;professor;2612 days [7 year(s), 1 month(s), 25 day(s)];(2004-06-28 - 2011-08-22);2612 days [7 year(s), 1 month(s), 25 day(s)];2011-08-22 (Died in Office);;;;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Father of Michael Layton, Toronto city councillor (2010-). Grandson of Gilbert Layton, Quebec cabinet minister (1936-38)."
The Hon. Robert E.J. Layton, P.C., M.P.;1925-12-25;Montreal, Quebec, Canada;engineer;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];2002-05-09;;;;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Son of Gilbert Layton, Quebec cabinet minister (1936-38). Grandfather of Michael Layton, Toronto city councillor (2010-)."
The Hon. Jean Le Moyne, O.C., Senator;1913-02-17;Montreal, Quebec, Canada;script writer, journalist, researcher, writer;1883 days [5 year(s), 1 month(s), 27 day(s)];;;1996-04-01;(1982-12-23 - 1988-02-17);1883 days [5 year(s), 1 month(s), 27 day(s)];;;
Isaac Le Vesconte, M.P.;1822-08-12;Saint-Aubins, Island of Jersey, England;seaman, merchant, spanish consular agent;1738 days [4 year(s), 9 month(s), 3 day(s)];(1869-04-20 - 1874-01-21);1738 days [4 year(s), 9 month(s), 3 day(s)];1879-10-26;;;;;
Harry Leader, M.P.;1880-03-10;Burnside, Manitoba, Canada;farmer, exporter, rancher;5284 days [14 year(s), 5 month(s), 19 day(s)];(1921-12-06 - 1925-10-28)|(1935-10-14 - 1946-05-09);5284 days [14 year(s), 5 month(s), 19 day(s)];1946-05-09 (Died in Office);;;;;
The Hon. Denis Lebel, P.C., M.P.;1954-05-26;Roberval, Quebec, Canada;politician;3615 days [9 year(s), 10 month(s), 24 day(s)];(2007-09-17 - 2015-10-18)|(2015-10-19 - 2017-08-09);3615 days [9 year(s), 10 month(s), 24 day(s)];;;;;;
Ghislain Lebel, M.P.;1946-02-17;Lévis, Quebec, Canada;notary;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];2023-01-01;;;;;
The Hon. Dominic LeBlanc, P.C., M.P.;1967-12-14;Ottawa, Ontario, Canada;lawyer, notary;9284 days [25 year(s), 5 month(s), 1 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - );9284 days [25 year(s), 5 month(s), 1 day(s)];;;;French, English;;
The Hon. Fernand-E. Leblanc, M.P., Senator;1917-07-01;Montreal, Quebec, Canada;chartered accountant;10370 days [28 year(s), 4 month(s), 21 day(s)];(1964-02-10 - 1979-03-26);5524 days [15 year(s), 1 month(s), 15 day(s)];1996-01-08;(1979-03-27 - 1992-07-01);4846 days [13 year(s), 3 month(s), 7 day(s)];;;
Francis G. LeBlanc, M.P.;1953-12-22;Margaree Forks, Nova Scotia, Canada;economist, policy analyst;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;;;
Hélène LeBlanc, M.P.;1958-03-27;Lyster, Quebec, Canada;interpretive guide - museum, project manager, agrologist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Louis Guy LeBlanc, M.P.;1921-01-23;Saint-Gabriel, Quebec, Canada;land surveyor, life insurance agent, consulting forestry engineer;2548 days [6 year(s), 11 month(s), 22 day(s)];(1965-11-08 - 1972-10-29);2548 days [6 year(s), 11 month(s), 22 day(s)];1990-09-10;;;;;
Nic Leblanc, M.P.;1941-11-15;Sainte-Monique, Quebec, Canada;businessman;4654 days [12 year(s), 8 month(s), 28 day(s)];(1984-09-04 - 1997-06-01);4654 days [12 year(s), 8 month(s), 28 day(s)];;;;;;
Olivier J. LeBlanc, M.P.;1830-11-27;Memramcook, New Brunswick, Canada;farmer;3970 days [10 year(s), 10 month(s), 14 day(s)];(1900-11-07 - 1911-09-20);3970 days [10 year(s), 10 month(s), 14 day(s)];1919-12-14;;;;;
The Right Hon. Roméo LeBlanc, P.C., M.P., Senator;1927-12-18;L'Anse-aux-Cormier, New Brunswick, Canada;lecturer, correspondent, journalist, teacher;8058 days [22 year(s), 23 day(s)];(1972-10-30 - 1984-06-28);4260 days [11 year(s), 7 month(s), 29 day(s)];2009-06-24;(1984-06-29 - 1994-11-21);3798 days [10 year(s), 4 month(s), 24 day(s)];;;First Canadian of Acadian origin appointed Governor General of Canada (1995-1999)Awarded the title of Knight in 1990 and elevated to the title of Grand Cross of the Ordre de la Pléiade in 1997.Awarded the Canadian Forces Decoration (C.D.) in 1995.
Bert Raymond Leboe, M.P.;1909-08-13;Bawlf, Alberta, Canada;lumberman;3893 days [10 year(s), 7 month(s), 28 day(s)];(1953-08-10 - 1958-03-30)|(1962-06-18 - 1968-06-24);3893 days [10 year(s), 7 month(s), 28 day(s)];1980-12-11;;;;;
The Hon. Diane Lebouthillier, P.C., M.P.;1959-02-05;Newport, Quebec, Canada;advisor, social worker, business owner;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
The Hon. Marjory LeBreton, P.C., Senator;1940-07-04;Nepean, Ontario, Canada;senior political adviser, administrative supervisor;8052 days [22 year(s), 17 day(s)];;;;(1993-06-18 - 2015-07-04);8052 days [22 year(s), 17 day(s)];;;
Pierre Leclair, M.P.;1860-09-16;Sainte-Thérèse, Canada East;lawyer;1260 days [3 year(s), 5 month(s), 12 day(s)];(1893-01-10 - 1896-06-22);1260 days [3 year(s), 5 month(s), 12 day(s)];1897-05-10;;;;;
Joseph-Hermas Leclerc, M.P.;1877-07-12;Saint-Germain, Quebec, Canada;industrialist;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];1945-10-04;;;;;
Edgar Leduc, M.P.;1888-02-04;Valleyview, Quebec, Canada;insurance broker;2806 days [7 year(s), 8 month(s), 6 day(s)];(1949-10-04 - 1953-08-09)|(1953-08-10 - 1957-06-09);2806 days [7 year(s), 8 month(s), 6 day(s)];1973-10-13;;;;;
Jean-Louis Leduc, M.P.;1918-03-07;Sainte-Victoire-de-Sorel, Quebec, Canada;professor, businessman;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];1993-08-22;;;;;
Joseph Alfred Leduc, M.P.;1868-08-02;Montreal, Quebec, Canada;meat packer, merchant;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];1957-06-24;;;;;
Joseph Gérard Yves Leduc, M.P.;1908-09-19;Montreal, Quebec, Canada;lawyer, professor of law;1470 days [4 year(s), 9 day(s)];(1954-03-22 - 1958-03-30);1470 days [4 year(s), 9 day(s)];1995-01-02;;;;;
Joseph Hector Leduc, M.P.;1864;Saint-Léonard, Canada East;merchant;2988 days [8 year(s), 2 month(s), 5 day(s)];(1891-03-05 - 1896-06-22)|(1897-12-21 - 1900-11-06);2988 days [8 year(s), 2 month(s), 5 day(s)];1901-02-22;;;;;
Rodolphe Leduc, M.P.;1902-04-11;Sarsfield, Ontario, Canada;dentist, dental surgeon;7483 days [20 year(s), 5 month(s), 26 day(s)];(1936-08-03 - 1945-06-10)|(1954-03-22 - 1965-11-07);7483 days [20 year(s), 5 month(s), 26 day(s)];1993-12-02;;;;;
Arthur John (Art) Lee, M.P.;1947-09-30;Lethbridge, Alberta, Canada;barrister and solicitor, lawyer;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;;;
Derek Vincent Lee, M.P.;1948-10-02;Halifax, Nova Scotia, Canada;lawyer;8197 days [22 year(s), 5 month(s), 10 day(s)];(1988-11-21 - 2011-05-01);8197 days [22 year(s), 5 month(s), 10 day(s)];;;;;;
Ryan Leef, M.P.;1973-12-28;Ontario, Canada;conservation officer, outdoor guide, assistant warden - correctional services, RCMP officer;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Paul Lefebvre, M.P.;1974;Kapuskasing, Ontario, Canada;tax lawyer, business owner, lawyer;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;;;
Réjean Lefebvre, M.P.;1943-06-01;Saint-Adelphe, Quebec, Canada;chief forestry worker, businessman;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;;;
The Hon. Thomas Lefebvre, M.P., Senator;1927-05-23;North Bay, Ontario, Canada;garage owner / operator;9875 days [27 year(s), 13 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1979-05-21)|(1979-05-22 - 1984-07-08);6818 days [18 year(s), 8 month(s), 1 day(s)];1992-11-20 (Died in Office);(1984-07-09 - 1992-11-20);3057 days [8 year(s), 4 month(s), 13 day(s)];;;
The Hon. J.-Eugène Lefrançois, Senator;1896-08-09;Montreal, Quebec, Canada;industrialist;9875 days [27 year(s), 13 day(s)];(1949-10-24 - 1957-04-24);2740 days [7 year(s), 6 month(s)];1979-01-13;(1957-04-25 - 1976-11-05);7135 days [19 year(s), 6 month(s), 12 day(s)];;;
Alfred Alexander Lefurgey, M.P.;1871-04-22;Summerside, Prince Edward Island, Canada;stockbroker, real estate agent, lawyer;2910 days [7 year(s), 11 month(s), 18 day(s)];(1900-11-07 - 1904-11-02)|(1904-11-03 - 1908-10-25);2910 days [7 year(s), 11 month(s), 18 day(s)];1934-11-11;;;;;
Gérard Légaré, M.P.;1908-07-11;Chicoutimi, Quebec, Canada;printer, editor, journalist, publisher;1988 days [5 year(s), 5 month(s), 10 day(s)];(1953-08-10 - 1958-03-30)|(1962-06-18 - 1963-04-07);1988 days [5 year(s), 5 month(s), 10 day(s)];1997-11-01;;;;;
Carl Legault, M.P.;1923-01-02;Sturgeon Falls, Ontario, Canada;furniture and appliances retailer, businessman;3052 days [8 year(s), 4 month(s), 8 day(s)];(1964-06-22 - 1972-10-29);3052 days [8 year(s), 4 month(s), 8 day(s)];1983-03-12;;;;;
The Hon. Antoine Joseph Léger, Senator;1880-10-16;Memramcook, New Brunswick, Canada;author, lawyer;5351 days [14 year(s), 7 month(s), 25 day(s)];;;1950-04-07 (Died in Office);(1935-08-14 - 1950-04-07);5351 days [14 year(s), 7 month(s), 25 day(s)];;;
Auguste Théophile Léger, M.P.;1852-01-04;Cocagne, New Brunswick, Canada;lumber merchant, farmer;2142 days [5 year(s), 10 month(s), 12 day(s)];(1917-12-17 - 1923-10-28);2142 days [5 year(s), 10 month(s), 12 day(s)];1923-10-28 (Died in Office);;;;;
The Hon. Aurel D. Léger, M.P., Senator;1894-11-10;Grande-Digue, New Brunswick, Canada;farmer, contractor, businessman;7948 days [21 year(s), 9 month(s), 4 day(s)];(1940-03-26 - 1953-06-11);4826 days [13 year(s), 2 month(s), 17 day(s)];1961-12-28 (Died in Office);(1953-06-12 - 1961-12-28);3122 days [8 year(s), 6 month(s), 17 day(s)];;;
Édouard H. Léger, M.P.;1866-04-23;Grande-Digue, New Brunswick, Canada;physician;740 days [2 year(s), 10 day(s)];(1890-07-31 - 1892-08-08);740 days [2 year(s), 10 day(s)];1892-08-08 (Died in Office);;;;;
The Hon. Viola Léger, Senator;1930-06-29;Fitchburg, Massachusetts, United States;actress, drama teacher, artistic director;1478 days [4 year(s), 17 day(s)];;;2023-01-28;(2001-06-13 - 2005-06-29);1478 days [4 year(s), 17 day(s)];;;
Felton Fenwick Legere, M.P.;1913-09-18;Stoney Island, Nova Scotia, Canada;lobster dealer;1834 days [5 year(s), 8 day(s)];(1958-03-31 - 1963-04-07);1834 days [5 year(s), 8 day(s)];1963-08-15;;;;;
Stuart Malcolm Leggatt, M.P.;1931-11-09;New Westminster, British Columbia, Canada;judge, lawyer;2395 days [6 year(s), 6 month(s), 21 day(s)];(1972-10-30 - 1979-05-21);2395 days [6 year(s), 6 month(s), 21 day(s)];2002-09-21;;;;;
The Hon. Joseph Hormisdas Legris, M.P., Senator;1850-05-06;Rivière-du-Loup-en-Haut (Louiseville), Canada East;farmer;14968 days [40 year(s), 11 month(s), 23 day(s)];(1891-03-05 - 1903-01-31);4350 days [11 year(s), 10 month(s), 28 day(s)];1932-03-06 (Died in Office);(1903-02-10 - 1932-03-06);10618 days [29 year(s), 26 day(s)];;;
