Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Notes;Senator;Service in Senate;Cause of Death;Language Preference
James S. Lynch, M.P.;1841;London, Canada West;physician;590 days [1 year(s), 7 month(s), 12 day(s)];(1871-03-02 - 1872-10-11);590 days [1 year(s), 7 month(s), 12 day(s)];1894-07-22;"In the first federal elections in Manitoba, held on 2 and 3 March 1871, the riding of Marquette had returned two candidates. Angus C. McKay, a Conservative, and Dr. James S. Lynch, a Liberal, received the same number of votes, 282. Both men journeyed to Ottawa, swore the oath to enter Parliament, signed the roll and took their seats in the chamber, after which they immediately withdrew. Their actions followed the procedure for dealing with controverted elections. All members ""returned upon double returns (are) to withdraw until their returns are determined."" Subsequently, the House of Commons Committee on Privileges and Elections decided in May 1872 to give the candidates six weeks to submit lists of voters whose names they questioned. Before the six-week period had elapsed and prior to a resolution, the Commons had prorogued. Thus, the Marquette seat was not occupied during the session.";;;;
The Hon. George Lynch-Staunton, Senator;1858-09-09;Southampton, Canada West;lawyer;8460 days [23 year(s), 1 month(s), 29 day(s)];;;1940-03-19 (Died in Office);;(1917-01-20 - 1940-03-19);8460 days [23 year(s), 1 month(s), 29 day(s)];;
The Hon. John Lynch-Staunton, Senator;1930-06-19;Montreal, Quebec, Canada;businessman;5384 days [14 year(s), 8 month(s), 28 day(s)];;;2012-08-17;;(1990-09-23 - 2005-06-19);5384 days [14 year(s), 8 month(s), 28 day(s)];;
Joseph Angelo Macaluso, M.P.;1931-04-06;Hamilton, Ontario, Canada;solicitor, barrister;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];2011-03-22;Of Italian origin.;;;;
The Hon. Creelman MacArthur, Senator;1874-06-12;Summerside, Prince Edward Island, Canada;merchant;6688 days [18 year(s), 3 month(s), 23 day(s)];;;1943-12-27 (Died in Office);;(1925-09-05 - 1943-12-27);6688 days [18 year(s), 3 month(s), 23 day(s)];;
The Hon. Lawrence MacAulay, P.C., M.P.;1946-09-09;St Peters Bay, Prince Edward Island, Canada;farmer;13307 days [36 year(s), 5 month(s), 6 day(s)];(1988-11-21 - 2025-04-27);13307 days [36 year(s), 5 month(s), 6 day(s)];;;;;;
Arthur Allister MacBain, Q.C., M.P.;1925-09-04;New Glasgow, Nova Scotia, Canada;barrister;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];2003-04-03;;;;;
William Burton MacDiarmid, M.P.;1875-05-23;Athol, Ontario, Canada;physician;1915 days [5 year(s), 2 month(s), 28 day(s)];(1940-03-26 - 1945-06-22);1915 days [5 year(s), 2 month(s), 28 day(s)];1947-05-13;;;;;
Albert Frederick Macdonald, M.P.;1901-06-13;Winnipeg, Manitoba, Canada;cashier, railway employee;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];1976-08-20;;;;;
Alexander Barrett Macdonald, M.P.;1918-10-21;Vancouver, British Columbia, Canada;barrister and solicitor;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];2014-03-05;;;;;
Alexander Francis Macdonald, M.P.;1818;Saint-Raphael, Upper Canada;railway contractor;1657 days [4 year(s), 6 month(s), 13 day(s)];(1874-01-22 - 1874-09-07)|(1874-10-20 - 1878-09-16);1657 days [4 year(s), 6 month(s), 13 day(s)];1913-04-12;;;;;
The Hon. Andrew Archibald MacDonald, Senator;1829-02-14;Three Rivers, Prince Edward Island, Canada;shipbuilder, shipowner;7620 days [20 year(s), 10 month(s), 11 day(s)];;;1912-03-21 (Died in Office);Father of Confederation, attended the Charlottetown (Sept. 1864) and Quebec (Oct. 1864).;(1891-05-11 - 1912-03-21);7620 days [20 year(s), 10 month(s), 11 day(s)];;
The Hon. Angus Lewis Macdonald, P.C., M.P.;1890-08-10;Dunvegan, Nova Scotia, Canada;professor, lecturer, barrister;1764 days [4 year(s), 9 month(s), 29 day(s)];(1940-08-12 - 1945-06-10);1764 days [4 year(s), 9 month(s), 29 day(s)];1954-04-13;;;;;
Angus Ronald Macdonald, M.P.;1901;Frasers Mills, Nova Scotia, Canada;retail merchant;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];1970-05-02;;;;;
Archibald John Macdonald, M.P.;1876-01-09;Lancaster, Ontario, Canada;merchant;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];1938-01-11;;;;;
The Hon. Augustine Colin Macdonald, M.P.;1837-06-30;Panmure, Prince Edward Island, Canada;merchant;6419 days [17 year(s), 6 month(s), 27 day(s)];(1873-09-29 - 1874-01-21)|(1878-09-17 - 1882-06-19)|(1883-04-26 - 1887-02-21)|(1891-03-05 - 1896-06-22)|(1896-06-23 - 1900-11-06);6419 days [17 year(s), 6 month(s), 27 day(s)];1919-07-16;;;;;
The Hon. Daniel Joseph MacDonald, P.C., M.P.;1918-07-23;Bothwell, Prince Edward Island, Canada;farmer, military, military;2621 days [7 year(s), 2 month(s), 3 day(s)];(1972-10-30 - 1979-05-21)|(1980-02-18 - 1980-09-30);2621 days [7 year(s), 2 month(s), 3 day(s)];1980-09-30 (Died in Office);;;;;
The Hon. David Samuel Horne MacDonald, P.C., M.P.;1936-08-20;Charlottetown, Prince Edward Island, Canada;clergyperson, author, ambassador;7014 days [19 year(s), 2 month(s), 13 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1980-02-17)|(1988-11-21 - 1993-10-24);7014 days [19 year(s), 2 month(s), 13 day(s)];;;;;;
The Hon. Donald Alexander Macdonald, P.C., M.P.;1817-02-17;Saint-Raphael, Upper Canada;contractor, merchant;2797 days [7 year(s), 7 month(s), 27 day(s)];(1867-09-20 - 1875-05-17);2797 days [7 year(s), 7 month(s), 27 day(s)];1896-06-10;;;;;
The Hon. Donald Stovel Macdonald, P.C., M.P.;1932-03-01;Ottawa, Ontario, Canada;diplomat, lawyer, high commissioner, ambassador;5735 days [15 year(s), 8 month(s), 13 day(s)];(1962-06-18 - 1978-02-28);5735 days [15 year(s), 8 month(s), 13 day(s)];2018-10-14;;;;;
The Hon. Edward Mortimer Macdonald, P.C., M.P.;1865-08-16;Pictou, Nova Scotia, Canada;lawyer;6535 days [17 year(s), 10 month(s), 22 day(s)];(1904-11-03 - 1917-12-16)|(1921-12-06 - 1925-10-28)|(1925-10-29 - 1926-09-13);6535 days [17 year(s), 10 month(s), 22 day(s)];1940-05-25;;;;;
The Hon. Finlay MacDonald, Senator;1923-01-04;Sydney, Nova Scotia, Canada;broadcasting executive;4763 days [13 year(s), 15 day(s)];;;2002-03-02;;(1984-12-21 - 1998-01-04);4763 days [13 year(s), 15 day(s)];;
Finlay MacDonald, K.C., M.P.;1866-11-17;Port Hawkesbury, Nova Scotia, Canada;barrister;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];1948-05-29;;;;;
The Hon. Flora Isabel MacDonald, P.C., M.P.;1926-06-03;North Sydney, Nova Scotia, Canada;consultant, tutor, administrator, secretary;5866 days [16 year(s), 22 day(s)];(1972-10-30 - 1988-11-20);5866 days [16 year(s), 22 day(s)];2015-07-26;"Of Scottish origin.
First woman to hold the post of Secretary of State for External Affairs.
Awarded the Order of Ontario (O.Ont.) in 1994
Awarded the Order of Nova Scotia (O.N.S.) in 2007.";;;;
The Hon. Sir Hugh John Macdonald, P.C., M.P.;1850-03-13;Kingston, Canada West;lawyer;1072 days [2 year(s), 11 month(s), 7 day(s)];(1891-03-05 - 1893-05-04)|(1896-06-23 - 1897-03-29);1072 days [2 year(s), 11 month(s), 7 day(s)];1929-03-29;;;;;
The Hon. John Macdonald, M.P., Senator;1824-12-27;Perth, Scotland;businessman;2034 days [5 year(s), 6 month(s), 25 day(s)];(1875-05-21 - 1878-09-16);1215 days [3 year(s), 3 month(s), 28 day(s)];1890-02-04 (Died in Office);;(1887-11-09 - 1890-02-04);819 days [2 year(s), 2 month(s), 28 day(s)];;
The Right Hon. Sir John Alexander Macdonald, P.C., Q.C., G.C.B., K.C.B., M.P.;1815-01-11;Glasgow, Scotland;lawyer;8624 days [23 year(s), 7 month(s), 10 day(s)];(1867-09-20 - 1874-11-21)|(1874-12-29 - 1878-09-16)|(1878-09-17 - 1878-10-15)|(1882-06-20 - 1887-12-29);8624 days [23 year(s), 7 month(s), 10 day(s)];1891-06-06 (Died in Office);Father of Confederation, attended the Charlottetown (Sept. 1864), Quebec (Oct. 1864) and London (Dec. 1866) conferences.;;;heart failure;
The Hon. John Alexander  Macdonald (1874-1948), P.C., M.P., Senator;1874-04-12;Tracadie, Prince Edward Island, Canada;merchant, exporter;8419 days [23 year(s), 18 day(s)];(1925-10-29 - 1935-07-19);3551 days [9 year(s), 8 month(s), 21 day(s)];1948-11-15 (Died in Office);;(1935-07-20 - 1948-11-15);4868 days [13 year(s), 3 month(s), 29 day(s)];;
The Hon. John Alexander  Macdonald (1883-1945), M.P., Senator;1883-01-03;Havre Boucher, Nova Scotia, Canada;physician;6608 days [18 year(s), 1 month(s), 4 day(s)];(1925-10-29 - 1930-08-21);1758 days [4 year(s), 9 month(s), 23 day(s)];1945-06-11 (Died in Office);;(1932-03-02 - 1945-06-11);4850 days [13 year(s), 3 month(s), 11 day(s)];;
John Augustine Macdonald, M.P.;1913-02-04;Cardigan, Prince Edward Island, Canada;merchant, produce dealer;1305 days [3 year(s), 6 month(s), 26 day(s)];(1957-06-10 - 1961-01-04);1305 days [3 year(s), 6 month(s), 26 day(s)];1961-01-04 (Died in Office);;;;;
The Hon. John Joseph MacDonald, D.C.M., Senator;1891-09-27;Glenfinnan, Prince Edward Island, Canada;farmer;4832 days [13 year(s), 2 month(s), 23 day(s)];;;1986-09-24;;(1958-01-27 - 1971-04-20);4832 days [13 year(s), 2 month(s), 23 day(s)];;
The Hon. John Michael Macdonald, Q.C., M.P., Senator;1906-05-03;North Sydney, Nova Scotia, Canada;lawyer, school principal;13511 days [36 year(s), 11 month(s), 27 day(s)];;;1997-06-20 (Died in Office);;(1960-06-24 - 1997-06-20);13511 days [36 year(s), 11 month(s), 27 day(s)];;
John Sandfield Macdonald, Q.C., M.P.;1812-12-12;Saint-Raphael, Upper Canada;lawyer;1717 days [4 year(s), 8 month(s), 13 day(s)];(1867-09-20 - 1872-06-01);1717 days [4 year(s), 8 month(s), 13 day(s)];1872-06-01 (Died in Office);;;;;
Margaret Mary Macdonald, M.P.;1910-11-17;Halifax, Nova Scotia, Canada;secretary, teacher;679 days [1 year(s), 10 month(s), 10 day(s)];(1961-05-29 - 1963-04-07);679 days [1 year(s), 10 month(s), 10 day(s)];1968-02-03;;;;;
The Hon. Michael L. MacDonald, Senator;;Louisbourg, Nova Scotia, Canada;businessman;6326 days [17 year(s), 3 month(s), 26 day(s)];;;;;(2009-01-02 - );6326 days [17 year(s), 3 month(s), 26 day(s)];;English
Peter Macdonald, M.P.;1835-08-14;Pictou County, Nova Scotia, Canada;physician;6463 days [17 year(s), 8 month(s), 11 day(s)];(1887-02-22 - 1904-11-02);6463 days [17 year(s), 8 month(s), 11 day(s)];1923-03-25;;;;;
Ronald MacDonald, M.P.;1955-06-23;New Waterford, Nova Scotia, Canada;executive;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;;;
Wilbur Bernard MacDonald, M.P.;1933-09-13;Orwell, Prince Edward Island, Canada;farmer;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];2020-05-20;;;;;
William Chisholm Macdonald, M.P.;1886-10-15;Bailey's Brook, Nova Scotia, Canada;barrister;2430 days [6 year(s), 7 month(s), 26 day(s)];(1940-03-26 - 1946-11-19);2430 days [6 year(s), 7 month(s), 26 day(s)];1946-11-19 (Died in Office);;;;;
The Hon. William John Macdonald, Senator;1832-11-29;Isle of Skye, Scotland;merchant;15827 days [43 year(s), 3 month(s), 30 day(s)];;;1916-10-25;;(1871-12-13 - 1915-04-13);15827 days [43 year(s), 3 month(s), 30 day(s)];;
The Hon. William Ross Macdonald, P.C., Q.C., M.P., Senator;1891-12-25;Toronto, Ontario, Canada;barrister;11758 days [32 year(s), 2 month(s), 9 day(s)];(1935-10-14 - 1949-06-26)|(1949-06-27 - 1953-06-11);6451 days [17 year(s), 7 month(s), 29 day(s)];1976-05-28;;(1953-06-12 - 1967-12-22);5307 days [14 year(s), 6 month(s), 11 day(s)];;
The Hon. Angus Claude Macdonell, M.P., Senator;1861-06-23;Toronto, Ontario, Canada;lawyer;5904 days [16 year(s), 1 month(s), 30 day(s)];(1904-11-03 - 1917-07-31);4654 days [12 year(s), 8 month(s), 28 day(s)];1924-04-18;;(1917-08-01 - 1921);1250 days [3 year(s), 5 month(s), 2 day(s)];;
The Hon. Archibald Hayes Macdonell, Senator;1868-02-06;Toronto, Ontario, Canada;military;6580 days [18 year(s), 6 day(s)];;;1939-11-12 (Died in Office);;(1921-11-07 - 1939-11-12);6580 days [18 year(s), 6 day(s)];;
Donald Greenfield Macdonell, M.P.;1849-07-02;Morrisburg, Canada West;lawyer;880 days [2 year(s), 4 month(s), 28 day(s)];(1880-01-22 - 1882-06-19);880 days [2 year(s), 4 month(s), 28 day(s)];1916-11-12;;;;;
George Hugh Macdonell, M.P.;1851-02-10;Toronto, Ontario, Canada West;contractor;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];1920-04-01;;;;;
John Alexander Macdonell, M.P.;1854-11-22;Dundas, Canada West;contractor, civil engineer;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];1912-10-27;;;;;
The Hon. James MacKerras Macdonnell, P.C., C.C., M.P.;1884-12-15;Kingston, Ontario, Canada;barrister, lawyer;6097 days [16 year(s), 8 month(s), 10 day(s)];(1945-06-11 - 1949-06-26)|(1949-10-24 - 1962-06-17);6097 days [16 year(s), 8 month(s), 10 day(s)];1973-07-27;;;;;
Colin Macdougall, M.P.;1834-03-03;Aldborough, Upper Canada;lawyer;1498 days [4 year(s), 1 month(s), 7 day(s)];(1874-08-11 - 1878-09-16);1498 days [4 year(s), 1 month(s), 7 day(s)];1901-10-25;;;;;
Isaac Duncan MacDougall, M.P.;1897-07-10;Strathlorne, Nova Scotia, Canada;barrister, student, journalist, auditor;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];1969-04-04;;;;;
John Alexander Frances MacDougall, M.P.;1947-04-20;Port Hood, Nova Scotia, Canada;sales representative, businessman;4031 days [11 year(s), 13 day(s)];(1982-10-12 - 1993-03-28)|(1993-03-29 - 1993-10-24);4031 days [11 year(s), 13 day(s)];;;;;;
John Lorne MacDougall, M.P.;1898-11-18;Tiverton, Ontario, Canada;dentist, organizer, executive;2537 days [6 year(s), 11 month(s), 11 day(s)];(1949-06-27 - 1956-06-06);2537 days [6 year(s), 11 month(s), 11 day(s)];1956-06-06 (Died in Office);;;;;
Day Hort Macdowall, M.P.;1850;Carruth House, Renfrewshire, Scotland;lumber merchant;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];1927-10-28;;;;;
The Hon. Allan Joseph MacEachen, P.C., M.P., Senator;1921-07-06;Inverness, Nova Scotia, Canada;professor, economist;14132 days [38 year(s), 8 month(s), 10 day(s)];(1953-08-10 - 1958-03-30)|(1962-06-18 - 1968-06-24)|(1968-06-25 - 1984-06-28);9741 days [26 year(s), 8 month(s), 2 day(s)];2017-09-12;Of Scottish origin.;(1984-06-29 - 1996-07-06);4391 days [12 year(s), 8 day(s)];;
Howard Russell MacEwan, Q.C., M.P.;1925-05-08;Westville, Nova Scotia, Canada;barrister and solicitor;4967 days [13 year(s), 7 month(s), 6 day(s)];(1957-06-10 - 1968-06-24)|(1968-06-25 - 1971-01-14);4967 days [13 year(s), 7 month(s), 6 day(s)];2008-06-29;;;;;
The Hon. Alexander Macfarlane, Senator;1818-06-17;Wallace, Nova Scotia, Canada;lawyer;10293 days [28 year(s), 2 month(s), 5 day(s)];;;1898-12-14 (Died in Office);;(1870-10-10 - 1898-12-14);10293 days [28 year(s), 2 month(s), 5 day(s)];;
Angus (Gus) MacFarlane, M.P.;1925-02-19;Montreal, Quebec, Canada;dean of men, consultant, coach;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];1991-02-22;;;;;
Robert MacFarlane, M.P.;1835-03-23;Pakenham, Upper Canada;lawyer;1717 days [4 year(s), 8 month(s), 13 day(s)];(1867-09-20 - 1872-06-01);1717 days [4 year(s), 8 month(s), 13 day(s)];1872-06-01 (Died in Office);;;;;
Alistair MacGregor, M.P.;;Victoria, British Columbia, Canada;political assistant;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
The Hon. Mark Rudolph MacGuigan, P.C., M.P.;1931-02-17;Charlottetown, Prince Edward Island, Canada;professor of law, lawyer, judge;5849 days [16 year(s), 5 day(s)];(1968-06-25 - 1984-06-29);5849 days [16 year(s), 5 day(s)];1998-01-12;Son of Mark Rudolph MacGuigan Sr., Member of the Legislative Assembly of Prince Edward Island for the Liberal Party of Prince Edward Island [for the constituency of 3rd Queen], elected in 1935, 1939 & 1943.);;;;
The Hon. Donald MacInnes, Senator;1824-05-26;Oban, Argyleshire, Scotland;merchant;6918 days [18 year(s), 11 month(s), 9 day(s)];;;1900-12-02 (Died in Office);;(1881-12-24 - 1900-12-02);6918 days [18 year(s), 11 month(s), 9 day(s)];;
Angus MacInnis, M.P.;1884-09-02;Glen William, Prince Edward Island, Canada;unionist, motorman;9814 days [26 year(s), 10 month(s), 14 day(s)];(1930-07-28 - 1935-10-13)|(1935-10-14 - 1953-08-09)|(1953-08-10 - 1957-06-09);9814 days [26 year(s), 10 month(s), 14 day(s)];1964-03-03;;;;;
Donald MacInnis, M.P.;1918-08-21;Glace Bay, Nova Scotia, Canada;miner;5943 days [16 year(s), 3 month(s), 8 day(s)];(1957-06-10 - 1962-06-17)|(1963-04-08 - 1968-06-24)|(1968-06-25 - 1974-07-07);5943 days [16 year(s), 3 month(s), 8 day(s)];2007-05-09;;;;;
Malcolm MacInnis, M.P.;1933-05-22;Halifax, Nova Scotia, Canada;educator, sociologist;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;;;
Winona Grace MacInnis, M.P.;1905-07-25;Winnipeg, Manitoba, Canada;homemaker, writer, teacher;3164 days [8 year(s), 7 month(s), 29 day(s)];(1965-11-08 - 1974-07-07);3164 days [8 year(s), 7 month(s), 29 day(s)];1991-07-10;Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 1979.;;;;
The Hon. Bryce Stuart Mackasey, P.C., M.P.;1921-08-25;Québec, Quebec, Canada;manufacturer, merchant, businessman;6906 days [18 year(s), 10 month(s), 28 day(s)];(1962-06-18 - 1976-10-27)|(1980-02-18 - 1984-09-03);6906 days [18 year(s), 10 month(s), 28 day(s)];1999-09-05;;;;;
The Hon. Elmer MacIntosh MacKay, P.C., K.C., M.P.;1936-08-05;Hopewell, Nova Scotia, Canada;barrister and solicitor, lawyer;7737 days [21 year(s), 2 month(s), 6 day(s)];(1971-05-31 - 1983-06-15)|(1984-09-04 - 1993-10-24);7737 days [21 year(s), 2 month(s), 6 day(s)];;;;;;
Newton LeGayet Mackay, M.P.;1832;Halifax, Nova Scotia, Canada;lawyer;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];1886-05-20;;;;;
The Hon. Peter Gordon MacKay, P.C., K.C., M.P.;1965-09-27;New Glasgow, Nova Scotia, Canada;Crown Attorney, lawyer;6713 days [18 year(s), 4 month(s), 17 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2015-10-18);6713 days [18 year(s), 4 month(s), 17 day(s)];;;;;;
The Hon. Robert Mackay, Senator;1840-02-24;Caithness, Scotland;wholesaler;5818 days [15 year(s), 11 month(s), 4 day(s)];;;1916-12-25 (Died in Office);;(1901-01-21 - 1916-12-25);5818 days [15 year(s), 11 month(s), 4 day(s)];;
The Hon. David McKeen, M.P., Senator;1839-09-20;Mabou, Nova Scotia, Canada;merchant;10426 days [28 year(s), 6 month(s), 16 day(s)];(1887-02-22 - 1896-01-15);3250 days [8 year(s), 10 month(s), 24 day(s)];1916-11-13;;(1896-02-21 - 1915-10-15);7176 days [19 year(s), 7 month(s), 23 day(s)];;
John Armstrong MacKelvie, M.P.;1865-09-14;Saint John, New Brunswick, Canada;editor, journalist;1291 days [3 year(s), 6 month(s), 12 day(s)];(1920-11-22 - 1924-06-04);1291 days [3 year(s), 6 month(s), 12 day(s)];1924-06-04 (Died in Office);;;;;
The Hon. Alexander Mackenzie, P.C., M.P.;1822-01-28;Logierait, Perthshire, Scotland;stonemason, editor, businessman;8977 days [24 year(s), 6 month(s), 28 day(s)];(1867-09-20 - 1882-06-19)|(1882-06-20 - 1892-04-17);8977 days [24 year(s), 6 month(s), 28 day(s)];1892-04-17 (Died in Office);Of Scottish origin.;;;stroke;
Dave MacKenzie, M.P.;1946-06-12;London, Ontario, Canada;police chief, director general, businessman;6788 days [18 year(s), 7 month(s), 1 day(s)];(2004-06-28 - 2023-01-27);6788 days [18 year(s), 7 month(s), 1 day(s)];;;;;;
Frederick Mackenzie, M.P.;1841-04-10;Montreal, Canada East;lawyer;522 days [1 year(s), 5 month(s), 5 day(s)];(1874-01-22 - 1874-10-22)|(1874-12-10 - 1875-08-14);522 days [1 year(s), 5 month(s), 5 day(s)];1889-07-02;;;;;
Frederick Donald MacKenzie, M.P.;1882-12-18;Presqu'île, Ontario, Canada;school principal, teacher;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];1970-10-13;;;;;
Hugh Alexander MacKenzie, M.P.;1882-08-07;Warwick, Ontario, Canada;farmer;6433 days [17 year(s), 7 month(s), 11 day(s)];(1935-10-14 - 1945-06-10)|(1949-06-27 - 1957-06-09);6433 days [17 year(s), 7 month(s), 11 day(s)];1970-01-08;;;;;
The Right Hon. Ian Alistair Mackenzie, P.C., M.P., Senator;1890-07-27;Assynt, Scotland;barrister;6977 days [19 year(s), 1 month(s), 7 day(s)];(1930-07-28 - 1948-01-18);6384 days [17 year(s), 5 month(s), 23 day(s)];1949-09-02 (Died in Office);;(1948-01-19 - 1949-09-02);593 days [1 year(s), 7 month(s), 15 day(s)];;
The Hon. Norman Archibald MacRae MacKenzie, Q.C., Senator;1894-01-05;Pugwash, Nova Scotia, Canada;professor, author, lawyer;1047 days [2 year(s), 10 month(s), 13 day(s)];;;1986-01-26;;(1966-02-24 - 1969-01-05);1047 days [2 year(s), 10 month(s), 13 day(s)];;
Henry Arthur Mackie, M.P.;1878-01-17;Cookshire, Quebec, Canada;lawyer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];1945-11-16;;;;;
Herbert John Mackie, M.P.;1876-01-08;Pembroke, Ontario, Canada;lumber merchant, businessman;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];1947-01-01;;;;;
Thomas Mackie, M.P.;1840;Ottawa, Canada West;lumber merchant;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];1905-05-21;;;;;
