Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Senator;Service in Senate;Notes
The Hon. James Alexander Jerome, P.C., Q.C., M.P.;1933-03-04;Kingston, Ontario, Canada;2005-08-21;lawyer, judge;4255 days [11 year(s), 7 month(s), 24 day(s)];(1968-06-25 - 1980-02-17);4255 days [11 year(s), 7 month(s), 24 day(s)];;;;
The Hon. Duncan James Jessiman, Q.C., Senator;1923-06-05;Winnipeg, Manitoba, Canada;2006-04-19;barrister, lawyer;1837 days [5 year(s), 11 day(s)];;;;(1993-05-26 - 1998-06-05);1837 days [5 year(s), 11 day(s)];
The Hon. Sir Louis-Amable Jetté, M.P.;1836-01-15;L'Assomption, Lower Canada;1920-05-05;editor, lawyer;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;;
The Hon. Pauline Jewett, P.C., M.P.;1922-12-11;St Catharines, Ontario, Canada;1992-07-05;professor, political scientist, administrator;4416 days [12 year(s), 1 month(s), 3 day(s)];(1963-04-08 - 1965-11-07)|(1979-05-22 - 1988-11-20);4416 days [12 year(s), 1 month(s), 3 day(s)];;;;First woman President of a Canadian university (Simon Fraser University, British Columbia, 1975).
Christian Jobin, M.P.;1952-04-07;Québec, Quebec, Canada;;accountant;378 days [1 year(s), 13 day(s)];(2003-06-16 - 2004-06-27);378 days [1 year(s), 13 day(s)];;;;
;;;;;;;;;;;
The Hon. Mariana Beauchamp Jodoin, M.B.E., Senator;1881-11-29;Montreal, Quebec, Canada;1980-01-04;;4762 days [13 year(s), 14 day(s)];;;;(1953-05-19 - 1966-06-01);4762 days [13 year(s), 14 day(s)];The first francophone woman and the first woman from Quebec named to the Senate
Gord Johns, M.P.;1969;Victoria, British Columbia, Canada;;executive director, business owner, entrepreneur;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];English;;;
Alan Arthur Johnson;1939-04-13;Montreal, Quebec, Canada;;geologist, manager;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. Janis G. Johnson, C.M., Senator;1946-04-27;Winnipeg, Manitoba, Canada;;public affairs consultant, political officer;9498 days [26 year(s), 2 day(s)];;;;(1990-09-27 - 2016-09-27);9498 days [26 year(s), 2 day(s)];First woman to hold the position of National Director for the Progressive Conservative Party of Canada.Daughter of George Johnson, member of the Legislative Assembly of Manitoba and Minister of Crown (1958-1969), and Lieutenant-Governor of Manitoba (1986-1993).Awarded the Order of Manitoba in 2023.
John Mercer Johnson, M.P.;1818-10;Liverpool, England;1868-11-08 (Died in Office);lawyer;416 days [1 year(s), 1 month(s), 21 day(s)];(1867-09-20 - 1868-11-08);416 days [1 year(s), 1 month(s), 21 day(s)];;;;Father of Confederation, attended the Charlottetown (Sept. 1864), Quebec (Oct. 1864) and London (Dec. 1866) conferences.
Morrissey Johnson;1932-10-21;Little Catalina, Newfoundland;2003-07-14;master mariner, business manager, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Paul Léo Maurice Johnson, M.P.;1929-01-17;;2020-01-24;lawyer;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;Brother of Daniel Johnson (Father), Quebec Premier (1966-1968).Uncle of Pierre Marc Johnson, Quebec Premier (1985) and of Daniel Johnson (Son), Quebec Premier (1994).
Robert Milton Johnson;1879-01-26;Collingwood Township, Ontario, Canada;1943-07-25;farmer;444 days [1 year(s), 2 month(s), 18 day(s)];(1921-12-06 - 1923-02-22);444 days [1 year(s), 2 month(s), 18 day(s)];;;;
Willis Merwyn (Merv) Johnson;1923-05-09;Kindersley, Saskatchewan, Canada;2019-07-14;farmer;1694 days [4 year(s), 7 month(s), 20 day(s)];(1953-08-10 - 1958-03-30);1694 days [4 year(s), 7 month(s), 20 day(s)];;;;
Alexander Johnston;1867-04-24;Richmond County, Nova Scotia, Canada;1951-11-30;journalist;2911 days [7 year(s), 11 month(s), 19 day(s)];(1900-11-07 - 1904-11-02)|(1904-11-03 - 1908-10-26);2911 days [7 year(s), 11 month(s), 19 day(s)];;;;
Charles Edward Johnston;1899-02-12;Bay Mills, Michigan, United States;1971-12-01;teacher;8204 days [22 year(s), 5 month(s), 17 day(s)];(1935-10-14 - 1958-03-30);8204 days [22 year(s), 5 month(s), 17 day(s)];;;;
The Hon. Donald James Johnston, P.C., Q.C., O.C., M.P.;1936-06-26;Ottawa, Ontario, Canada;2022-02-04;lawyer, writer, teacher;3689 days [10 year(s), 1 month(s), 7 day(s)];(1978-10-16 - 1979-05-21)|(1979-05-22 - 1988-11-20);3689 days [10 year(s), 1 month(s), 7 day(s)];;;;
F. Dale Johnston, M.P.;1941-11-14;Ponoka, Alberta, Canada;;farmer;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;
Howard Earl Johnston, M.P.;1928-06-13;Enderby, British Columbia, Canada;2001-06-05;teacher;2739 days [7 year(s), 5 month(s), 30 day(s)];(1965-11-08 - 1968-06-24)|(1974-07-08 - 1979-05-21);2739 days [7 year(s), 5 month(s), 30 day(s)];;;;
The Hon. John Frederick Johnston, M.P., Senator;1876-07-16;Bogarttown, Ontario, Canada;1948-05-09 (Died in Office);farmer, businessman, rancher;7910 days [21 year(s), 7 month(s), 27 day(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1930-07-27)|(1935-10-14 - 1940-03-25);6231 days [17 year(s), 22 day(s)];;(1943-10-05 - 1948-05-09);1679 days [4 year(s), 7 month(s), 5 day(s)];
Joseph Allan Johnston;1904-09-28;London, Ontario, Canada;1974-05-15;merchant;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;
Robert Johnston;1856-11-21;Caledon Township, Canada West;1913-09-25;farmer;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
Thomas George Johnston;1849-08-04;Sarnia, Canada West;1905-07-04 (Died in Office);physician;2394 days [6 year(s), 6 month(s), 20 day(s)];(1898-12-14 - 1905-07-04);2394 days [6 year(s), 6 month(s), 20 day(s)];;;;
The Hon. Archibald Hynd Johnstone, Senator;1924-06-12;Burlington, Prince Edward Island, Canada;2014-11-08;businessman;464 days [1 year(s), 3 month(s), 8 day(s)];;;;(1998-03-06 - 1999-06-12);464 days [1 year(s), 3 month(s), 8 day(s)];
Lewis Wilkieson Johnstone,;1862-04-10;Sydney, Nova Scotia, Canada;1936-03-09;physician, surgeon;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;
Georgina Jolibois, M.P.;1968;La Loche, Saskatchewan, Canada;;mayor;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
The Hon. Mélanie Joly, P.C., M.P.;1979-01-16;Montreal, Quebec, Canada;;director of public relations, lawyer;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];French, English;;;
The Hon. Sir Henri Gustave Joly de Lotbinière, P.C., M.P.;1829-12-05;Epernay, France;1908-11-16;lawyer;3913 days [10 year(s), 8 month(s), 18 day(s)];(1867-09-20 - 1874-01-21)|(1896-06-23 - 1900-11-06);3913 days [10 year(s), 8 month(s), 18 day(s)];;;;
Jean-Luc Joncas, M.P.;1936-12-16;Amqui, Quebec, Canada;;businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Louis Zéphirin Joncas, M.P.;1846-07-26;Grande-Rivière, Canada East;1903-03-28;manager, agent, journalist, teacher, accountant;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];;;;
The Hon. Alfred Gilpin Jones, P.C., M.P.;1824-09-24;Weymouth, Nova Scotia, Canada;1906-03-15;merchant;4992 days [13 year(s), 8 month(s), 1 day(s)];(1867-09-20 - 1872-10-11)|(1874-01-22 - 1877-12-31)|(1878-01-29 - 1878-09-16)|(1887-02-22 - 1891-03-04);4992 days [13 year(s), 8 month(s), 1 day(s)];;;;
David Ford Jones, M.P.;1818-08-22;Brockville, Upper Canada;1887-02-20;manufacturer;3071 days [8 year(s), 4 month(s), 27 day(s)];(1874-01-22 - 1882-06-19);3071 days [8 year(s), 4 month(s), 27 day(s)];;;;
Eloise May Jones, F.R.C.S.C., M.P.;1917-09-07;Avonmore, Ontario, Canada;2004-03-08;homemaker, physician, professor (assistant), psychiatrist;504 days [1 year(s), 4 month(s), 17 day(s)];(1964-06-22 - 1965-11-07);504 days [1 year(s), 4 month(s), 17 day(s)];;;;
Francis Jones, M.P.;1815-11-01;Ballakillane, County Carlow, Ireland;1887-08-02;land surveyor, civil engineer;2316 days [6 year(s), 4 month(s), 3 day(s)];(1867-09-20 - 1874-01-21);2316 days [6 year(s), 4 month(s), 3 day(s)];;;;
The Hon. George Burpee Jones, P.C., M.P., Senator;1866-01-09;Belleisle Bay, New Brunswick, Canada;1950-04-27 (Died in Office);business executive, merchant;10295 days [28 year(s), 2 month(s), 7 day(s)];(1921-12-06 - 1932-04-12)|(1932-06-27 - 1935-07-19);4899 days [13 year(s), 4 month(s), 29 day(s)];;(1935-07-20 - 1950-04-27);5396 days [14 year(s), 9 month(s), 9 day(s)];
Henry Frank Jones;1920-08-21;Lloydminster, Saskatchewan, Canada;1964-03-04 (Died in Office);barrister and solicitor;2460 days [6 year(s), 8 month(s), 26 day(s)];(1957-06-10 - 1964-03-04);2460 days [6 year(s), 8 month(s), 26 day(s)];;;;
Herbert Ladd Jones, M.P.;1858-01-09;Weymouth, Nova Scotia, Canada;1921-12-09;lumberman, merchant, shipowner;1328 days [3 year(s), 7 month(s), 19 day(s)];(1887-07-16 - 1891-03-04);1328 days [3 year(s), 7 month(s), 19 day(s)];;;;
Jim Jones, M.P.;1943-02-04;Warwick, Ontario, Canada;;manager, market manager, accountant;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;
The Hon. John Walter Jones, Senator;1878-04-14;Pownal, Prince Edward Island, Canada;1954-03-31 (Died in Office);farmer, author, principal, teacher;317 days [, 10 month(s), 13 day(s)];;;;(1953-05-19 - 1954-03-31);317 days [, 10 month(s), 13 day(s)];
Leonard C. Jones;1924-06-04;Moncton, New Brunswick, Canada;1998-06-23;barrister, lawyer;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;
Sir Lyman Melvin Jones, Senator;1843-09-21;York County, Canada West;1917-04-15 (Died in Office);manager;5929 days [16 year(s), 2 month(s), 24 day(s)];;;;(1901-01-21 - 1917-04-15);5929 days [16 year(s), 2 month(s), 24 day(s)];
Owen Lewis Jones;1890-02-06;Newborough, Anglesey, Wales;1964-11-05;merchant;3297 days [9 year(s), 10 day(s)];(1948-05-31 - 1953-08-09)|(1953-08-10 - 1957-06-09);3297 days [9 year(s), 10 day(s)];;;;
Yvonne Jones, M.P.;1968-03-15;Mary's Harbour, Newfoundland and Labrador, Canada;;journalist, entrepreneur;4368 days [11 year(s), 11 month(s), 15 day(s)];(2013-05-13 - 2025-04-27);4368 days [11 year(s), 11 month(s), 15 day(s)];;;;
The Hon. Bernadette Jordan, P.C., M.P.;1963-04-07;Montreal, Quebec, Canada;;community development officer, fundraiser, community activist, diplomat, consul general;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;
Jim Jordan, M.P.;1928-09-02;Marlbank, Ontario, Canada;2012-09-18;school administrator, teacher;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;
The Hon. Joe Louis Jordan, P.C., M.P.;1958-11-19;Pembroke, Ontario, Canada;;professor, businessman;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
Warner Herbert Jorgenson;1918-03-26;Canora, Saskatchewan, Canada;2005-07-30;farmer;4033 days [11 year(s), 15 day(s)];(1957-06-10 - 1968-06-24);4033 days [11 year(s), 15 day(s)];;;;
Fernand Jourdenais;1933-03-25;Montreal, Quebec, Canada;2016-02-29;trader, businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Majid Jowhari, M.P.;1960-10-24;Yusef Abad, Tehran, Iran;;business consultant;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;
The Hon. Serge Joyal, P.C., Senator;;Montreal, Quebec, Canada;;lawyer;11813 days [32 year(s), 4 month(s), 3 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;(1997-11-26 - 2020-01-31);8102 days [22 year(s), 2 month(s), 6 day(s)];
Peter Julian, M.P.;1962-04-16;New Westminster, British Columbia, Canada;;executive director, manual worker, financial administrator;7609 days [20 year(s), 9 month(s), 30 day(s)];(2004-06-28 - 2015-10-18)|(2015-10-19 - 2025-04-27);7609 days [20 year(s), 9 month(s), 30 day(s)];;;;
Douglas Jung, C.M., C.D.;1924-02-25;Victoria, British Columbia, Canada;2002-01-04;solicitor, barrister;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;First Canadian of Chinese origin elected to the House of Commons. (Source Encyclopedia of Canada's peoples)
George Alexander (Alex) Jupp;1927-05-30;Arcola, Saskatchewan, Canada;2018-11-23;businessman, teacher;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
René Jutras;1913-09-30;Letellier, Manitoba, Canada;1995-12-23;farmer, teacher;6285 days [17 year(s), 2 month(s), 15 day(s)];(1940-03-26 - 1957-06-09);6285 days [17 year(s), 2 month(s), 15 day(s)];;;;
Susan Kadis, M.P.;1953-01-11;Toronto, Ontario, Canada;;volunteer worker, newspaper publisher;1569 days [4 year(s), 3 month(s), 17 day(s)];(2004-06-28 - 2008-10-13);1569 days [4 year(s), 3 month(s), 17 day(s)];;;;
Thomas Erlin Kaiser, M.P.;1863-02-16;York County, Canada West;1940-02-29;physician, author;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;;;
Randy Kamp, M.P.;1953-08-30;Salmon Arm, British Columbia, Canada;;store manager, clergyperson, executive assistant, linguist;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2004-08-31)|(2004-09-01 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;
Darshan Singh Kang, M.P.;1951;India;;welder, realtor, public servant;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
Andrew J. Kania, M.P.;1967-12-07;Toronto, Ontario, Canada;;lawyer;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;
The Hon. Robert Phillip Kaplan, P.C., Q.C., M.P.;1936-12-27;Toronto, Ontario, Canada;2012-11-05;barrister and solicitor, lawyer;8637 days [23 year(s), 7 month(s), 23 day(s)];(1968-06-25 - 1972-10-29)|(1974-07-08 - 1993-10-24);8637 days [23 year(s), 7 month(s), 23 day(s)];;;;
The Hon. Nancy Karetak-Lindell, M.P., Senator;1957-12-10;Arviat, Northwest Territories, Canada;;financial comptroller;4647 days [12 year(s), 8 month(s), 21 day(s)];(1997-06-02 - 1999-03-31)|(1999-04-01 - 2008-10-13);4152 days [11 year(s), 4 month(s), 12 day(s)];English, Inuktituk;(2024-12-19 - );495 days [1 year(s), 4 month(s), 8 day(s)];Of Inuit origin.
James Capsey (Jim) Karpoff, M.P.;1937-10-14;Smoky Lake, Alberta, Canada;;social worker, administrator;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. Jim Karygiannis, P.C., M.P.;1955-05-02;Athens, Greece;;industrial engineer, businessman;9263 days [25 year(s), 4 month(s), 10 day(s)];(1988-11-21 - 2014-04-01);9263 days [25 year(s), 4 month(s), 10 day(s)];;;;Of Hellenic origin.
Charles Edwin Kaulbach, M.P.;1834-07-13;Lunenburg, Nova Scotia, Canada;1907-05-25;shipowner, businessman;7594 days [20 year(s), 9 month(s), 15 day(s)];(1878-09-17 - 1882-06-19)|(1883-10-10 - 1887-02-21)|(1891-03-05 - 1904-11-02);7594 days [20 year(s), 9 month(s), 15 day(s)];;;;
The Hon. Henry Adolphus Newman Kaulback, Senator;1830-12-28;Lunenburg, Nova Scotia, Canada;1896-01-08 (Died in Office);landlord, lawyer, shipowner;8688 days [23 year(s), 9 month(s), 13 day(s)];;;;(1872-03-27 - 1896-01-08);8688 days [23 year(s), 9 month(s), 13 day(s)];
The Hon. William Frederic Kay, P.C., M.P.;1876-05-18;Montreal, Quebec, Canada;1942-05-08;farmer;6885 days [18 year(s), 10 month(s), 7 day(s)];(1911-09-21 - 1925-10-28)|(1925-10-29 - 1930-07-27);6885 days [18 year(s), 10 month(s), 7 day(s)];;;;
The Hon. Judith Keating, Q.C., Senator;;;2021-07-15 (Died in Office);lawyer, public servant;532 days [1 year(s), 5 month(s), 15 day(s)];;;;(2020-01-30 - 2021-07-15);532 days [1 year(s), 5 month(s), 15 day(s)];
James Russell Keays, M.P.;1913-10-30;Newport, Quebec, Canada;1995-03-10;manufacturer, industrialist;2500 days [6 year(s), 10 month(s), 5 day(s)];(1958-03-31 - 1962-06-17)|(1965-11-08 - 1968-06-24);2500 days [6 year(s), 10 month(s), 5 day(s)];;;;
Gerald Keddy, M.P.;1953-02-15;Bridgewater, Nova Scotia, Canada;;christmas tree farm operator, driller on offshore oil rigs;6713 days [18 year(s), 4 month(s), 17 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2015-10-18);6713 days [18 year(s), 4 month(s), 17 day(s)];;;;
Francis Henry Keefer, K.C.;1860-07-24;Strathroy, Canada West;1928-12-04;lawyer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Thomas Twining Keefler, M.P.;1824-03-26;Halifax, Nova Scotia, Canada;1906-11-16;merchant;422 days [1 year(s), 1 month(s), 27 day(s)];(1882-06-20 - 1883-08-15);422 days [1 year(s), 1 month(s), 27 day(s)];;;;
Joseph Keeler, M.P.;1824-05-24;Cramahe Township, Upper Canada;1881-01-21 (Died in Office);lumber merchant, landlord, grain merchant, postmaster, shipowner;3174 days [8 year(s), 8 month(s), 9 day(s)];(1867-09-20 - 1874-01-21)|(1878-09-17 - 1881-01-21);3174 days [8 year(s), 8 month(s), 9 day(s)];;;;
Cyril Keeper, M.P.;1943-07-17;Berens River, Manitoba, Canada;;city councillor;3199 days [8 year(s), 9 month(s), 3 day(s)];(1980-02-18 - 1988-11-20);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;Of Métis origin.
Christina (Tina) Jean Keeper, M.P.;1962-03-20;Winnipeg, Manitoba, Canada;;communication consultant, communicator;995 days [2 year(s), 8 month(s), 22 day(s)];(2006-01-23 - 2008-10-13);995 days [2 year(s), 8 month(s), 22 day(s)];;;;Member of the Norway House Cree Nation. Awarded the Order of Manitoba (O.M.) in 2002.
The Hon. James Francis Kelleher, P.C., Q.C., M.P., Senator;1930-10-02;Sault Ste Marie, Ontario, Canada;2013-06-02;lawyer;7028 days [19 year(s), 2 month(s), 27 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;(1990-09-23 - 2005-10-02);5489 days [15 year(s), 10 day(s)];
Donald Ferdinand Kellner, M.P.;1879-09-15;Ethel, Ontario, Canada;1935-04-01;farmer;2836 days [7 year(s), 9 month(s), 5 day(s)];(1921-12-06 - 1925-10-28)|(1926-09-14 - 1930-07-27);2836 days [7 year(s), 9 month(s), 5 day(s)];;;;
Mike Kelloway, M.P.;;;;senior manager;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];English, French;;;
Matthew Kellway, M.P.;1964-12-10;Hull, Quebec, Canada;;economist, policy analyst, industrial relations officer, labour representative;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Fenwick Lionel Kelly, M.P.;1863-03-28;North Sydney, Nova Scotia, Canada;1944-02-07;farmer, merchant, broker;821 days [2 year(s), 2 month(s), 30 day(s)];(1923-07-31 - 1925-10-28);821 days [2 year(s), 2 month(s), 30 day(s)];;;;
Leonard Patrick (Red) Kelly, C.M., M.P.;1927-07-09;Simcoe, Ontario, Canada;2019-05-02;professional hockey player;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;
Norman Kelly, M.P.;1941-08-11;Toronto, Ontario, Canada;;research assistant, teacher;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;
Pat Kelly, M.P.;1971;;;business owner, mortgage broker;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3845 days [10 year(s), 6 month(s), 10 day(s)];English, French;;;
The Hon. William McDonough Kelly, Senator;1925-07-21;Georgetown, Ontario, Canada;2013-11-16;business executive, civil engineer;6421 days [17 year(s), 6 month(s), 29 day(s)];;;;(1982-12-23 - 2000-07-21);6421 days [17 year(s), 6 month(s), 29 day(s)];
The Hon. Sir Albert Edward Kemp, P.C., M.P., Senator;1858-08-11;Clarenceville, Canada East;1929-08-12 (Died in Office);businessman;9425 days [25 year(s), 9 month(s), 20 day(s)];(1900-11-07 - 1908-10-25)|(1911-09-21 - 1916-11-22)|(1916-12-14 - 1921-11-03);6586 days [18 year(s), 12 day(s)];;(1921-11-04 - 1929-08-12);2839 days [7 year(s), 9 month(s), 8 day(s)];
William (Bill) James Kempling, M.P.;1921-02-05;Grimsby, Ontario, Canada;1996-05-20;businessman;7665 days [20 year(s), 11 month(s), 25 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1993-10-24);7665 days [20 year(s), 11 month(s), 25 day(s)];;;;
George Kempt, M.P.;1821-07-08;Cromarty, Scotland;1885-03-09;lumber merchant, merchant;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
Arthur Samuel Kendall, M.P.;1861-03-25;Sydney, Nova Scotia, Canada;1944-07-18;physician;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
James Kendry, M.P.;1845-03-29;Oshawa, Canada West;1918-11-04;woollens manufacturer;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;;;
The Hon. Betty Kennedy, O.C., Senator;1926-01-04;Ottawa, Ontario, Canada;2017-03-20;broadcaster, author, journalist;199 days [, 6 month(s), 16 day(s)];;;;(2000-06-20 - 2001-01-04);199 days [, 6 month(s), 16 day(s)];
