Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference
Alexander James Anderson, M.P.;1863-07-01;Adelaide, Canada West;1946-06-03 (Died in Office);barrister, lawyer;7158 days [19 year(s), 7 month(s), 5 day(s)];(1925-10-29 - 1935-10-13)|(1935-10-14 - 1945-06-03);7158 days [19 year(s), 7 month(s), 5 day(s)];;;;;
David L. Anderson, M.P.;1957-08-15;Frontier, Saskatchewan, Canada;;farmer, businessman;6902 days [18 year(s), 10 month(s), 24 day(s)];(2000-11-27 - 2019-10-20);6902 days [18 year(s), 10 month(s), 24 day(s)];;;;;
The Hon. David A. Anderson, P.C., M.P.;1937-08-16;Victoria, British Columbia, Canada;;foreign-service officer, professor, environmental consultant, counsel, public servant;5964 days [16 year(s), 3 month(s), 29 day(s)];(1968-06-25 - 1972-07-24)|(1993-10-25 - 2006-01-22);5964 days [16 year(s), 3 month(s), 29 day(s)];;;;;
The Hon. Doris Margaret Anderson, Senator;1922-07-05;St Peter's, Prince Edward Island, Canada;2022-10-16;professor, nutritionist;654 days [1 year(s), 9 month(s), 15 day(s)];;;;(1995-09-21 - 1997-07-05);654 days [1 year(s), 9 month(s), 15 day(s)];;
Edna Anderson, M.P.;1922-11-09;St Catharines, Ontario, Canada;2019-07-07;real estate agent, musician, businesswoman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;
Hugh Alan Anderson, M.P.;1933-09-25;Saskatoon, Saskatchewan, Canada;2015-04-22;insurance broker, insurance agent;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;;
The Hon. John Hawkins Anderson, Senator;1805;;1870-12-24 (Died in Office);merchant, bank manager;1159 days [3 year(s), 2 month(s), 2 day(s)];;;;(1867-10-23 - 1870-12-24);1159 days [3 year(s), 2 month(s), 2 day(s)];;
The Hon. Dawn Anderson, Senator;;;;public servant;2694 days [7 year(s), 4 month(s), 15 day(s)];;;;(2018-12-12 - );2694 days [7 year(s), 4 month(s), 15 day(s)];Of Inuvialuit origin.;English
The Hon. Margaret Jean Anderson;1915-08-07;Burnt Church, New Brunswick, Canada;2003-12-08;businesswoman;4521 days [12 year(s), 4 month(s), 16 day(s)];;;;(1978-03-23 - 1990-08-07);4521 days [12 year(s), 4 month(s), 16 day(s)];Daughter of William Stafford Anderson, member of the New Brunswick Legislative Assembly;
Raymond Elmer Anderson, M.P.;1891-07-07;County Waterford, Ontario, Canada;1970-08-06;farmer;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;;
Robert King Anderson, M.P.;1861-08-29;Trafalgar Township, Canada West;1950-07-04;physician, surgeon, teacher;6511 days [17 year(s), 9 month(s), 28 day(s)];(1917-12-17 - 1935-10-14);6511 days [17 year(s), 9 month(s), 28 day(s)];;;;;
William Anderson, M.P.;1905-08-31;Galt, Ontario, Canada;1961-06-06 (Died in Office);businessman;1458 days [3 year(s), 11 month(s), 27 day(s)];(1957-06-10 - 1961-06-06);1458 days [3 year(s), 11 month(s), 27 day(s)];;;;;
The Hon. Robert Knight Andras, P.C., M.P.;1921-02-20;Lachine, Quebec, Canada;1982-11-17;automobile dealer, businessman;5215 days [14 year(s), 3 month(s), 11 day(s)];(1965-11-08 - 1979-05-21)|(1979-05-22 - 1980-02-17);5215 days [14 year(s), 3 month(s), 11 day(s)];;;;;
Guy André, M.P.;1959-11-17;Montreal, Quebec, Canada;;mediator, coordinator, social worker, political assistant, teacher;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;;
The Hon. Harvie Andre, P.C., M.P.;1940-07-27;Edmonton, Alberta, Canada;2012-10-21;professor, chemical engineer;7665 days [20 year(s), 11 month(s), 25 day(s)];(1972-10-30 - 1993-10-24);7665 days [20 year(s), 11 month(s), 25 day(s)];;;;;
William Andres, M.P.;1925-08-02;Ukraine;2010-09-23;farmer, fruit grower;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;;
George William Andrews, D.S.O., M.P.;1869-09-09;Stanton Harcourt, Oxfordshire, England;1943-11-05;real estate agent;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;;
Scott Andrews, M.P.;1974-12-28;St. John's, Newfoundland and Labrador, Canada;;public servant;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;;
The Hon. Raynell Andreychuk, Senator;;Saskatoon, Saskatchewan, Canada;;judge, ambassador, lawyer;9652 days [26 year(s), 5 month(s), 4 day(s)];;;;(1993-03-11 - 2019-08-13);9652 days [26 year(s), 5 month(s), 4 day(s)];;
The Hon. Sir Auguste Réal Angers, P.C., M.P., Senator;1837-10-04;Beauport, Lower Canada;1919-04-14;judge, lawyer;1546 days [4 year(s), 2 month(s), 24 day(s)];(1880-02-14 - 1880-11-12);273 days [, 8 month(s), 30 day(s)];;(1892-12-16 - 1896-06-10);1273 days [3 year(s), 5 month(s), 25 day(s)];;
Louis Charles Alphonse Angers, M.P.;1854;La Malbaie, Canada East;1929-03-11;lawyer, teacher;3202 days [8 year(s), 9 month(s), 6 day(s)];(1896-01-27 - 1904-11-02);3202 days [8 year(s), 9 month(s), 6 day(s)];;;;;
Timothy Warren Anglin, M.P.;1822-08-31;Clonakilty, County Cork, Ireland;1896-05-04;newspaper owner, newspaper editor;5363 days [14 year(s), 8 month(s), 7 day(s)];(1867-09-20 - 1877-06-07)|(1877-07-02 - 1882-06-19);5363 days [14 year(s), 8 month(s), 7 day(s)];;;;;
Douglas Keith Anguish, M.P.;1950-07-08;Meadow Lake, Saskatchewan, Canada;;consultant, political assistant;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;;
Charlie Angus, M.P.;1962-11-14;Timmins, Ontario, Canada;;broadcaster, editor, musician, author, singer, journalist, negotiator;7609 days [20 year(s), 9 month(s), 30 day(s)];(2004-06-28 - 2025-04-27);7609 days [20 year(s), 9 month(s), 30 day(s)];;;;;
Iain Francis Angus, M.P.;1947-06-01;Fort William, Ontario, Canada;;community-development worker, park planner;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;
The Hon. W. David Angus, K.C., Senator;1937-07-21;Toronto, Ontario, Canada;;lawyer;6982 days [19 year(s), 1 month(s), 12 day(s)];;;;(1993-06-10 - 2012-07-21);6982 days [19 year(s), 1 month(s), 12 day(s)];;
Stephen Burpee Appleby, M.P.;1836;Florenceville, New Brunswick, Canada;1903-12-10;lawyer;1825 days [4 year(s), 11 month(s), 29 day(s)];(1873-09-18 - 1878-09-16);1825 days [4 year(s), 11 month(s), 29 day(s)];;;;;
Edward Turney Applewhaite, M.P.;1898-11-23;Nelson, British Columbia, Canada;1964-09-12;life insurance agent;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;;
Ursula Appolloni, M.P.;1929-12-07;Cavan, Ireland;1994-12-29;homemaker, columnist;3711 days [10 year(s), 1 month(s), 29 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;;;;
Joseph Archambault, K.C., M.P.;1879-02-17;Montreal, Quebec, Canada;1964-09-11;lawyer;2873 days [7 year(s), 10 month(s), 12 day(s)];(1917-12-17 - 1925-10-28);2873 days [7 year(s), 10 month(s), 12 day(s)];;;;;
Joseph Éloi Archambault, M.P.;1861-12-03;Saint-Jacques-L'Achigan, Canada East;1916-12-23;notary;3203 days [8 year(s), 9 month(s), 7 day(s)];(1900-01-18 - 1908-10-25);3203 days [8 year(s), 9 month(s), 7 day(s)];;;;;
The Hon. Louis Archambault, M.P.;1814-11-07;Longue-Pointe, Lower Canada;1890-03-02;notary;2316 days [6 year(s), 4 month(s), 3 day(s)];(1867-09-20 - 1874-01-21);2316 days [6 year(s), 4 month(s), 3 day(s)];;;;;
The Hon. Sir Adams George Archibald, P.C., Q.C., M.P.;1814-05-03;Truro, Nova Scotia, Canada;1892-12-14;lawyer;1186 days [3 year(s), 2 month(s), 29 day(s)];(1869-09-09 - 1870-05-19)|(1888-08-15 - 1891-03-05);1186 days [3 year(s), 2 month(s), 29 day(s)];;;;Father of Confederation, attended the Charlottetown (Sept. 1864), Quebec (Oct. 1864) and London (Dec. 1866) Conferences.Of Scottish origin.;
Cyril Archibald, M.P.;1837-05;Osnabruck, Upper Canada;1914-04-13;paymaster;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;;;
Harry Grenfell Archibald, M.P.;1910-09-21;Wynot, Saskatchewan, Canada;1965-09;seaman, foreman;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;
