Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
The Hon. William Pierce Howland, P.C., M.P.;1811-05-29;Paulings, New York, United States;1907-01-01;grocer, businessman;299 days [, 9 month(s), 25 day(s)];(1867-09-20 - 1868-07-14);299 days [, 9 month(s), 25 day(s)];;;Father of Confederation, attended the London (Dec. 1866) conference.;
Ted Hsu, M.P.;1964-03-04;Bartlesville, Oklahoma, United States;;executive director - sustainable energy (not-for-profit), physicist, manager - financial industry, researcher, trader;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
The Hon. Charles Hubbard, P.C., M.P.;1940-10-29;Newcastle, New Brunswick, Canada;2020-02-12;school principal;5468 days [14 year(s), 11 month(s), 20 day(s)];(1993-10-25 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;;
John Hubbs;1874-11-20;Wellington, Ontario, Canada;1952-06-01;manufacturer, canner;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;;;
The Hon. Elizabeth Hubley, Senator;1942-09-08;Howlan, Prince Edward Island, Canada;;politician;6028 days [16 year(s), 6 month(s), 1 day(s)];;;(2001-03-08 - 2017-09-07);6028 days [16 year(s), 6 month(s), 1 day(s)];;
Stanley Hudecki, M.P.;1916-04-22;Hamilton, Ontario, Canada;1988-06-26;orthopedic surgeon;1457 days [3 year(s), 11 month(s), 26 day(s)];(1980-09-08 - 1984-09-03);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
Jean-Guy Hudon, M.P.;1941-04-24;La Pocatière, Quebec, Canada;;administrator;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
The Hon. Albert Blellock Hudson;1875-08-21;Pembroke, Ontario, Canada;1947-01-06;barrister;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
Adam Hudspeth, M.P.;1836-12-08;Cobourg, Upper Canada;1890-05-12 (Died in Office);lawyer;1127 days [3 year(s), 1 month(s), 1 day(s)];(1887-02-22 - 1887-03-01)|(1887-04-20 - 1890-05-12);1127 days [3 year(s), 1 month(s), 1 day(s)];;;;
Joseph Fred Hueglin;1937-02-07;Stratford, Ontario, Canada;;teacher;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;
Edward Blake Huffman;1902-04-29;Blenheim, Ontario, Canada;1985-07-14;farmer;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
The Hon. Adrian Norton Knatchbull Hugessen, Q.C., V.D., Senator;1891-07-05;Ashford, Kent, England;1976-03-30;barrister, lawyer;10947 days [29 year(s), 11 month(s), 20 day(s)];;;(1937-01-12 - 1967-01-01);10947 days [29 year(s), 11 month(s), 20 day(s)];;
Carol Hughes, M.P.;1958-11-26;Sudbury, Ontario, Canada;;union representative, public servant, administrative assistant;6040 days [16 year(s), 6 month(s), 13 day(s)];(2008-10-14 - 2025-04-27);6040 days [16 year(s), 6 month(s), 13 day(s)];;;;
The Hon. James Joseph Hughes, M.P., Senator;1856-08-15;St. Mary's Road, Prince Edward Island, Canada;1941-03-05 (Died in Office);merchant, exporter, passenger agent;12219 days [33 year(s), 5 month(s), 14 day(s)];(1900-11-07 - 1908-10-25)|(1911-09-21 - 1917-12-16)|(1921-12-06 - 1925-09-04);6558 days [17 year(s), 11 month(s), 14 day(s)];(1925-09-05 - 1941-03-05);5661 days [15 year(s), 5 month(s), 30 day(s)];;
Kenneth Gardner Hughes;1954-02-11;High River, Alberta, Canada;;businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
Patrick Hughes, M.P.;1827-03-26;Newry, County Down, Ireland;1899-03-24;merchant;185 days [, 6 month(s), 2 day(s)];(1878-09-17 - 1879-03-20);185 days [, 6 month(s), 2 day(s)];;;;
The Hon. Sir Samuel Hughes, P.C., K.C.B., M.P.;1853-01-08;Darlington, Canada West;1921-08-24 (Died in Office);editor, teacher;10787 days [29 year(s), 6 month(s), 12 day(s)];(1892-02-11 - 1904-11-02)|(1904-11-03 - 1921-08-24);10787 days [29 year(s), 6 month(s), 12 day(s)];;;;
Levi William Humphrey;1881-04-29;Monson, Maine, United States;1947-09-19;locomotive engineer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
Aylmer Byron Hunt;1864-04-26;Bury, Canada East;1925-05-04 (Died in Office);lumberman, farmer, real estate agent, director;5167 days [14 year(s), 1 month(s), 24 day(s)];(1904-11-03 - 1905-11-22)|(1906-01-04 - 1911-09-20)|(1917-12-17 - 1925-05-04);5167 days [14 year(s), 1 month(s), 24 day(s)];;;;
John William Gordon Hunter;1909-01-28;Toronto, Ontario, Canada;1993-04-15;barrister, lawyer;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
Lynn Hunter;1947-01-20;Comox, British Columbia, Canada;;educator, coordinator, administrator;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. Arthur Ronald Huntington, , P.C.;1921-02-13;Vancouver, British Columbia, Canada;1998-12-28;corporate executive, reservist, military, agrologist, businessman;3711 days [10 year(s), 1 month(s), 29 day(s)];(1974-07-08 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;;;
The Hon. Lucius Seth Huntington, P.C., Q.C., M.P.;1827-05-26;Compton, Lower Canada;1886-05-19;lawyer;5387 days [14 year(s), 8 month(s)];(1867-09-20 - 1882-06-19);5387 days [14 year(s), 8 month(s)];;;;
Pierre-Gabriel Huot, M.P.;1825-01-22;Québec, Lower Canada;1913-09;editor, author, journalist, notary;999 days [2 year(s), 8 month(s), 26 day(s)];(1867-09-20 - 1870-06-14);999 days [2 year(s), 8 month(s), 26 day(s)];;;;
Francis Hurdon, M.P.;1834-06-18;Camelford, Cornwall, England;1914-12-19;grain merchant;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
Kenneth Earl Hurlburt;1928-04-10;Lethbridge, Alberta, Canada;2016-07-17;auctioneer, businessman, rancher;2395 days [6 year(s), 6 month(s), 21 day(s)];(1972-10-30 - 1979-05-21);2395 days [6 year(s), 6 month(s), 21 day(s)];;;;
Jeremiah M. Hurley, M.P.;1840-08-28;Prince Edward County, Upper Canada;1923-12-21;farmer, cheese maker, rancher;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];;;;
Hilaire Hurteau, M.P.;1837-05-04;Contrecoeur, Lower Canada;1920-02-10;notary;4727 days [12 year(s), 11 month(s), 9 day(s)];(1874-01-22 - 1874-11-24)|(1875-01-16 - 1887-02-21);4727 days [12 year(s), 11 month(s), 9 day(s)];;;;
The Hon. Joseph Raoul Hurtubise, M.P., Senator;1882-07-01;Sainte-Anne-de-Prescott, Ontario, Canada;1955-01-31 (Died in Office);physician, surgeon;8954 days [24 year(s), 6 month(s), 5 day(s)];(1930-07-28 - 1945-06-08);5430 days [14 year(s), 10 month(s), 13 day(s)];(1945-06-09 - 1955-01-31);3524 days [9 year(s), 7 month(s), 24 day(s)];;
The Hon. William James Hushion, M.P., Senator;1883-11-06;Montreal, Quebec, Canada;1954-01-29 (Died in Office);merchant, businessman;7105 days [19 year(s), 5 month(s), 13 day(s)];(1924-09-02 - 1925-10-28)|(1935-10-14 - 1940-02-14);2007 days [5 year(s), 5 month(s), 29 day(s)];(1940-02-15 - 1954-01-29);5098 days [13 year(s), 11 month(s), 15 day(s)];;
The Hon. Ahmed Hussen, P.C., M.P.;1976;Somalia;;social activist, lawyer, political assistant;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;English
The Hon. Gudie Hutchings, P.C., M.P.;1959-09-01;Corner Brook, Newfoundland and Labrador, Canada;;businesswoman;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;
William Henry Hutchins, M.P.;1843;Stormont County, Canada West;1898-05-19;grain merchant, produce dealer;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;;;
Richard Hutchison, M.P.;1812-01-20;Mearns, Renfrewshire, Scotland;1891-09-27;lumber merchant;1388 days [3 year(s), 9 month(s), 18 day(s)];(1868-12-24 - 1872-10-11);1388 days [3 year(s), 9 month(s), 18 day(s)];;;;
William H. Hutchison, M.P.;1843-12-25;Ottawa, Canada West;1919-06-17;mill owner;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];;;;
Bruce Hyer, M.P.;1946-08-06;Hartford, Connecticut, United States;;biologist, ecologist, forester, businessman;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;
The Hon. Charles Smith Hyman, M.P., P.C.;1854-08-31;London, Canada West;1926-10-09;manufacturer, athlete;2683 days [7 year(s), 4 month(s), 4 day(s)];(1891-03-05 - 1892-02-25)|(1900-11-07 - 1905-05-21)|(1905-06-13 - 1907-04-11);2683 days [7 year(s), 4 month(s), 4 day(s)];;;;
Kieth Reinhardt Hymmen, M.P.;1913-06-13;Kitchener, Ontario, Canada;1978-01-16;chemical engineer;3164 days [8 year(s), 7 month(s), 29 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1974-07-07);3164 days [8 year(s), 7 month(s), 29 day(s)];;;;
Alonzo Bowen Hyndman;1890-07-28;South Mountain, Ontario, Canada;1940-04-09 (Died in Office);physician;1640 days [4 year(s), 5 month(s), 27 day(s)];(1935-10-14 - 1940-04-09);1640 days [4 year(s), 5 month(s), 27 day(s)];;;;
Angelo Iacono, M.P.;;Montreal, Quebec, Canada;;lawyer;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;French, English, Italian
The Hon. Tony Ianno, P.C., M.P.;1957-01-02;Toronto, Ontario, Canada;;entrepreneur, businessman;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;
The Hon. Marci Ien, P.C., M.P.;;;;broadcast journalist, community leader, author;1645 days [4 year(s), 6 month(s), 1 day(s)];(2020-10-26 - 2025-04-27);1645 days [4 year(s), 6 month(s), 1 day(s)];;;Of Trinidadian descent.;
David Iftody, M.P.;1956-06-15;Winnipeg, Manitoba, Canada;2001-02-05;consultant, management consultant;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;
The Hon. Michael Ignatieff, P.C., M.P.;1947-05-12;Toronto, Ontario, Canada;;professor, author, journalist;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;Grandson of Count Paul Ignatieff, Russian cabinet minister.  Great-grandson of Count Nicolai Pavlovich Ignatiev, Russian cabinet minister. Awarded the rank of Member of the Order of Canada (C.M.) in 2017.;
The Hon. James Lorimer Ilsley, P.C., K.C., M.P.;1894-01-03;Somerset, Nova Scotia, Canada;1967-01-14;barrister;8081 days [22 year(s), 1 month(s), 16 day(s)];(1926-09-14 - 1935-10-13)|(1935-10-14 - 1948-10-28);8081 days [22 year(s), 1 month(s), 16 day(s)];;;Appointed member of the United Kingdom Privy Council in 1946;
Andrew B. Ingram, M.P.;1851-04-23;Strabane, Canada West;1934-09-06;real estate agent;5578 days [15 year(s), 3 month(s), 8 day(s)];(1891-03-05 - 1906-06-12);5578 days [15 year(s), 3 month(s), 8 day(s)];;;;
The Hon. Florence Elsie Inman, Senator;1891-12-05;West River, Prince Edward Island, Canada;1986-05-31 (Died in Office);director;11266 days [30 year(s), 10 month(s), 5 day(s)];;;(1955-07-28 - 1986-05-31);11266 days [30 year(s), 10 month(s), 5 day(s)];;
James Innes, M.P.;1833-02-01;Huntly, Aberdeenshire, Scotland;1903-07-16;newspaper publisher, newspaper editor, journalist, teacher;5117 days [14 year(s), 4 day(s)];(1882-06-20 - 1896-06-22);5117 days [14 year(s), 4 day(s)];;;;
David Irvine, M.P.;1831-11-26;Crimea, Ireland;1924-05-28;farmer;2197 days [6 year(s), 6 day(s)];(1881-02-16 - 1887-02-21);2197 days [6 year(s), 6 day(s)];;;;
The Hon. George Irvine, Q.C., M.P.;1826-11-16;Québec, Lower Canada;1897-02-24;professor, lawyer;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
John Alfred Irvine, M.P.;1912-01-26;Wolfe Island, Ontario, Canada;1996-01-20;merchant;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];;;;
The Hon. Olive Lillian Irvine, Senator;1895-06-21;Holland, Manitoba, Canada;1969-11-01 (Died in Office);teacher;3580 days [9 year(s), 9 month(s), 19 day(s)];;;(1960-01-14 - 1969-11-01);3580 days [9 year(s), 9 month(s), 19 day(s)];;
William Irvine, M.P.;1885-04-19;Gletness, Scotland;1962-10-26;publicist, farmer, clergyperson, editor, author, journalist, organizer, writer;6217 days [17 year(s), 8 day(s)];(1921-12-06 - 1925-10-28)|(1926-09-14 - 1935-10-13)|(1945-06-11 - 1949-06-26);6217 days [17 year(s), 8 day(s)];;;;
Sir Aemilius Irving, M.P.;1823-02-04;Leamington, England;1913-11-27;lawyer;1674 days [4 year(s), 6 month(s), 30 day(s)];(1874-01-22 - 1875-04-24)|(1875-05-20 - 1878-09-16);1674 days [4 year(s), 6 month(s), 30 day(s)];;;;
The Hon. Ronald (Ron) Albert Irwin, P.C., Q.C., M.P.;1936-10-29;Sault Ste Marie, Ontario, Canada;2020-12-05;barrister and solicitor, lawyer, ambassador, consul general;2976 days [8 year(s), 1 month(s), 24 day(s)];(1980-02-18 - 1984-09-03)|(1993-10-25 - 1997-06-01);2976 days [8 year(s), 1 month(s), 24 day(s)];;;;
Thomas James Irwin, M.P.;1889-06-21;Dumbarton, Scotland;1962-05-15;farmer;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;;;
Joseph Gaston Isabelle, M.P.;1920-11-14;Hull, Quebec, Canada;2013-06-03;physician;8414 days [23 year(s), 13 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1984-09-03)|(1984-09-04 - 1988-11-20);8414 days [23 year(s), 13 day(s)];;;;
The Hon. Gordon Benjamin Isnor, M.P., Senator;1885-05-10;Dartmouth, Nova Scotia, Canada;1973-03-17 (Died in Office);merchant;13670 days [37 year(s), 5 month(s), 4 day(s)];(1935-10-14 - 1950-05-01);5314 days [14 year(s), 6 month(s), 18 day(s)];(1950-05-02 - 1973-03-17);8356 days [22 year(s), 10 month(s), 17 day(s)];;
Peter Ittinuar, M.P.;1950-01-19;Chesterfield Inlet, Northwest Territories, Canada;;professor, television announcer, film producer, labour negociator, editor, teacher;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;Of Inuit origin.;
The Hon. William Bullock Ives, P.C., M.P.;1841-11-17;Compton Township, Canada East;1899-07-15 (Died in Office);lawyer, businessman;7591 days [20 year(s), 9 month(s), 12 day(s)];(1878-09-17 - 1891-03-04)|(1891-03-05 - 1892-12-04)|(1892-12-21 - 1899-07-15);7591 days [20 year(s), 9 month(s), 12 day(s)];;;;
Harry Rutherford Jackman, M.P.;1900-11-05;Toronto, Ontario, Canada;1979-11-22;manager, lawyer;3380 days [9 year(s), 3 month(s), 2 day(s)];(1940-03-26 - 1949-06-26);3380 days [9 year(s), 3 month(s), 2 day(s)];;;"For family relationships in the Parliament of Canada see ""Family Ties"" below. 
Father of Nancy Ruth, Senator (2005-2017)
Father of Henry Newton Rowell ""Hal"" Jackman, Lieutenant Governor of Ontario (1991-97)  
Son-in-law of Newton Wesley Rowell, MP (1917-1921)
Awarded the Order of Ontario (O.Ont.) in 1998.";
George Jackson, M.P.;1809-12;Hutton, Yorkshire, England;1885-03-06;crown lands agent;3221 days [8 year(s), 9 month(s), 25 day(s)];(1867-09-20 - 1872-10-11)|(1878-09-17 - 1882-06-19);3221 days [8 year(s), 9 month(s), 25 day(s)];;;;
Joseph Jackson, M.P.;1831-04-01;Norfolk County, Upper Canada;1908-10-31;lumberman;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
Ovid L. Jackson, M.P.;1939-02-03;New Amsterdam, Berbice, Guyana;;mechanic, teacher;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2000-06-28)|(2000-06-29 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;Awarded the Order of Ontario (O.Ont.) in 2009.;
Samuel Jacob Jackson;1848-02-18;Stradbally, Ireland;1942-05-29;farmer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
William Jackson;1858-04-18;Port Stanley, Canada West;1938-05-31;farmer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
Jean-Marc Jacob, M.P.;1947-02-18;Charlesbourg, Quebec, Canada;;veterinarian;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Pierre Jacob, , M.P.;1953-01-29;Trois-Rivières, Quebec, Canada;2018-07-21;professor - community college, educator, criminologist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Samuel William Jacobs;1871-05-06;Lancaster, Ontario, Canada;1938-08-21 (Died in Office);lawyer;7553 days [20 year(s), 8 month(s), 5 day(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1938-08-21);7553 days [20 year(s), 8 month(s), 5 day(s)];;;;
Carole Jacques;1960-06-12;Montreal, Quebec, Canada;;lawyer;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
The Hon. Helena Jaczek, P.C., M.P.;;;;physician, politician;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;English
Frank Eric Jaenicke;1892-08-23;Germany;1951-02-02;barrister;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;
The Hon. Mobina S.B. Jaffer, K.C., Senator;;Kampala, Uganda;;solicitor, barrister, lawyer;8469 days [23 year(s), 2 month(s), 7 day(s)];;;(2001-06-13 - 2024-08-19);8469 days [23 year(s), 2 month(s), 7 day(s)];Canada's first Muslim senator. First East Indian woman lawyer to practice in British Columbia.;
Rahim Jaffer, M.P.;1971-12-15;Kampala, Uganda;;entrepreneur, businessman;4152 days [11 year(s), 4 month(s), 12 day(s)];(1997-06-02 - 2008-10-13);4152 days [11 year(s), 4 month(s), 12 day(s)];;;;
The Hon. Robert Jaffray, Senator;1832-01-23;Skeoch, Bannockburn, Scotland;1914-12-16 (Died in Office);grocer, publisher;3206 days [8 year(s), 9 month(s), 10 day(s)];;;(1906-03-08 - 1914-12-16);3206 days [8 year(s), 9 month(s), 10 day(s)];;
John Mason James;1911-01-17;Bowmanville, Ontario, Canada;1999-10-20;newspaper publisher;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
Kenneth Albert James;1934-08-05;Sarnia, Ontario, Canada;2014-09-24;farmer, sales manager, marketing manager, businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Roxanne James, M.P.;1966;Scarborough, Ontario, Canada;;real estate agent, systems analyst;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Clarence Jameson;1872-06-12;Bedeque, Prince Edward Island, Canada;1928-09-20;town clerk;3339 days [9 year(s), 1 month(s), 22 day(s)];(1908-10-26 - 1917-12-16);3339 days [9 year(s), 1 month(s), 22 day(s)];;;;
Richard Willis Jameson;1851-07-12;Cape Town, South Africa;1899-02-21 (Died in Office);lawyer;666 days [1 year(s), 9 month(s), 27 day(s)];(1897-04-27 - 1899-02-21);666 days [1 year(s), 9 month(s), 27 day(s)];;;;
The Hon. Donald Campbell Jamieson, P.C., M.P.;1921-04-30;St John's, Newfoundland;1986-11-19;diplomat, broadcaster, radio & tv studio equipment operator, ambassador;4656 days [12 year(s), 8 month(s), 30 day(s)];(1966-09-19 - 1979-05-21)|(1979-05-22 - 1979-06-18);4656 days [12 year(s), 8 month(s), 30 day(s)];;;;
Joseph Jamieson, M.P.;1839-03-15;Sherbrooke, Upper Canada;1922-03-12;lawyer;3458 days [9 year(s), 5 month(s), 19 day(s)];(1882-06-20 - 1891-12-07);3458 days [9 year(s), 5 month(s), 19 day(s)];;;;
Richard Janelle;1947-11-13;Warwick, Quebec, Canada;;coordinator, secretary;490 days [1 year(s), 4 month(s), 3 day(s)];(1978-10-16 - 1980-02-17);490 days [1 year(s), 4 month(s), 3 day(s)];;;;
Tamara Jansen, M.P.;;;;;1198 days [3 year(s), 3 month(s), 11 day(s)];(2019-10-21 - 2021-09-19)|(2024-12-16 - );1198 days [3 year(s), 3 month(s), 11 day(s)];;;;English
Norman Jaques;1880-06-29;London, England;1949-01-31 (Died in Office);farmer;4859 days [13 year(s), 3 month(s), 20 day(s)];(1935-10-14 - 1949-01-31);4859 days [13 year(s), 3 month(s), 20 day(s)];;;;
W.R. (Bud) Jardine;1935-05-31;Chatham, New Brunswick, Canada;;naval officer;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Robert Jarvis, M.P.;1935-11-15;;2017-12-14;lawyer;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
The Hon. William Herbert Jarvis, , P.C., Q.C.;1930-08-15;Hamilton, Ontario, Canada;2016-04-27;lawyer;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;
Brian Jean, M.P.;1963-02-03;Kelowna, British Columbia, Canada;;professor, lawyer, businessman;3491 days [9 year(s), 6 month(s), 21 day(s)];(2004-06-28 - 2004-08-31)|(2004-09-01 - 2014-01-17);3491 days [9 year(s), 6 month(s), 21 day(s)];;;;
The Hon. Joseph Jean, , P.C.;1890-02-07;Saint-Philippe-de-Néri, Quebec, Canada;1973-07-18;lawyer;6267 days [17 year(s), 1 month(s), 28 day(s)];(1932-06-27 - 1935-10-13)|(1935-10-14 - 1949-08-23);6267 days [17 year(s), 1 month(s), 28 day(s)];;;;
