Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Notes;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Language Preference
Laurin Liu, M.P.;1990-11-13;Calgary, Alberta, Canada;student, journalist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
James Livingston, M.P.;1838-11-29;East Kilbride, Scotland;merchant;6714 days [18 year(s), 4 month(s), 18 day(s)];(1882-06-20 - 1900-11-06);6714 days [18 year(s), 4 month(s), 18 day(s)];;1920-04-14;;;
Wladyslaw Lizon, M.P.;1954-06-27;Nowy Sacz, Poland;mining engineer, businessman;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
Louis Philippe Lizotte, M.P.;1891-07-13;Saint-Pacôme, Quebec, Canada;lawyer;1582 days [4 year(s), 3 month(s), 30 day(s)];(1940-03-26 - 1944-07-24);1582 days [4 year(s), 3 month(s), 30 day(s)];;1972-05-15;;;
Dane Lloyd, M.P.;1991-02-16;St. Albert, Alberta, Canada;soldier, political assistant;3110 days [8 year(s), 6 month(s), 5 day(s)];(2017-10-23 - 2025-04-27)|(2025-04-28 - );3110 days [8 year(s), 6 month(s), 5 day(s)];;;;;English
John Edward Lloyd, M.P.;1908-08-02;Aldershot, Hampshire, England;lecturer, chartered accountant;945 days [2 year(s), 7 month(s), 2 day(s)];(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];;1985-09-16;;;
Ben Lobb, M.P.;1976-09-10;Huron, Ontario, Canada;business analyst;6406 days [17 year(s), 6 month(s), 14 day(s)];(2008-10-14 - );6406 days [17 year(s), 6 month(s), 14 day(s)];;;;;English
The Hon. John Locke, Senator;1825-09-15;Locke's Island, Nova Scotia, Canada;merchant;2243 days [6 year(s), 1 month(s), 22 day(s)];;;;1873-12-12 (Died in Office);(1867-10-23 - 1873-12-12);2243 days [6 year(s), 1 month(s), 22 day(s)];
Alaina Lockhart, M.P.;;;business owner, manager - human resources, entrepreneur;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;
Norman James Macdonald Lockhart, M.P.;1884-04-10;Dunnville, Ontario, Canada;merchant;5005 days [13 year(s), 8 month(s), 14 day(s)];(1935-10-14 - 1949-06-26);5005 days [13 year(s), 8 month(s), 14 day(s)];;1974-08-30;;;
Edward Russell Lockyer, M.P.;1899-12-25;Manitoulin Island, Ontario, Canada;fuel dealer;189 days [, 6 month(s), 6 day(s)];(1958-03-31 - 1958-10-05);189 days [, 6 month(s), 6 day(s)];;1958-10-05 (Died in Office);;;
The Hon. Tony Loffreda, Senator;;Montreal, Quebec, Canada;bank executive, board director, philanthropist;2472 days [6 year(s), 9 month(s), 7 day(s)];;;;;(2019-07-22 - );2472 days [6 year(s), 9 month(s), 7 day(s)];English, French, Italian, Spanish, Napolitano
The Hon. Hance James Logan, M.P., Senator;1869-04-26;Amherst Point, Nova Scotia, Canada;lawyer;11734 days [32 year(s), 1 month(s), 16 day(s)];(1896-06-23 - 1908-10-25)|(1921-12-06 - 1925-10-28);5930 days [16 year(s), 2 month(s), 25 day(s)];;1944-12-26 (Died in Office);(1929-02-05 - 1944-12-26);5804 days [15 year(s), 10 month(s), 21 day(s)];
William Stewart Loggie, M.P.;1850-08-10;Burnt Church, New Brunswick, Canada;manufacturer, merchant, company head;6242 days [17 year(s), 1 month(s), 3 day(s)];(1904-11-03 - 1921-12-05);6242 days [17 year(s), 1 month(s), 3 day(s)];;1944-03-14;;;
Bernard Pierre Loiselle, M.P.;1948-05-02;Saint-Marc-sur-Richelieu, Quebec, Canada;lawyer;3711 days [10 year(s), 1 month(s), 29 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;;;;
Gérard Loiselle, M.P.;1921-04-15;Montreal, Quebec, Canada;merchant, insurance broker;8016 days [21 year(s), 11 month(s), 11 day(s)];(1957-06-10 - 1968-06-24)|(1968-06-25 - 1979-05-21);8016 days [21 year(s), 11 month(s), 11 day(s)];;1994-12-22;;;
The Hon. Gilles Loiselle, P.C., M.P.;1929-05-20;Ville-Marie, Quebec, Canada;diplomat, senior public servant, journalist, administrator;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1990-12-18)|(1990-12-19 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;2022-09-29;;;
Edison John Clayton Loney, M.P.;1929-02-23;Wiarton, Ontario, Canada;farmer, grain grower, businessman;3221 days [8 year(s), 9 month(s), 25 day(s)];(1963-04-08 - 1968-06-24)|(1993-10-25 - 1997-06-01);3221 days [8 year(s), 9 month(s), 25 day(s)];;2017-01-22;;;
Charles Edwin Long, M.P.;1879-08-21;Davenport, Iowa, United States;farmer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;1953-08-04;;;
The Hon. Wayne Long, P.C., M.P.;1963;Saint John, New Brunswick, Canada;president / manager, product manager;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;;English, French
The Hon. Judi Longfield, P.C., M.P.;1947-04-23;Timmins, Ontario, Canada;executive assistant, teacher;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;;
Lloyd Longfield, M.P.;1956-10;Winnipeg, Manitoba, Canada;president / manager, mechanical engineer, management consultant;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;
Avard Longley, M.P.;1823-02-22;Paradise, Nova Scotia, Canada;merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;1884-02-22;;;
Bruce Lonsdale, M.P.;1949-11-10;Cobalt, Ontario, Canada;recreationist, businessman;705 days [1 year(s), 11 month(s), 5 day(s)];(1980-02-18 - 1982-01-22);705 days [1 year(s), 11 month(s), 5 day(s)];;1982-01-22 (Died in Office);;;
Ricardo Lopez, M.P.;1937-02-13;Madrid, Spain;businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;
Joseph Arthur Lortie, M.P.;1869-01-02;Sainte-Justine-de-Newton, Quebec, Canada;physician;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;1958-02-15;;;
The Hon. Rose-Marie Losier-Cool, Senator;1937-06-18;Tracadie-Sheila, New Brunswick, Canada;teacher;6300 days [17 year(s), 2 month(s), 30 day(s)];;;First Acadian woman from the Maritimes appointed to the Senate. (Source L'Acadie de l'Atlantique)Awarded the title of Knight in 2002 and elevated to the title of Officer of the Ordre de la Pléiade in 2007.;;(1995-03-21 - 2012-06-18);6300 days [17 year(s), 2 month(s), 30 day(s)];
Yvan Loubier, M.P.;1959-04-10;Montreal, Quebec, Canada;consultant in international trade, economist;4868 days [13 year(s), 3 month(s), 29 day(s)];(1993-10-25 - 2007-02-21);4868 days [13 year(s), 3 month(s), 29 day(s)];;;;;
William John Loucks, M.P.;1873-06-26;Battersea, Ontario, Canada;farmer;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;1968-09-02;;;
The Hon. Sir James Alexander Lougheed, P.C., Senator;1854-09-01;Brampton, Canada West;carpenter, lawyer;13111 days [35 year(s), 10 month(s), 23 day(s)];;;Grandfather of Peter Lougheed, premier of Alberta (1971-85).;1925-11-02 (Died in Office);(1889-12-10 - 1925-11-02);13111 days [35 year(s), 10 month(s), 23 day(s)];
Tim Louis, M.P.;;;musician;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;English
William Lount, M.P.;1840-03-03;York County, Upper Canada;lawyer;501 days [1 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1897-11-05);501 days [1 year(s), 4 month(s), 14 day(s)];;1903-04-24;;;
The Hon. Sandra Lovelace Nicholas, C.M., Senator;;Tobique, New Brunswick, Canada;activist, carpenter, health care provider, administrator;6342 days [17 year(s), 4 month(s), 11 day(s)];;;First female aboriginal Senator from Atlantic Canada. A Maliseet from the Tobique First Nation in New Brunswick.;;(2005-09-21 - 2023-01-31);6342 days [17 year(s), 4 month(s), 11 day(s)];
Charles Henry Lovell, M.P.;1854-11-12;Barnston, Canada East;manufacturer, farmer, merchant;3192 days [8 year(s), 8 month(s), 27 day(s)];(1908-01-22 - 1916-10-17);3192 days [8 year(s), 8 month(s), 27 day(s)];"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Brother of Moody Brock Lovell, member of the Quebec Legislative Assembly.";1916-10-17 (Died in Office);;;
Henry Lovell, M.P.;1828-06-13;Barnston, Lower Canada;farmer, merchant;2584 days [7 year(s), 27 day(s)];(1900-11-07 - 1907-12-04);2584 days [7 year(s), 27 day(s)];"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Father of Moody Brock Lovell, member of the Quebec Legislative Assembly.";1907-12-04 (Died in Office);;;
Lewis Johnstone Lovett, M.P.;1867-08-28;Kentville, Nova Scotia, Canada;physician;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;1942-04-27;;;
William James Lovie, M.P.;1868-12-30;Aberdeenshire, Scotland;farmer;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;1938-11-24;;;
The Hon. John Lovitt, M.P., Senator;1832-10-09;Yarmouth, Nova Scotia, Canada;master mariner, shipowner;5483 days [15 year(s), 4 day(s)];(1887-02-22 - 1887-08-13)|(1887-12-15 - 1891-03-04);1349 days [3 year(s), 8 month(s), 10 day(s)];;1908-04-13 (Died in Office);(1896-12-18 - 1908-04-13);4134 days [11 year(s), 3 month(s), 25 day(s)];
Solon Earl Low, M.P.;1900-01-08;Cardston, Alberta, Canada;farmer, gentleman, school principal, teacher;4676 days [12 year(s), 9 month(s), 19 day(s)];(1945-06-11 - 1958-03-30);4676 days [12 year(s), 9 month(s), 19 day(s)];;1962-12-22;;;
The Hon. Thomas Andrew Low, P.C., M.P.;1871-03-12;Québec, Quebec, Canada;lumberman, industrialist;2539 days [6 year(s), 11 month(s), 13 day(s)];(1908-10-26 - 1911-12-07)|(1921-12-06 - 1923-08-14)|(1923-09-06 - 1925-10-28);2539 days [6 year(s), 11 month(s), 13 day(s)];;1931-02-09;;;
James A. Lowell, M.P.;1849-04-21;Niagara Falls, Canada West;merchant;1516 days [4 year(s), 1 month(s), 25 day(s)];(1892-04-29 - 1896-06-22);1516 days [4 year(s), 1 month(s), 25 day(s)];;1900-04-10;;;
