Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Notes;Language Preference;Cause of Death
The Hon. William Humphrey Bennett, K.C., M.P., Senator;1859-12-23;Barrie, Canada West;lawyer;10986 days [30 year(s), 29 day(s)];(1892-02-25 - 1897-01-08)|(1897-02-04 - 1908-10-25)|(1911-09-21 - 1917-11-12);8306 days [22 year(s), 8 month(s), 28 day(s)];1925-03-15 (Died in Office);(1917-11-13 - 1925-03-15);2680 days [7 year(s), 4 month(s), 1 day(s)];;;
Aldéric-Joseph Benoit, M.P.;1877-12-26;Saint-Grégoire, Quebec, Canada;farmer, hay and grain dealer;2888 days [7 year(s), 10 month(s), 27 day(s)];(1922-08-31 - 1930-07-27);2888 days [7 year(s), 10 month(s), 27 day(s)];1968-07-16;;;;;
Leon Earl Benoit, M.P.;1950-07-07;Lloydminster, Saskatchewan, Canada;economist, farmer, professional agrologist;8029 days [21 year(s), 11 month(s), 24 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2015-10-18);8029 days [21 year(s), 11 month(s), 24 day(s)];;;;;;
Pierre Basile Benoit, M.P.;1837-10-08;Longueuil, Lower Canada;farmer;6156 days [16 year(s), 10 month(s), 8 day(s)];(1867-09-20 - 1874-01-21)|(1876-01-07 - 1886-07-12);6156 days [16 year(s), 10 month(s), 8 day(s)];1910-11-11;;;;;
Tyrone Benskin, M.P.;1958-12-29;Bristol, England;stage director, composer, actor, artistic director, writer;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
The Hon. Edgar John Benson, P.C., M.P.;1923-05-28;Cobourg, Ontario, Canada;diplomat, professor (assistant) - commerce, chartered accountant, ambassador;3787 days [10 year(s), 4 month(s), 13 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29);3787 days [10 year(s), 4 month(s), 13 day(s)];2011-09-02;;;;;
The Hon. James Rea Benson, M.P., Senator;1807-01-21;Ireland;miller;6390 days [17 year(s), 5 month(s), 29 day(s)];(1867-09-20 - 1868-03-13);176 days [, 5 month(s), 24 day(s)];1885-03-18 (Died in Office);(1868-03-14 - 1885-03-18);6214 days [17 year(s), 5 day(s)];;;
Sheri Benson, M.P.;;;community development officer, chief executive officer;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
William Thomas Benson, M.P.;1824-04-20;Parkside, Westmorland, England;manufacturer, farmer, cattle producer, businessman;1085 days [2 year(s), 11 month(s), 20 day(s)];(1882-06-20 - 1885-06-08);1085 days [2 year(s), 11 month(s), 20 day(s)];1885-06-08 (Died in Office);;;;;
Thomas John Bentley, M.P.;1891-05-03;Dartmouth, Nova Scotia, Canada;farmer, organizer, agrologist;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];1983-06-02;;;;;
Bob Benzen, M.P.;1959-03-03;Three Hills, Alberta, Canada;businessman;2099 days [5 year(s), 8 month(s), 30 day(s)];(2017-04-03 - 2022-12-31);2099 days [5 year(s), 8 month(s), 30 day(s)];;;;;;
Peter Bercovitch, M.P.;1879-09-17;Montreal, Quebec, Canada;lawyer;1512 days [4 year(s), 1 month(s), 21 day(s)];(1938-11-07 - 1942-12-27);1512 days [4 year(s), 1 month(s), 21 day(s)];1942-12-27 (Died in Office);;;;;
The Hon. Candice Bergen, P.C., M.P.;1964-09-28;Morden, Manitoba, Canada;political organizer, financial agent / adviser / consultant;5251 days [14 year(s), 4 month(s), 16 day(s)];(2008-10-14 - 2023-02-28);5251 days [14 year(s), 4 month(s), 16 day(s)];;;;;;
David Berger, M.P.;1950-03-30;Ottawa, Ontario, Canada;ambassador, lawyer, administrator, businessman;5700 days [15 year(s), 7 month(s), 8 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 1994-12-28);5700 days [15 year(s), 7 month(s), 8 day(s)];;;;;;
Jean-Charles Richard (Jean) Berger, M.P.;1924-12-08;Ville Montmorency, Quebec, Canada;radio & tv commentator, reporter;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];2001-02-11;;;;;
Thomas Rodney Berger, Q.C., M.P.;1933-03-23;Victoria, British Columbia, Canada;lawyer, judge;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];2021-04-28;;;Of Swedish origin.;;
Joseph Gédéon Horace Bergeron, M.P.;1854-10-13;Rigaud, Canada East;lawyer;9425 days [25 year(s), 9 month(s), 20 day(s)];(1879-01-09 - 1900-11-06)|(1904-11-03 - 1908-10-25);9425 days [25 year(s), 9 month(s), 20 day(s)];1917-01-22;;;;;
Stéphane Bergeron, M.P.;1965-01-28;Montreal, Quebec, Canada;teaching assistant, political adviser;6415 days [17 year(s), 6 month(s), 23 day(s)];(1993-10-25 - 1998-06-17)|(1998-06-18 - 2005-11-09)|(2019-10-21 - 2025-04-27);6415 days [17 year(s), 6 month(s), 23 day(s)];;;;Awarded the title of Knight of the Ordre de la Pléiade in 2005.;;
Col. Darby Bergin, M.P.;1826-09-07;Toronto, Ontario, Canada;physician;7045 days [19 year(s), 3 month(s), 14 day(s)];(1872-10-12 - 1874-01-21)|(1878-09-17 - 1879-12-24)|(1880-01-27 - 1882-06-19)|(1882-06-20 - 1896-10-22);7045 days [19 year(s), 3 month(s), 14 day(s)];1896-10-22 (Died in Office);;;;;
The Hon. Wanda Thomas Bernard, Senator;;;educator, community activist, social worker, researcher;3456 days [9 year(s), 5 month(s), 17 day(s)];;;;(2016-11-10 - );3456 days [9 year(s), 5 month(s), 17 day(s)];Awarded the Order of Nova Scotia (O.N.S.) in 2014;English;
André J. Bernier, M.P.;1930-10-29;Windsor Mills, Quebec, Canada;accountant;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];2012-05-29;;;;;
Gilles Bernier, M.P.;1955-08-06;Grand-Falls, New Brunswick, Canada;ambassador, businessman;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;;;
Gilles Bernier, M.P.;1934-07-15;Montreal, Quebec, Canada;radio announcer, ambassador, program director (radio station), hotel manager;4654 days [12 year(s), 8 month(s), 28 day(s)];(1984-09-04 - 1997-06-01);4654 days [12 year(s), 8 month(s), 28 day(s)];;;;;;
Henri Bernier, M.P.;1821-07-05;Saint-Louis-de-Lotbinière, Lower Canada;manufacturer, businessman;1699 days [4 year(s), 7 month(s), 25 day(s)];(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];1893-11-09;;;;;
Maurice Bernier, M.P.;1947-03-11;Lac-Mégantic, Quebec, Canada;director - minister's office, public servant, administrator;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;;
The Hon. Maxime Bernier, P.C., M.P.;1963-01-18;Saint-Georges de Beauce, Quebec, Canada;lawyer, businessman;5019 days [13 year(s), 8 month(s), 28 day(s)];(2006-01-23 - 2019-10-20);5019 days [13 year(s), 8 month(s), 28 day(s)];;;;;;
The Hon. Michel Esdras Bernier, P.C., M.P.;1841-09-28;Saint-Hyacinthe, Canada East;notary, businessman;7871 days [21 year(s), 6 month(s), 18 day(s)];(1882-06-20 - 1900-06-22)|(1900-07-04 - 1904-01-18);7871 days [21 year(s), 6 month(s), 18 day(s)];1921-07-27;;;;;
The Hon. Thomas-Alfred Bernier, Senator;1844-08-15;Henryville, Canada East;journalist, lawyer;5908 days [16 year(s), 2 month(s), 3 day(s)];;;1908-12-30 (Died in Office);(1892-10-27 - 1908-12-30);5908 days [16 year(s), 2 month(s), 3 day(s)];;;
Yvan Bernier, M.P.;1960-06-17;Cap-aux-Os, Quebec, Canada;administrator, businessman;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;;;
The Hon. Eric Arthur Berntson, Senator;1941-05-16;Oxbow, Saskatchewan, Canada;farmer;3807 days [10 year(s), 5 month(s), 3 day(s)];;;2018-09-23;(1990-09-27 - 2001-02-27);3807 days [10 year(s), 5 month(s), 3 day(s)];;;
Luc Berthold, M.P.;;Sherbrooke, Quebec, Canada;journalist, trainer, communications director, political attaché;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;;French;
George Hope Bertram, M.P.;1847-03-12;Fenton Barns, Hadingtonshire, Scotland;shipbuilder, businessman;841 days [2 year(s), 3 month(s), 20 day(s)];(1897-11-30 - 1900-03-20);841 days [2 year(s), 3 month(s), 20 day(s)];1900-03-20 (Died in Office);;;;;
John Bertram, M.P.;1837-10-16;Fenton Barns, Hadingtonshire, Scotland;businessman;1699 days [4 year(s), 7 month(s), 25 day(s)];(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];1904-11-28;;;;;
Charles Frédéric Adolphe Bertrand, M.P.;1824-01-11;Isle-Verte, Lower Canada;farmer, merchant, shipowner, industrialist;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];1896-04-02;;;;;
Elie-Oscar Bertrand, M.P.;1894-03-03;L'Orignal, Ontario, Canada;merchant;7273 days [19 year(s), 10 month(s), 29 day(s)];(1929-07-29 - 1949-06-26);7273 days [19 year(s), 10 month(s), 29 day(s)];1980-10-21;;;;;
The Hon. Ernest Bertrand, P.C., M.P.;1888-12-15;Somerset, Quebec, Canada;lawyer;5063 days [13 year(s), 10 month(s), 11 day(s)];(1935-10-14 - 1949-08-23);5063 days [13 year(s), 10 month(s), 11 day(s)];1958-10-11;;;;;
Gabrielle Bertrand, M.P.;1923-05-15;Sweetsburg, Quebec, Canada;homemaker, administrator;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];1999-09-10;;;Spouse Jean-Jacque Bertrand, Prime Minister of Québec (1968-1970).;;
Lionel Bertrand, M.P.;1906-03-10;Saint-Jovite, Quebec, Canada;newspaper editor, journalist;5963 days [16 year(s), 3 month(s), 28 day(s)];(1940-03-26 - 1944-07-25)|(1945-06-11 - 1957-06-09);5963 days [16 year(s), 3 month(s), 28 day(s)];1979-03-25;;;;;
Robert Bertrand, M.P.;1953-04-04;Fort Coulonge, Quebec, Canada;life underwriter, businessman;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];2022-05-17;;;;;
Sylvie Bérubé, M.P.;;;Information Security;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;
Lyne Bessette, M.P.;1975-03-10;Cowansville, Quebec, Canada;athlete;700 days [1 year(s), 10 month(s)];(2019-10-21 - 2021-09-19);700 days [1 year(s), 10 month(s)];;;;;;
Charles Alexander (Sandy) Best, M.P.;1931-07-07;Toronto, Ontario, Canada;farmer, scientist, nurseryman;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];1978-03-25;;;;;
John Best, M.P.;1861-07-11;Geelong, Australia;farmer;4367 days [11 year(s), 11 month(s), 14 day(s)];(1909-12-22 - 1921-12-05);4367 days [11 year(s), 11 month(s), 14 day(s)];1923-06-07;;;;;
Judith (Judy) Claire Bethel, M.P.;1943-08-24;Winnipeg, Manitoba, Canada;educator, investment broker;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];2025-03-11;;;;;
John Lemuel Bethune, M.P.;1850-03-09;Loch Lomond, Nova Scotia, Canada;physician;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];1913-09-27;;;;;
Arthur Bettez, M.P.;1871-12-28;Trois-Rivières, Quebec, Canada;accountant;1894 days [5 year(s), 2 month(s), 7 day(s)];(1925-10-29 - 1931-01-04);1894 days [5 year(s), 2 month(s), 7 day(s)];1931-01-04 (Died in Office);;;;;
Frederick Cronyn Betts, M.P.;1896-07-04;London, Ontario, Canada;solicitor;937 days [2 year(s), 6 month(s), 24 day(s)];(1935-10-14 - 1938-05-07);937 days [2 year(s), 6 month(s), 24 day(s)];1938-05-07 (Died in Office);;;;;
The Hon. Maurizio Bevilacqua, P.C., M.P.;1960-06-01;Sulmona, Italy;consultant;7771 days [21 year(s), 3 month(s), 10 day(s)];(1988-11-21 - 1990-06-07)|(1990-12-10 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2010-09-02);7771 days [21 year(s), 3 month(s), 10 day(s)];;;;;;
Dennis Fraser Bevington, M.P.;1953-03-27;Fort Smith, Northwest Territories, Canada;manager, administrator, businessman;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;;
The Hon. Lynn Beyak, Senator;;Toronto, Ontario, Canada;business owner;2923 days [8 year(s), 1 day(s)];;;;(2013-01-25 - 2021-01-25);2923 days [8 year(s), 1 day(s)];;;
Hilliard Harris William Beyerstein, M.P.;1907-11-03;Meeting Creek, Alberta, Canada;chiropractor;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];1990-09-23;;;;;
William Addison Beynon, K.C., M.P.;1877-12-21;King Township, Ontario, Canada;barrister;1905 days [5 year(s), 2 month(s), 18 day(s)];(1930-07-28 - 1935-10-14);1905 days [5 year(s), 2 month(s), 18 day(s)];1968-06-08;;;;;
James Bezan, M.P.;1965-05-19;Russell, Manitoba, Canada;cattle producer;7974 days [21 year(s), 9 month(s), 30 day(s)];(2004-06-28 - 2015-10-18)|(2015-10-19 - );7974 days [21 year(s), 9 month(s), 30 day(s)];;;;;English;
Jag Bhaduria, M.P.;1940-01-23;New Dehli, India;management consultant;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;;
The Hon. Marie-Claude Bibeau, P.C., M.P.;1970-04-04;Sherbrooke, Quebec, Canada;director, executive manager, businesswoman;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
Robert Bickerdike, M.P.;1843-08-17;Kingston, Canada West;businessman;6249 days [17 year(s), 1 month(s), 10 day(s)];(1900-11-07 - 1917-12-16);6249 days [17 year(s), 1 month(s), 10 day(s)];1928-12-28;;;;;
The Hon. Martha Palamarek Bielish, Senator;1915-10-20;Smoky Lake, Alberta, Canada;farmer, teacher;4018 days [11 year(s)];;;2010-05-18;(1979-09-27 - 1990-09-26);4018 days [11 year(s)];First Canadian woman of Ukrainian origin appointed to the Senate. (Source Palamarek, Michael. A history of women and politics in Alberta, 1900-1988. 1989.);;
Frederick Johnstone (Jack) Bigg, M.P.;1912-05-26;Meskanaw, Saskatchewan, Canada;lawyer, RCMP sergeant;5327 days [14 year(s), 7 month(s), 1 day(s)];(1958-03-31 - 1968-06-24)|(1968-06-25 - 1972-10-29);5327 days [14 year(s), 7 month(s), 1 day(s)];1975-04-17;;;;;
James Lyons Biggar, M.P.;1824-02-04;Carrying Place, Upper Canada;merchant, postmaster, land agent;1654 days [4 year(s), 6 month(s), 10 day(s)];(1874-01-22 - 1874-10-27)|(1874-12-12 - 1878-09-16);1654 days [4 year(s), 6 month(s), 10 day(s)];1879-05-24;;;Father of William Hodgins Biggar, member of the Ontario Legislative Assembly (1890-1898).  Grandfather of Oliver Mowat Biggar, Canada's first Chief Electoral Officer (1920-1927).;;
Bernard Bigras, M.P.;1969-06-04;Montreal, Quebec, Canada;economist, political adviser;5082 days [13 year(s), 10 month(s), 30 day(s)];(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27)|(2004-06-28 - 2011-05-01);5082 days [13 year(s), 10 month(s), 30 day(s)];;;;;;
The Hon. Caleb Rand Bill, Senator;1806-01-09;Billtown, Nova Scotia, Canada;farmer;1563 days [4 year(s), 3 month(s), 11 day(s)];;;1872-02-01 (Died in Office);(1867-10-23 - 1872-02-01);1563 days [4 year(s), 3 month(s), 11 day(s)];;;
Silas Tertius Rand Bill, M.P.;1842-09-09;Liverpool, Nova Scotia, Canada;merchant, shipowner;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];1890-12;;;;;
Louis Adolphe Billy, M.P.;1834-10-13;Gentilly, Lower Canada;lawyer;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];1907-03-20;;;;;
Gérard Binet, M.P.;1955-11-11;Thetford Mines, Quebec, Canada;draftsman, businessman;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;;;
Joseph Binette, M.P.;1861-05-01;Saint-Eugène, Canada West;farmer, hay and grain dealer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];1950-01-19;;;;;
Kenneth Charles Binks, Q.C., M.P.;1925-05-19;Ottawa, Ontario, Canada;lawyer;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];2018-09-14;;;;;
The Hon. Patrick George Binns, M.P.;1948-10-08;Weyburn, Saskatchewan, Canada;farmer, ambassador, management consultant;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
The Hon. Florence Bayard Bird, Senator;1908-01-15;Philadelphia, Pennsylvania, United States;broadcaster, author, journalist;1760 days [4 year(s), 9 month(s), 25 day(s)];;;1998-07-18;(1978-03-23 - 1983-01-15);1760 days [4 year(s), 9 month(s), 25 day(s)];First woman in Canadian history to head a Royal Commission of Inquiry (Status of Women in Canada, 1967). Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 1983.;;
John Williston (Bud) Bird, M.P.;1932-03-22;Fredericton, New Brunswick, Canada;businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1989-12-28)|(1989-12-29 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
Thomas William Bird, M.P.;1883-05-04;Killington, Westmorland, England;clergyperson;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];1958-06-09;;;;;
Thomas Birkett, M.P.;1844-02-01;Ottawa, Ontario, Canada;businessman;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];1920-10-21;;;;;
The Hon. Michel Biron, Senator;1934-03-16;Nicolet, Quebec, Canada;businessman;2721 days [7 year(s), 5 month(s), 12 day(s)];;;2023-04-26;(2001-10-04 - 2009-03-16);2721 days [7 year(s), 5 month(s), 12 day(s)];;;
The Hon. Charles Lawrence Bishop, Senator;1876-12-10;Bear River, Nova Scotia, Canada;journalist;7829 days [21 year(s), 5 month(s), 7 day(s)];;;1966-09-28;(1945-04-18 - 1966-09-23);7829 days [21 year(s), 5 month(s), 7 day(s)];;;
Edgar Douglas Richmond Bissett, M.P.;1890-05-03;Louisbourg, Nova Scotia, Canada;physician, surgeon;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];1990-01-14;;;The town of Bissett in Manitoba is  named in his honour.;;
The Hon. André Bissonnette, P.C., M.P.;1945-06-25;Saint-Jean-sur-Richelieu, Quebec, Canada;businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
J.-Eugène Bissonnette, M.P.;1892-03-05;Sainte-Claire, Quebec, Canada;physician;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];1980-09-03;;;;;
Chris Bittle, M.P.;1979-02-17;Niagara Falls, Ontario, Canada;lawyer;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;;English;
David Bjornson, M.P.;1947-07-07;Selkirk, Manitoba, Canada;electrical contractor;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1990-12-18)|(1990-12-19 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
Dawn Black, M.P.;1943-04-01;Vancouver, British Columbia, Canada;executive assistant;2976 days [8 year(s), 1 month(s), 24 day(s)];(1988-11-21 - 1993-10-24)|(2006-01-23 - 2009-04-13);2976 days [8 year(s), 1 month(s), 24 day(s)];;;;;;
Donald Elmer Black, M.P.;1892-09-21;Saint-Chrysostome, Quebec, Canada;farmer, merchant;6510 days [17 year(s), 9 month(s), 27 day(s)];(1935-10-14 - 1949-06-26)|(1949-06-27 - 1953-08-09);6510 days [17 year(s), 9 month(s), 27 day(s)];1980-04-15;;;;;
