Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Senator;Service in Senate;Notes
Paul Calandra, M.P.;1970-05-13;Toronto, Ontario, Canada;;executive assistant, insurance broker;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;
The Hon. James Alexander Calder, P.C., Senator, M.P.;1868-09-17;Oxford County, Ontario, Canada;1956-07-20 (Died in Office);lawyer, school administrator, teacher;14096 days [38 year(s), 7 month(s), 4 day(s)];(1917-12-17 - 1921-09-21);1375 days [3 year(s), 9 month(s), 5 day(s)];;(1921-09-22 - 1956-07-20);12721 days [34 year(s), 9 month(s), 29 day(s)];
Murray Calder, M.P.;1951-01-15;Mount Forest, Ontario, Canada;;poultry farmer;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;
James Eber Caldwell, M.P.;1943-07-20;Ottawa, Ontario, Canada;;broadcaster;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
Thomas Boyd Caldwell, M.P.;1856-02-22;Lanark, Canada West;1932-03-26;woollens manufacturer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
Thomas Wakem Caldwell, M.P.;1867-05-02;Florenceville, New Brunswick, Canada;1937-03-14;farmer;2194 days [6 year(s), 3 day(s)];(1919-10-27 - 1925-10-28);2194 days [6 year(s), 3 day(s)];;;;
William Murray Caldwell, M.P.;1832-05-18;Douglastown, New Brunswick, Canada;1870-09-29 (Died in Office);merchant;931 days [2 year(s), 6 month(s), 18 day(s)];(1868-03-13 - 1870-09-29);931 days [2 year(s), 6 month(s), 18 day(s)];;;;
Blaine Calkins, M.P.;1968-12-25;Lacombe, Alberta, Canada;;college instructor, information technology executive;7400 days [20 year(s), 3 month(s), 4 day(s)];(2006-01-23 - 2015-10-18)|(2015-10-19 - 2025-04-27)|(2025-04-28 - );7400 days [20 year(s), 3 month(s), 4 day(s)];English;;;
The Hon. Catherine S. Callbeck, M.P., Senator;1939-07-25;Central Bedeque, Prince Edward Island, Canada;;businesswoman;7678 days [21 year(s), 8 day(s)];(1988-11-21 - 1993-01-25);1527 days [4 year(s), 2 month(s), 5 day(s)];;(1997-09-22 - 2014-07-25);6151 days [16 year(s), 10 month(s), 3 day(s)];Awarded the Order of Prince Edward Island (O.P.E.I.) in 2017.
William Samuel Calvert, M.P.;1859-03-03;Warwick Township, Canada West;1930-02-22;manufacturer, merchant;4867 days [13 year(s), 3 month(s), 28 day(s)];(1896-06-23 - 1909-10-20);4867 days [13 year(s), 3 month(s), 28 day(s)];;;;
Hiram Augustus Calvin, M.P.;1851-04-06;Garden Island, Canada West;1932-01-13;businessman;2931 days [8 year(s), 9 day(s)];(1892-06-10 - 1896-06-22)|(1900-11-07 - 1904-11-02);2931 days [8 year(s), 9 day(s)];;;;
Alan John Patrick Cameron, Q.C., M.P.;1895-09-23;Brandon, Manitoba, Canada;1982-01-03;barrister, lawyer;5104 days [13 year(s), 11 month(s), 21 day(s)];(1949-06-27 - 1957-06-09)|(1962-06-18 - 1968-06-24);5104 days [13 year(s), 11 month(s), 21 day(s)];;;;
Colin Cameron, M.P.;1896-09-28;Exeter, England;1968-07-28 (Died in Office);farmer, industrial worker;3927 days [10 year(s), 9 month(s), 1 day(s)];(1953-08-10 - 1958-03-30)|(1962-06-18 - 1968-07-28);3927 days [10 year(s), 9 month(s), 1 day(s)];;;;
Daniel Alexander Cameron, K.C., M.P.;1870-12-10;Sydney River, Nova Scotia, Canada;1937-09-04 (Died in Office);barrister;692 days [1 year(s), 10 month(s), 23 day(s)];(1935-10-14 - 1937-09-04);692 days [1 year(s), 10 month(s), 23 day(s)];;;;
The Hon. Donald Cameron, Senator;1901-03-06;Devonport, England;1989-02-13;professor;11742 days [32 year(s), 1 month(s), 24 day(s)];;;;(1955-07-28 - 1987-09-19);11742 days [32 year(s), 1 month(s), 24 day(s)];
Donald Mackenzie Cameron, M.P.;1843-11-11;Dingwall, Scotland;1936-05-12;merchant, journalist;1166 days [3 year(s), 2 month(s), 9 day(s)];(1883-12-14 - 1887-02-21);1166 days [3 year(s), 2 month(s), 9 day(s)];;;;
Donald Niel (Don) Cameron, M.P.;1917-04-17;Alexandria, Ontario, Canada;2014-12-24;heavy construction contractor;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
Hector Cameron, K.C., M.P.;1832-06-03;Montreal, Lower Canada;1896-11-02;lawyer;4176 days [11 year(s), 5 month(s), 6 day(s)];(1875-09-17 - 1887-02-21);4176 days [11 year(s), 5 month(s), 6 day(s)];;;;
Hugh Cameron, M.P.;1836-03-18;Antigonish County, Nova Scotia, Canada;1918-05-11;physician;6966 days [19 year(s), 26 day(s)];(1867-09-20 - 1872-10-11)|(1882-06-20 - 1896-06-22);6966 days [19 year(s), 26 day(s)];;;;
John Charles Alexander Cameron, Q.C., M.P.;1891-11-29;Morrisburg, Ontario, Canada;1976-03-24;barrister;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
John Hillyard Cameron, Q.C., M.P.;1817-04-14;Blendecques, France;1876-11-14 (Died in Office);lawyer, businessman;3344 days [9 year(s), 1 month(s), 27 day(s)];(1867-09-20 - 1872-10-11)|(1872-10-12 - 1876-11-14);3344 days [9 year(s), 1 month(s), 27 day(s)];;;;
Malcolm Cameron, M.P.;1808-04-25;Trois-Rivières, Lower Canada;1876-06-01 (Died in Office);lumber merchant, businessman;862 days [2 year(s), 4 month(s), 10 day(s)];(1874-01-22 - 1876-06-01);862 days [2 year(s), 4 month(s), 10 day(s)];;;;
The Hon. Malcolm Colin Cameron,;1832-04-12;Perth, Upper Canada;1898-09-26;lawyer;6592 days [18 year(s), 18 day(s)];(1867-09-20 - 1874-02-22)|(1878-09-17 - 1882-06-19)|(1882-06-20 - 1887-02-21)|(1891-03-05 - 1891-12-26)|(1896-01-14 - 1898-05-29);6592 days [18 year(s), 18 day(s)];;;;
The Hon. Iona Campagnolo, P.C., M.P.;1932-10-18;Galiano Island, British Columbia, Canada;2024-04-04;broadcaster, sales manager;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;"First female President of a federal political party (Liberal Party, 1982).
First female lieutenant governor of British Columbia (2001-2007).
Awarded the Order of British Columbia (O.B.C.) in 1998."
The Right Hon. A. Kim Campbell, P.C., K.C., M.P.;1947-03-10;Port Alberni, British Columbia, Canada;;lecturer, consul general, lawyer;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;Of Scottish origin.First woman Prime Minister of Canada.
The Hon. Sir Alexander Campbell, P.C., Q.C., K.C.M.G., Senator;1822-03-09;Hedon, Yorkshire, England;1892-05-24;lawyer;7048 days [19 year(s), 3 month(s), 17 day(s)];;;;(1867-10-23 - 1887-02-07);7048 days [19 year(s), 3 month(s), 17 day(s)];Father of Confederation, attended the Charlottetown (Sept. 1864) and Quebec (Oct. 1864) conferences.
Alexander Maxwell (Max) Campbell, M.P.;1888-08-07;Montreal, Quebec, Canada;1962-08-14;farmer, manager, contractor;3171 days [8 year(s), 8 month(s), 6 day(s)];(1945-06-11 - 1949-06-26)|(1953-08-10 - 1958-03-30);3171 days [8 year(s), 8 month(s), 6 day(s)];;;;
The Hon. Archibald Campbell, M.P., Senator;1845-04-27;Howard, Canada West;1913-01-15 (Died in Office);miller, businessman;8859 days [24 year(s), 3 month(s), 2 day(s)];(1887-02-22 - 1887-11-17)|(1888-05-02 - 1900-11-06)|(1902-01-15 - 1904-11-02)|(1904-11-03 - 1907-11-21);6977 days [19 year(s), 1 month(s), 7 day(s)];;(1907-11-22 - 1913-01-15);1882 days [5 year(s), 1 month(s), 26 day(s)];
Barry R. Campbell, M.P.;1950-06-15;Montreal, Quebec, Canada;;lawyer;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Charles James Campbell, M.P.;1819-11-06;Isle of Skye, Scotland;1906-04-17;mining entrepreneur, merchant;2780 days [7 year(s), 7 month(s), 10 day(s)];(1874-12-17 - 1875-02-28)|(1876-09-21 - 1878-09-16)|(1882-06-20 - 1887-11-20);2780 days [7 year(s), 7 month(s), 10 day(s)];;;;
Colin Alexander Campbell, M.P.;1901-01-17;Shedden, Ontario, Canada;1978-12-25;mining engineer;1053 days [2 year(s), 10 month(s), 19 day(s)];(1934-09-24 - 1937-08-11);1053 days [2 year(s), 10 month(s), 19 day(s)];;;;
Coline M. Campbell, M.P.;1940-09-26;Nova Scotia, Canada;;barrister, lawyer, teacher;5238 days [14 year(s), 4 month(s), 3 day(s)];(1974-07-08 - 1979-05-21)|(1980-02-18 - 1984-09-03)|(1988-11-21 - 1993-10-24);5238 days [14 year(s), 4 month(s), 3 day(s)];;;;First woman from Nova Scotia elected to the House of Commons.
Ernest John Campbell, M.P.;1903-09-23;Chatham Township, Ontario, Canada;1993-06-13;farmer;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;
Glenlyon Campbell, D.S.O., M.P.;1863-10-23;Fort Pelly, Saskatchewan, Canada;1917-10-20;trapper, rancher;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
The Hon. Gordon Peter Campbell, Q.C., Senator;1898-10-03;Ridgetown, Ontario, Canada;1964-01-16 (Died in Office);barrister;7637 days [20 year(s), 10 month(s), 28 day(s)];;;;(1943-02-19 - 1964-01-16);7637 days [20 year(s), 10 month(s), 28 day(s)];
Grant Campbell, , M.P.;1922-08-26;Cornwall, Ontario, Canada;2008-03-12;barrister, lawyer;1568 days [4 year(s), 3 month(s), 16 day(s)];(1958-03-31 - 1962-07-15);1568 days [4 year(s), 3 month(s), 16 day(s)];;;;
John Campbell, M.P.;1936-01-02;Salaberry-de-Valleyfield, Quebec, Canada;;insurance agent, businessman;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1974-07-07)|(1974-07-08 - 1979-05-21)|(1979-05-22 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;
John Campbell, M.P.;1849-07-16;Weymouth, Nova Scotia, Canada;1887-05-26 (Died in Office);merchant;94 days [, 3 month(s), 3 day(s)];(1887-02-22 - 1887-05-26);94 days [, 3 month(s), 3 day(s)];;;;
John Archibald Campbell, Q.C., M.P.;1872-04-19;Clinton, Ontario, Canada;1963-11-26;barrister, principal, teacher;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
The Hon. Larry W. Campbell, Senator;;Brantford, Ontario, Canada;;script writer, consultant, coroner, police officer / investigator, ironworker;6420 days [17 year(s), 6 month(s), 28 day(s)];;;;(2005-08-02 - 2023-02-28);6420 days [17 year(s), 6 month(s), 28 day(s)];
Milton Neil Campbell, M.P.;1881-01-21;Greenvale, Prince Edward Island, Canada;1965-11-11;telegrapher, station agent, farmer;4080 days [11 year(s), 2 month(s), 1 day(s)];(1921-12-06 - 1933-02-05);4080 days [11 year(s), 2 month(s), 1 day(s)];;;;
Robert Campbell, M.P.;1818-03-20;Glenurquhart, Scotland;1887-06-14 (Died in Office);lumberman, businessman;1821 days [4 year(s), 11 month(s), 25 day(s)];(1882-06-20 - 1887-06-14);1821 days [4 year(s), 11 month(s), 25 day(s)];;;;
Stewart Campbell, Q.C., M.P.;1812-05-05;Jamaïca;1885-02-20;lawyer;2316 days [6 year(s), 4 month(s), 3 day(s)];(1867-09-20 - 1874-01-21);2316 days [6 year(s), 4 month(s), 3 day(s)];;;;
The Hon. W. Bennett Campbell, P.C.,;1943-08-27;Montague, Prince Edward Island, Canada;2008-09-11;teacher;1240 days [3 year(s), 4 month(s), 22 day(s)];(1981-04-13 - 1984-09-03);1240 days [3 year(s), 4 month(s), 22 day(s)];;;;
William (Bill) Campbell, M.P.;1929;Sarnia, Ontario, Canada;;process operator, farmer;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
Charles-Édouard Campeau, M.P.;1916-04-24;;1992-03-20;engineer, urban planner;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
The Hon. Ralph Osborne Campney, P.C., M.P.;1894-06-06;Picton, Ontario, Canada;1967-10-06;barrister;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
The Hon. Ronald Cannan, P.C., M.P.;1961-05-08;Edmonton, Alberta, Canada;;advertising consultant, sales and marketing consultant;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;
Richard Cannings, M.P.;1954-03-31;Penticton, British Columbia, Canada;;biologist, author;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;
John Cannis, M.P.;1951-11-04;Kalymnos, Greece;;human resources consultant, businessman;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;
Charles-Arthur Dumoulin Cannon, Q.C., M.P.;1905-09-11;Québec, Quebec, Canada;1976-09-23;lawyer;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
The Hon. Lawrence Cannon, P.C., M.P.;1947-12-06;Québec, Quebec, Canada;;diplomat, communication consultant, political assistant, businessman, ambassador;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Great-nephew of Joseph Ignatius Power and Lawrence Arthur Cannon, members of the Quebec Legislative Assembly (1927-35) (1916-23), and William Gerard Power, member of the Quebec Legislative Council (1923-34).Awarded the title of Commander of the Ordre de la Pléiade in 2018."
The Hon. Lucien Cannon, P.C., K.C., M.P.;1887-01-16;Arthabaska, Quebec, Canada;1950-02-14;lawyer;4671 days [12 year(s), 9 month(s), 14 day(s)];(1917-12-17 - 1926-10-04)|(1926-11-02 - 1930-07-27)|(1935-10-14 - 1936-01-14);4671 days [12 year(s), 9 month(s), 14 day(s)];;;;
Reginald (Reg) Cantelon, M.P.;1902-09-24;Indian Head, Northwest Territories, Canada;1993-09-02;school principal, teacher;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];;;;
Jean-Charles Cantin, M.P.;1918-02-17;Québec, Quebec, Canada;2005-02-05;diplomat, lawyer, consul general;3787 days [10 year(s), 4 month(s), 13 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29);3787 days [10 year(s), 4 month(s), 13 day(s)];;;;
Col. The Hon. Thomas Cantley, M.P., Senator;1857-04-19;New Glasgow, Nova Scotia, Canada;1945-02-24 (Died in Office);manufacturer;7059 days [19 year(s), 3 month(s), 28 day(s)];(1925-10-29 - 1935-07-19);3551 days [9 year(s), 8 month(s), 21 day(s)];;(1935-07-20 - 1945-02-24);3508 days [9 year(s), 7 month(s), 8 day(s)];
René Canuel, M.P.;1936-10-21;Sainte-Odile, Quebec, Canada;;professor, teacher;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;
Armand Caouette, M.P.;1945-07-20;Rouyn, Quebec, Canada;2010-05-15;salesman, sales representative, air-conditioning operator-mechanic;2051 days [5 year(s), 7 month(s), 12 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1980-02-17);2051 days [5 year(s), 7 month(s), 12 day(s)];;;;
David Réal Caouette, M.P.;1917-09-26;Amos, Quebec, Canada;1976-12-16 (Died in Office);manager, automobile dealer, garage owner / operator, insurance agent, businessman;6311 days [17 year(s), 3 month(s), 11 day(s)];(1946-09-16 - 1949-06-26)|(1962-06-18 - 1968-06-24)|(1968-06-25 - 1976-12-16);6311 days [17 year(s), 3 month(s), 11 day(s)];;;;
Gilles Caouette, M.P.;1940-02-16;Rouyn, Quebec, Canada;2009-08-13;technician, research director, draftsman, administrator;1344 days [3 year(s), 8 month(s), 5 day(s)];(1972-10-30 - 1974-07-07)|(1977-05-24 - 1979-05-21);1344 days [3 year(s), 8 month(s), 5 day(s)];;;;
The Hon. Elinor Caplan, P.C., M.P.;1944-05-20;Toronto, Ontario, Canada;;businesswoman;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
Onésiphore Carbonneau, M.P.;1852-06-17;Berthier-en-Bas, Canada East;1932-02-25;merchant;1023 days [2 year(s), 9 month(s), 19 day(s)];(1902-01-15 - 1904-11-02);1023 days [2 year(s), 9 month(s), 19 day(s)];;;;
Lewis Elston Cardiff, M.P.;1889-01-22;Brussels, Ontario, Canada;1969-04-16;farmer;9358 days [25 year(s), 7 month(s), 14 day(s)];(1940-03-26 - 1953-08-09)|(1953-08-10 - 1965-11-07);9358 days [25 year(s), 7 month(s), 14 day(s)];;;;
Murray Cardiff, M.P.;1934-06-10;Grey Township, Ontario, Canada;2013-10-31;farmer;4998 days [13 year(s), 8 month(s), 7 day(s)];(1980-02-18 - 1993-10-24);4998 days [13 year(s), 8 month(s), 7 day(s)];;;;
The Hon. Louis-Joseph-Lucien Cardin, P.C., Q.C., M.P.;1919-03-01;Providence, Rhode Island, United States;1988-06-13;lawyer;5293 days [14 year(s), 5 month(s), 28 day(s)];(1952-10-06 - 1967-04-03);5293 days [14 year(s), 5 month(s), 28 day(s)];;;;
The Hon. Pierre-Joseph-Arthur Cardin, P.C., K.C., M.P.;1879-06-28;Sorel, Quebec, Canada;1946-10-20 (Died in Office);lawyer;12581 days [34 year(s), 5 month(s), 11 day(s)];(1911-09-21 - 1912-04-29)|(1912-10-24 - 1924-01-29)|(1924-02-27 - 1926-10-04)|(1926-11-02 - 1935-10-13)|(1935-10-14 - 1946-10-20);12581 days [34 year(s), 5 month(s), 11 day(s)];;;;
Serge Cardin, M.P.;1950-07-02;Sherbrooke, Quebec, Canada;;chartered accountant;4613 days [12 year(s), 7 month(s), 17 day(s)];(1998-09-14 - 2011-05-01);4613 days [12 year(s), 7 month(s), 17 day(s)];;;;
Henry Cargill, M.P.;1838;Nassagaweya Township, Upper Canada;1903-10-01 (Died in Office);lumber merchant, farmer, merchant;5675 days [15 year(s), 6 month(s), 13 day(s)];(1887-02-22 - 1887-03-14)|(1887-04-02 - 1891-02-03)|(1892-02-11 - 1903-10-01);5675 days [15 year(s), 6 month(s), 13 day(s)];;;;
The Hon. Claude Carignan, P.C., Senator;;;;lawyer, professor of law;6088 days [16 year(s), 8 month(s), 1 day(s)];;;French;(2009-08-27 - );6088 days [16 year(s), 8 month(s), 1 day(s)];
Jean Guy Carignan, M.P.;1941-05-03;Victoriaville, Quebec, Canada;;administrator;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;
Onésime Carignan, M.P.;1839-10-16;Champlain, Lower Canada;1897-09-20;grocer, wholesaler;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;;;
The Hon. Sir John Carling, P.C., K.C.M.G., M.P., Senator;1828-01-23;London, Upper Canada;1911-11-06 (Died in Office);brewer;14358 days [39 year(s), 3 month(s), 22 day(s)];(1867-09-20 - 1874-01-21)|(1878-09-17 - 1891-03-04)|(1892-02-26 - 1896-04-22);8386 days [22 year(s), 11 month(s), 16 day(s)];;(1891-04-27 - 1892-02-17)|(1896-04-23 - 1911-11-06);5972 days [16 year(s), 4 month(s), 6 day(s)];
Archibald M. Carmichael, M.P.;1882-01-04;Smithdale, Ontario, Canada;1959-08-30;farmer, minister, teacher;5060 days [13 year(s), 10 month(s), 8 day(s)];(1921-12-06 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];;;;
The Hon. James William Carmichael, M.P., Senator;1819-12-16;New Glasgow, Nova Scotia, Canada;1903-05-01;shipowner, businessman;5123 days [14 year(s), 10 day(s)];(1867-09-20 - 1872-10-11)|(1874-01-22 - 1878-09-16);3548 days [9 year(s), 8 month(s), 18 day(s)];;(1898-12-31 - 1903-04-24);1575 days [4 year(s), 3 month(s), 23 day(s)];
John Carmichael, M.P.;1952-02-14;Toronto, Ontario, Canada;;business executive, automobile dealer;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
