Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;Senator;Service in Senate;MP;Service in House of Commons;Notes;Language Preference;Cause of Death
Denis Blanchette, M.P.;1956-09-04;Québec, Quebec, Canada;;public servant, computer analyst;1631 days [4 year(s), 5 month(s), 18 day(s)];;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;
Joseph-Adéodat Blanchette, M.P.;1893-08-07;Acton Vale, Quebec, Canada;1968-11-14;merchant;8204 days [22 year(s), 5 month(s), 17 day(s)];;;(1935-10-14 - 1949-06-26)|(1949-06-27 - 1958-03-30);8204 days [22 year(s), 5 month(s), 17 day(s)];;;
Maxime Blanchette-Joncas, M.P.;;;;administrator, Associate director general, political attaché, union representative;2381 days [6 year(s), 6 month(s), 7 day(s)];;;(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;French;
Lysane Blanchette-Lamothe, M.P.;1984-04-07;Montreal, Quebec, Canada;;community-development worker;1631 days [4 year(s), 5 month(s), 18 day(s)];;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;
Leonard Thomas Bland, M.P.;1851-12-17;St. David's, Canada West;1906-08-19 (Died in Office);farmer;655 days [1 year(s), 9 month(s), 16 day(s)];;;(1904-11-03 - 1906-08-19);655 days [1 year(s), 9 month(s), 16 day(s)];;;
Rachel Blaney, M.P.;1974-09-18;Terrace, British Columbia, Canada;;executive director, employment officer;3479 days [9 year(s), 6 month(s), 9 day(s)];;;(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;
The Hon. Steven Blaney, P.C., M.P.;1965-04-08;Sherbrooke, Quebec, Canada;;environmental consultant, engineer;5719 days [15 year(s), 7 month(s), 27 day(s)];;;(2006-01-23 - 2015-10-18)|(2015-10-19 - 2021-09-19);5719 days [15 year(s), 7 month(s), 27 day(s)];;;
Kenneth Alexander Blatchford, M.P.;1882-03-05;Minnedosa, Manitoba, Canada;1933-04-20;insurance broker;1413 days [3 year(s), 10 month(s), 13 day(s)];;;(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;
Donald Alex Blenkarn, Q.C., M.P.;1930-06-17;Toronto, Ontario, Canada;2012-01-30;lawyer;5886 days [16 year(s), 1 month(s), 12 day(s)];;;(1972-10-30 - 1974-07-07)|(1979-05-22 - 1993-10-24);5886 days [16 year(s), 1 month(s), 12 day(s)];;;
Kelly Block, M.P.;1961-11-30;Saskatoon, Saskatchewan, Canada;;administrator;6405 days [17 year(s), 6 month(s), 13 day(s)];;;(2008-10-14 - 2015-10-18)|(2015-10-19 - );6405 days [17 year(s), 6 month(s), 13 day(s)];;English;
The Hon. Frederick Murray Blois, Senator;1893-03-30;Gore District, Nova Scotia, Canada;1984-08-03;businessman;6117 days [16 year(s), 8 month(s), 30 day(s)];(1960-01-14 - 1976-10-12);6117 days [16 year(s), 8 month(s), 30 day(s)];;;;;
The Hon. Kody Blois, P.C., M.P.;;;;lawyer;2381 days [6 year(s), 6 month(s), 7 day(s)];;;(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;English;
Charles Bruno Blondeau, M.P.;1835-03-22;Saint-Pascal de Kamouraska, Lower Canada;1888-07-04;contractor;1708 days [4 year(s), 8 month(s), 4 day(s)];;;(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;
The Hon. Lt. Col. Pierre Édouard Blondin, P.C., Senator;1874-12-14;Saint-François du Lac, Quebec, Canada;1943-10-29 (Died in Office);lawyer, notary;12554 days [34 year(s), 4 month(s), 14 day(s)];(1918-07-20 - 1943-10-29);9233 days [25 year(s), 3 month(s), 11 day(s)];(1908-10-26 - 1914-10-19)|(1914-11-07 - 1917-12-16);3321 days [9 year(s), 1 month(s), 4 day(s)];;;
The Hon. Ethel Dorothy Blondin-Andrew, P.C., M.P.;1951-03-25;Fort Norman (Tulita), Northwest Territories, Canada;;educator, public servant;6272 days [17 year(s), 2 month(s), 2 day(s)];;;(1988-11-21 - 2006-01-22);6272 days [17 year(s), 2 month(s), 2 day(s)];First indigenous woman elected to the House of Commons. A Dene from the First Nation.;;
Garnet McCallum Bloomfield, M.P.;1929-04-08;Ilderton, Ontario, Canada;2018-08-01;farmer;1660 days [4 year(s), 6 month(s), 16 day(s)];;;(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;
Anne Blouin, M.P.;1946-09-14;Sainte-Anne-de-Beaupré, Quebec, Canada;;executive assistant;1539 days [4 year(s), 2 month(s), 17 day(s)];;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;
Gustave Blouin, M.P.;1912-07-12;Sept-Îles, Quebec, Canada;2002-04-14;manufacturer;5888 days [16 year(s), 1 month(s), 14 day(s)];;;(1963-04-08 - 1968-06-24)|(1968-06-25 - 1979-05-21);5888 days [16 year(s), 1 month(s), 14 day(s)];;;
Donald Buchanan Blue, M.P.;1901-05-05;Huron Township, Ontario, Canada;1974-12-04;farmer, merchant, auctioneer;1505 days [4 year(s), 1 month(s), 14 day(s)];;;(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;
William George Bock, M.P.;1884-06-11;Port Elgin, Ontario, Canada;1973-03-28;farmer;976 days [2 year(s), 8 month(s), 3 day(s)];;;(1927-11-25 - 1930-07-27);976 days [2 year(s), 8 month(s), 3 day(s)];;;
Robert Theodore Bockstael, M.P.;1923-02-15;Saint-Boniface, Manitoba, Canada;2017-06-28;businessman;1932 days [5 year(s), 3 month(s), 15 day(s)];;;(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;
Morris P. Bodnar, K.C., M.P.;1948-09-04;Saskatoon, Saskatchewan, Canada;;barrister and solicitor, lawyer;1316 days [3 year(s), 7 month(s), 7 day(s)];;;(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;
Ebenezer Vining Bodwell, M.P.;1827-04-30;Nissouri Township, Upper Canada;1889-10-18;merchant;2407 days [6 year(s), 7 month(s), 3 day(s)];;;(1867-09-20 - 1874-04-22);2407 days [6 year(s), 7 month(s), 3 day(s)];;;
The Hon. Peter M. Boehm, Senator;;;;foreign-service officer, ambassador, public servant;2764 days [7 year(s), 6 month(s), 24 day(s)];(2018-10-03 - );2764 days [7 year(s), 6 month(s), 24 day(s)];;;;English, French, German, Spanish;
Alain Boire, M.P.;1971-06-23;Montreal, Quebec, Canada;;home automation technician, director, electronics technician, data processing technician, businessman;574 days [1 year(s), 6 month(s), 26 day(s)];;;(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;
The Hon. Henri Charles Bois, Senator;1897-02-08;Saint-Joseph-de-Lévis, Quebec, Canada;1962-07-18 (Died in Office);professor, agronomist;2023 days [5 year(s), 6 month(s), 14 day(s)];(1957-01-03 - 1962-07-18);2023 days [5 year(s), 6 month(s), 14 day(s)];;;;;
The Hon. Randy Boissonnault, P.C., M.P.;1970-07-14;Morinville, Alberta, Canada;;commentator, management consultant, entrepreneur;2779 days [7 year(s), 7 month(s), 9 day(s)];;;(2015-10-19 - 2019-10-20)|(2021-09-20 - 2025-04-27);2779 days [7 year(s), 7 month(s), 9 day(s)];;;
The Hon. Pierre-Hugues Boisvenu, Senator;;Notre-Dame-de-la-Salette, Quebec, Canada;;activist, senior public servant, director;5127 days [14 year(s), 14 day(s)];(2010-01-29 - 2024-02-11);5127 days [14 year(s), 14 day(s)];;;Awarded the title of Knight of the Ordre de la Pléiade in 2013.;;
Fabien Boisvert, M.P.;1839-06-21;Bécancour, Lower Canada;1897-11-12 (Died in Office);farmer, land surveyor;1469 days [4 year(s), 8 day(s)];;;(1888-07-17 - 1891-03-04)|(1896-06-23 - 1897-11-12);1469 days [4 year(s), 8 day(s)];;;
Jean-Marie Boisvert, M.P.;1939-09-20;;;teacher;616 days [1 year(s), 8 month(s), 8 day(s)];;;(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;
Maurice Boisvert, Q.C., M.P.;1897-02-18;Pierreville, Quebec, Canada;1988-02-23;lawyer;2905 days [7 year(s), 11 month(s), 13 day(s)];;;(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;
Françoise Boivin, M.P.;1960-06-11;Hull, Quebec, Canada;;lawyer, radio & tv host;2205 days [6 year(s), 14 day(s)];;;(2004-06-28 - 2006-01-22)|(2011-05-02 - 2015-10-18);2205 days [6 year(s), 14 day(s)];;;
The Hon. Georges Henri Boivin, P.C., K.C., M.P.;1882-12-26;Granby, Quebec, Canada;1926-08-07 (Died in Office);lawyer;5435 days [14 year(s), 10 month(s), 18 day(s)];;;(1911-09-21 - 1926-08-07);5435 days [14 year(s), 10 month(s), 18 day(s)];;;
Marcel Boivin, M.P.;1912-11-02;Granby, Quebec, Canada;1974-04-30;manager, agent, businessman;6216 days [17 year(s), 7 day(s)];;;(1945-06-11 - 1962-06-17);6216 days [17 year(s), 7 day(s)];;;
Pierre-Ernest Boivin, M.P.;1872-06-24;Farnham, Quebec, Canada;1938-12-26;businessman;1413 days [3 year(s), 10 month(s), 13 day(s)];;;(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;
The Hon. Joseph Bolduc, P.C., M.P., Senator;1847-06-22;Saint-Victor-de-Tring, Canada East;1924-08-13 (Died in Office);lumber merchant, farmer, railway director, notary;17466 days [47 year(s), 9 month(s), 25 day(s)];(1884-10-03 - 1924-08-13);14559 days [39 year(s), 10 month(s), 10 day(s)];(1876-10-18 - 1884-10-02);2907 days [7 year(s), 11 month(s), 15 day(s)];;;
The Hon. Roch Bolduc, Senator;1928-09-10;Saint-Raphaël, Quebec, Canada;;professor, senior public servant, administrator;5463 days [14 year(s), 11 month(s), 15 day(s)];(1988-09-26 - 2003-09-10);5463 days [14 year(s), 11 month(s), 15 day(s)];;;;;
David Wesley Bole, M.P.;1856-02-15;Warwick Township, Canada West;1933-06-24;pharmacist, newspaper editor;1453 days [3 year(s), 11 month(s), 22 day(s)];;;(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;
Ferris Bolton, M.P.;1853-02-13;Newboro, Canada West;1937-05-11;farmer;1450 days [3 year(s), 11 month(s), 19 day(s)];;;(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;
John Bolton, M.P.;1824;England;1872-07-14 (Died in Office);merchant;1760 days [4 year(s), 9 month(s), 25 day(s)];;;(1867-09-20 - 1872-07-14);1760 days [4 year(s), 9 month(s), 25 day(s)];;;
The Hon. Gwen Boniface, Senator;;;;educator, lawyer, police chief;3293 days [9 year(s), 6 day(s)];(2016-11-10 - 2025-11-15);3293 days [9 year(s), 6 day(s)];;;Awarded the Order of Ontario (O.Ont.) in 2001.;;
Raymond Bonin, M.P.;1942-11-20;Sudbury, Ontario, Canada;;professor - community college;5468 days [14 year(s), 11 month(s), 20 day(s)];;;(1993-10-25 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;
The Hon. Mark Lorne Bonnell, Senator;1923-01-04;Hopefield, Prince Edward Island, Canada;2006-10-09;physician;9559 days [26 year(s), 2 month(s), 2 day(s)];(1971-11-04 - 1998-01-04);9559 days [26 year(s), 2 month(s), 2 day(s)];;;;;
Saul Bonnell, M.P.;1872-12-29;Newfoundland;1973-03-21;physician;1450 days [3 year(s), 11 month(s), 19 day(s)];;;(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;
Joseph-Arsène Bonnier, M.P.;1879-11-25;Saint-Urbain, Quebec, Canada;1962-08-20;undertaker, person of independent means, contractor;7378 days [20 year(s), 2 month(s), 12 day(s)];;;(1938-01-17 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);7378 days [20 year(s), 2 month(s), 12 day(s)];;;
France Bonsant, M.P.;1952-08-18;Waterville, Quebec, Canada;;assistant detail engineer;2499 days [6 year(s), 10 month(s), 4 day(s)];;;(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;
The Hon. Paul Bonwick, P.C., M.P.;1964-10-24;Collingwood, Ontario, Canada;;sales and marketing consultant, businessman;2583 days [7 year(s), 26 day(s)];;;(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;
Lt. Col. Charles Stephen Booth, M.P.;1897-01-27;Malvern, Worcestershire, England;1988-08-30;barrister;1903 days [5 year(s), 2 month(s), 16 day(s)];;;(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;
The Hon. Sir Frederick William Borden, P.C., M.P.;1847-05-14;Cornwallis, Nova Scotia, Canada;1917-01-06;physician, businessman;11971 days [32 year(s), 9 month(s), 9 day(s)];;;(1874-01-22 - 1882-06-19)|(1887-02-22 - 1891-11-28)|(1892-02-13 - 1911-09-20);11971 days [32 year(s), 9 month(s), 9 day(s)];;;
The Right Hon. Sir Robert Laird Borden, P.C., K.C., M.P.;1854-06-26;Grand Pré, Nova Scotia, Canada;1937-06-10;lawyer;9186 days [25 year(s), 1 month(s), 25 day(s)];;;(1896-06-23 - 1904-11-02)|(1905-02-04 - 1909-01-25)|(1911-10-27 - 1917-12-16)|(1917-12-17 - 1921-12-05);9186 days [25 year(s), 1 month(s), 25 day(s)];;;heart failure
Charmaine Borg, M.P.;1990-11-03;Oakville, Ontario, Canada;;labour relations officer, volunteer worker, student, community activist;1631 days [4 year(s), 5 month(s), 18 day(s)];;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;
Rick Borotsik, M.P.;1950-09-08;Brandon, Manitoba, Canada;;businessman;2583 days [7 year(s), 26 day(s)];;;(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;
Robert James Borrie, M.P.;1926-12-31;Cobalt, Ontario, Canada;1999-12-26;manager, secretary;1588 days [4 year(s), 4 month(s), 5 day(s)];;;(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;
Edward Barnes Borron, M.P.;1820-12-06;Woolden Hall, Lancashire, England;1915-04-23;crown lands agent, mining entrepreneur, mining inspector;1699 days [4 year(s), 7 month(s), 25 day(s)];;;(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];;;
The Hon. Peter Bosa, Senator;1927-05-02;Friuli, Italy;1998-12-10 (Died in Office);insurance executive, businessman;7920 days [21 year(s), 8 month(s), 7 day(s)];(1977-04-05 - 1998-12-10);7920 days [21 year(s), 8 month(s), 7 day(s)];;;Of Italian origin.;;
Ken Boshcoff, M.P.;1949-06-20;Fort William, Ontario, Canada;;insurance executive, lecturer, business advisor, marketing manager;1569 days [4 year(s), 3 month(s), 17 day(s)];;;(2004-06-28 - 2008-10-13);1569 days [4 year(s), 3 month(s), 17 day(s)];;;
The Hon. John William Bosley, P.C., M.P.;1947-05-04;Toronto, Ontario, Canada;2022-04-28;businessman;5270 days [14 year(s), 5 month(s), 5 day(s)];;;(1979-05-22 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;
Joseph Guillaume Bossé, Q.C., M.P.;1843-08-04;Québec, Canada East;1908-09-07;lawyer;1708 days [4 year(s), 8 month(s), 4 day(s)];;;(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;
The Hon. Joseph-Noël Bossé, Q.C., Senator;1807-12-25;Cap-Saint-Ignace, Lower Canada;1881-09-24;judge, lawyer;71 days [, 2 month(s), 10 day(s)];(1867-10-23 - 1868-01-23);71 days [, 2 month(s), 10 day(s)];;;Appointed as puisne judge of the Superior Court of Quebec in 1868.;;
Mike Bossio, M.P.;;Madoc, Ontario, Canada;;entrepreneur, recruiter;1463 days [4 year(s), 2 day(s)];;;(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;
