Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Thomas Speakman Barnett, M.P.;1909-09-03;Red Deer, Alberta, Canada;2003-06-05;factory worker, editor, sawmiller;5810 days [15 year(s), 10 month(s), 27 day(s)];(1953-08-10 - 1958-03-30)|(1962-06-18 - 1968-06-24)|(1969-04-08 - 1974-07-07);5810 days [15 year(s), 10 month(s), 27 day(s)];;;;
The Hon. Efstathios William (Staff) Barootes, Senator;1918-11-15;Winnipeg, Manitoba, Canada;2000-07-30;physician;3078 days [8 year(s), 5 month(s), 4 day(s)];;;(1984-12-21 - 1993-05-25);3078 days [8 year(s), 5 month(s), 4 day(s)];;Of Hellenic origin.
John Barr, M.P.;1843-03-04;Elizabethtown, Canada West;1909-11-19 (Died in Office);physician;1843 days [5 year(s), 17 day(s)];(1904-11-03 - 1909-11-19);1843 days [5 year(s), 17 day(s)];;;;
David Barrett, M.P.;1930-10-02;Vancouver, British Columbia, Canada;2018-02-02;lecturer, broadcaster, social worker;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
H. Gordon Barrett, M.P.;1915-08-20;Thorold, Ontario, Canada;1993-05-30;safety director;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
Michael Barrett, M.P.;;Scarborough, Ontario, Canada;;manager - human resources;2703 days [7 year(s), 4 month(s), 24 day(s)];(2018-12-03 - );2703 days [7 year(s), 4 month(s), 24 day(s)];;;English;
Theobald Butler Barrett, M.P.;1894-07-24;Armstrong, British Columbia, Canada;1969-03-26;farmer;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;
Gilbert Barrette, M.P.;1941-05-29;Saint-Eugène de Guigues, Quebec, Canada;;school administrator;378 days [1 year(s), 13 day(s)];(2003-06-16 - 2004-06-27);378 days [1 year(s), 13 day(s)];;;;
Joseph Arthur Barrette, M.P.;1875-04-28;Saint-Barthélemi, Quebec, Canada;1952-04-27;farmer, notary, businessman;4183 days [11 year(s), 5 month(s), 13 day(s)];(1911-09-21 - 1917-12-16)|(1930-07-28 - 1935-10-13);4183 days [11 year(s), 5 month(s), 13 day(s)];;;;
Merrill Edwin Barrington, M.P.;1920-02-25;Ormstown, Quebec, Canada;1965-12-18;insurance broker, accountant;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
John Augustus Barron, Q.C., M.P.;1850-07-11;Toronto, Ontario, Canada;1936-01-08;lawyer;1752 days [4 year(s), 9 month(s), 17 day(s)];(1887-02-22 - 1891-12-09);1752 days [4 year(s), 9 month(s), 17 day(s)];;;;
The Hon. Augustus Irvine Barrow, Senator;1913-02-15;Montreal, Quebec, Canada;2005-03-17;chartered accountant;5032 days [13 year(s), 9 month(s), 10 day(s)];;;(1974-05-08 - 1988-02-15);5032 days [13 year(s), 9 month(s), 10 day(s)];;
John Patrick Barry, M.P.;1892-12-23;Chatham, New Brunswick, Canada;1946-08-17;lawyer;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
Xavier Barsalou-Duval, M.P.;1988-11-10;Boucherville, Quebec, Canada;;accounting teacher, auditor, teacher;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;French, English;
Georges Isidore Barthe, M.P.;1834-11-16;Restigouche, New Brunswick, Canada;1900-08-11;editor, journalist, lawyer, publisher;2393 days [6 year(s), 6 month(s), 19 day(s)];(1870-11-18 - 1872-10-11)|(1874-01-22 - 1878-09-16);2393 days [6 year(s), 6 month(s), 19 day(s)];;;;
The Hon. Stanley Ronald Basford, P.C., Q.C., M.P.;1932-04-22;Winnipeg, Manitoba, Canada;2005-01-31;lawyer;5798 days [15 year(s), 10 month(s), 15 day(s)];(1963-04-08 - 1968-06-24)|(1968-06-25 - 1979-02-20);5798 days [15 year(s), 10 month(s), 15 day(s)];;;;
The Hon. Michael G. Basha, Senator;1896-01-20;Baalbeck, Lebanon;1976-11-26;manufacturer, businessman;9431 days [25 year(s), 9 month(s), 26 day(s)];;;(1951-01-24 - 1976-11-18);9431 days [25 year(s), 9 month(s), 26 day(s)];;
James William Baskin, M.P.;1920-01-04;Norwood, Ontario, Canada;1999-01-08;lumberman, businessman;2128 days [5 year(s), 9 month(s), 28 day(s)];(1957-06-10 - 1963-04-07);2128 days [5 year(s), 9 month(s), 28 day(s)];;;;
Joyce Bateman, M.P.;;Winnipeg, Manitoba, Canada;;public servant, chartered accountant;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Arthur James Bater, M.P.;1889-12-29;Garlenick, Cornwall, England;1969-04-05;farmer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
Herman Maxwell Batten, M.P.;1909-08-04;Bareneed, Conception Bay, Newfoundland;1991-10-17;school principal, teacher;5433 days [14 year(s), 10 month(s), 16 day(s)];(1953-08-10 - 1968-06-24);5433 days [14 year(s), 10 month(s), 16 day(s)];;;;
Dave Batters, M.P.;1969-07-12;Estevan, Saskatchewan, Canada;2009-06-29;pharmaceutical representative;1569 days [4 year(s), 3 month(s), 17 day(s)];(2004-06-28 - 2008-10-13);1569 days [4 year(s), 3 month(s), 17 day(s)];;;;
The Hon. Denise Batters, Senator, K.C.;;Regina, Saskatchewan, Canada;;lawyer;4841 days [13 year(s), 3 month(s), 2 day(s)];;;(2013-01-25 - );4841 days [13 year(s), 3 month(s), 2 day(s)];English;
Jaime Battiste, M.P.;;Sydney, Nova Scotia, Canada;;legal expert;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;English;
Peter Colwell Bawden, O.C.,;1929-01-01;Toronto, Ontario, Canada;1991-02-28;businessman;2395 days [6 year(s), 6 month(s), 21 day(s)];(1972-10-30 - 1979-05-21);2395 days [6 year(s), 6 month(s), 21 day(s)];;;;
The Hon. John Babington Macaulay Baxter, P.C., K.C., M.P.;1868-02-16;Saint John, New Brunswick, Canada;1946-12-27;lecturer, lawyer;1326 days [3 year(s), 7 month(s), 17 day(s)];(1921-12-06 - 1925-07-23);1326 days [3 year(s), 7 month(s), 17 day(s)];;;;
Frank Baylis, M.P.;1962-11-15;Montreal, Quebec, Canada;;engineer, businessman;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
The Hon. Jean Bazin, Q.C., Senator;1940-01-31;Québec, Quebec, Canada;2019-12-12;lawyer;1076 days [2 year(s), 11 month(s), 11 day(s)];;;(1986-12-29 - 1989-12-08);1076 days [2 year(s), 11 month(s), 11 day(s)];;
Charles Bazinet, M.P.;1845-07-20;Joliette, Canada East;1916-03-03;lumber merchant;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;;;
Duncan M. Beattie, M.P.;1929-07-07;Banknock, Scotland;;insurance executive, businessman;888 days [2 year(s), 5 month(s), 6 day(s)];(1972-10-30 - 1974-07-07)|(1979-05-22 - 1980-02-17);888 days [2 year(s), 5 month(s), 6 day(s)];;;;
Robert Ethelbert Beattie, M.P.;1879;Bracebridge, Ontario, Canada;1925-05-05;pharmacist;64 days [, 2 month(s), 3 day(s)];(1921-12-06 - 1922-02-07);64 days [, 2 month(s), 3 day(s)];;;;
Maj. Thomas Beattie, M.P.;1844-08-12;Saintfield, Ireland;1914-12-02 (Died in Office);businessman;4190 days [11 year(s), 5 month(s), 20 day(s)];(1896-06-23 - 1900-11-07)|(1907-10-29 - 1914-12-02);4190 days [11 year(s), 5 month(s), 20 day(s)];;;;
The Hon. Henry Perrin Beatty, P.C.,;1950-06-01;Toronto, Ontario, Canada;;public servant, businessman;7665 days [20 year(s), 11 month(s), 25 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1988-11-20)|(1988-11-21 - 1993-10-24);7665 days [20 year(s), 11 month(s), 25 day(s)];;;;
James Beaty, Q.C., M.P.;1831-11-10;Trafalgar, Upper Canada;1899-03-15;author, lawyer;2369 days [6 year(s), 5 month(s), 26 day(s)];(1880-08-28 - 1887-02-21);2369 days [6 year(s), 5 month(s), 26 day(s)];;;;
James Beaty, M.P.;1798-10-02;Kileshandra, Cavan, Ireland;1892-03-05;newspaper owner, merchant;2316 days [6 year(s), 4 month(s), 3 day(s)];(1867-09-20 - 1874-01-21);2316 days [6 year(s), 4 month(s), 3 day(s)];;;;
The Hon. Arthur-Lucien Beaubien, M.P., Senator;1879-02-11;Arthabaska, Quebec, Canada;1971-03-21;farmer;17225 days [47 year(s), 1 month(s), 28 day(s)];(1921-12-06 - 1940-01-28);6628 days [18 year(s), 1 month(s), 24 day(s)];(1940-01-29 - 1969-02-01);10597 days [29 year(s), 5 day(s)];;
The Hon. Charles-Philippe Beaubien, P.C., K.C., Senator;1870-05-10;Montreal, Quebec, Canada;1949-01-17 (Died in Office);lawyer;12100 days [33 year(s), 1 month(s), 17 day(s)];;;(1915-12-03 - 1949-01-17);12100 days [33 year(s), 1 month(s), 17 day(s)];;
The Hon. Joseph-Octave Beaubien, M.P.;1824-03-22;Nicolet, Lower Canada;1877-11-07;physician;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
Louis Beaubien, M.P.;1837-07-27;Montreal, Quebec, Canada;1915-07-19;farmer, businessman;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;
The Hon. Louis-Philippe Beaubien, Senator;1903-03-03;Montreal, Quebec, Canada;1985-03-28 (Died in Office);stockbroker, businessman;8899 days [24 year(s), 4 month(s), 11 day(s)];;;(1960-11-16 - 1985-03-28);8899 days [24 year(s), 4 month(s), 11 day(s)];;
David Wilson Beaubier, M.P.;1864-05-02;St Marys, Canada West;1938-09-01 (Died in Office);farmer, businessman;2958 days [8 year(s), 1 month(s), 6 day(s)];(1930-07-28 - 1938-09-01);2958 days [8 year(s), 1 month(s), 6 day(s)];;;;
Suzanne Beauchamp-Niquet, M.P.;1932-08-11;Russell, Ontario, Canada;2011-02-22;administrator;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;
Pierre-Clovis Beauchesne, M.P.;1841-06-08;Bécancour, Canada East;1918-10-10;notary;1029 days [2 year(s), 9 month(s), 25 day(s)];(1879-08-26 - 1882-06-19);1029 days [2 year(s), 9 month(s), 25 day(s)];;;;
Josée Beaudin, M.P.;1961-12-20;Saint-Lambert, Quebec, Canada;;coordinator, communications officer, administrator;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;
The Hon. Gérald A. Beaudoin, Q.C., Senator;1929-04-15;Montreal, Quebec, Canada;2008-09-10;educator, lawyer;5681 days [15 year(s), 6 month(s), 19 day(s)];;;(1988-09-26 - 2004-04-15);5681 days [15 year(s), 6 month(s), 19 day(s)];;
Léonel Beaudoin, M.P.;1924-09-13;Cookshire, Quebec, Canada;2021-07-28;insurance agent;3983 days [10 year(s), 10 month(s), 27 day(s)];(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];;;;
The Hon. Louis-René Beaudoin, P.C., M.P.;1912-05-05;Montreal, Quebec, Canada;1970-02-21;barrister;4676 days [12 year(s), 9 month(s), 19 day(s)];(1945-06-11 - 1958-03-30);4676 days [12 year(s), 9 month(s), 19 day(s)];;;;
Roland Beaudry, M.P.;1906-02-14;Montreal, Quebec, Canada;1964-12-14;publicist, journalist, publisher;4676 days [12 year(s), 9 month(s), 19 day(s)];(1945-06-11 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);4676 days [12 year(s), 9 month(s), 19 day(s)];;;;
Jean Robert Beaulé, M.P.;1927-06-17;Capreol, Ontario, Canada;2005-01-09;electrician, insurance broker, railway employee;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;
Jean-Paul Beaulieu, M.P.;1902-01-22;Saint-Paul, Quebec, Canada;1976-11-14;chartered accountant;960 days [2 year(s), 7 month(s), 17 day(s)];(1965-11-08 - 1968-06-24);960 days [2 year(s), 7 month(s), 17 day(s)];;;;
Mario Beaulieu, M.P.;1959;Sherbrooke, Quebec, Canada;;educator;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;French;
The Hon. Mario Beaulieu, Senator;1930-02-01;Plantagenet, Ontario, Canada;1998-10-12;lawyer, notary;1393 days [3 year(s), 9 month(s), 23 day(s)];;;(1990-08-30 - 1994-06-22);1393 days [3 year(s), 9 month(s), 23 day(s)];;
Colleen Beaumier, M.P.;1944-11-08;Chatham, Ontario, Canada;;businesswoman;5468 days [14 year(s), 11 month(s), 20 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;;
Aimé Majorique Beauparlant, M.P.;1864-01-04;Saint-Aimé, Canada East;1911-08-19;newspaper editor, lawyer;2513 days [6 year(s), 10 month(s), 18 day(s)];(1904-11-03 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];;;;
The Hon. Elie Beauregard, P.C., Senator;1884-07-08;La Patrie, Quebec, Canada;1954-08-27 (Died in Office);lawyer;5314 days [14 year(s), 6 month(s), 18 day(s)];;;(1940-02-09 - 1954-08-27);5314 days [14 year(s), 6 month(s), 18 day(s)];;
Cléophas Beausoleil, M.P.;1845-06-19;Saint-Félix-de-Valois, Canada East;1904-10-04;newspaper editor, journalist, lawyer;4666 days [12 year(s), 9 month(s), 9 day(s)];(1887-02-22 - 1899-12-01);4666 days [12 year(s), 9 month(s), 9 day(s)];;;;
Albert Béchard, M.P.;1922-11-18;Saint-Alexis-de-Matapédia, Quebec, Canada;2002-04-28;consul, notary;6182 days [16 year(s), 11 month(s), 3 day(s)];(1962-06-18 - 1972-10-29)|(1972-10-30 - 1979-05-21);6182 days [16 year(s), 11 month(s), 3 day(s)];;;;
The Hon. François Béchard, M.P., Senator;1830-04-18;Mount Johnson, Lower Canada;1897-04-13 (Died in Office);farmer;10799 days [29 year(s), 6 month(s), 24 day(s)];(1867-09-20 - 1896-06-22)|(1896-06-23 - 1896-07-16);10528 days [28 year(s), 9 month(s), 27 day(s)];(1896-07-17 - 1897-04-13);271 days [, 8 month(s), 28 day(s)];;
The Hon. Terry Beech, P.C., M.P.;1981-04-02;Comox, British Columbia, Canada;;educator, contractor, business owner, adjunct professor;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;English;
William George Beech, M.P.;1898-06-04;London, England;1971-05-28;travel agent;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;
Bruce Silas Beer, M.P.;1910-08-19;Bethany, Ontario, Canada;1998-01-12;farmer;3787 days [10 year(s), 4 month(s), 13 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29);3787 days [10 year(s), 4 month(s), 13 day(s)];;;;
The Hon. Monique Bégin, P.C., M.P.;1936-03-01;Rome, Italy;2023-09-08;sociologist, administrator, teacher;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;"Appointed commissioner to Ontario's Royal Commission on Learning in 1993. 
Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 2015."
René Bégin, M.P.;1912-07-02;Québec, Quebec, Canada;1981-11-18;wholesaler;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;;;
The Hon. Frédéric Liguori Béique, P.C., K.C., Senator;1845-05-20;Saint-Mathias, Canada East;1933-09-12 (Died in Office);lawyer;11541 days [31 year(s), 7 month(s), 5 day(s)];;;(1902-02-07 - 1933-09-12);11541 days [31 year(s), 7 month(s), 5 day(s)];;
The Hon. Robert Beith, M.P., Senator;1843-05-17;Darlington Township, Canada West;1922-01-26 (Died in Office);farmer;10048 days [27 year(s), 6 month(s), 3 day(s)];(1891-03-05 - 1900-11-06)|(1902-01-15 - 1904-11-02);4557 days [12 year(s), 5 month(s), 22 day(s)];(1907-01-15 - 1922-01-26);5491 days [15 year(s), 12 day(s)];;
Réginald Bélair, M.P.;1949-04-06;Hearst, Ontario, Canada;2020-03-03;manager, political assistant, administrator;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];;;;
The Hon. Henri Sévérin Béland, P.C., M.P., Senator;1869-10-11;Louiseville, Quebec, Canada;1935-04-22 (Died in Office);physician;12136 days [33 year(s), 2 month(s), 22 day(s)];(1902-01-08 - 1917-12-16)|(1917-12-17 - 1921-12-05)|(1921-12-06 - 1921-12-28)|(1922-01-19 - 1925-09-04);8619 days [23 year(s), 7 month(s), 5 day(s)];(1925-09-05 - 1935-04-22);3517 days [9 year(s), 7 month(s), 17 day(s)];;
Louis-Philippe-Antoine Bélanger, M.P.;1907-04-17;Saint-Damase-de-l'Islet, Quebec, Canada;1989-06-14;machinist, land surveyor, forester, clerk;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;
The Hon. Mauril Bélanger, P.C., M.P.;1955-06-15;Mattawa, Ontario, Canada;2016-08-15 (Died in Office);political adviser, administrator;7855 days [21 year(s), 6 month(s), 2 day(s)];(1995-02-13 - 2016-08-15);7855 days [21 year(s), 6 month(s), 2 day(s)];;;;Awarded the title of Commander in 2005 and posthumously the title of Grand Officer of the Ordre de la Pléiade in 2017.
The Hon. Napoléon Antoine Belcourt, P.C., K.C., M.P., Senator;1860-09-15;Toronto, Canada West;1932-08-07 (Died in Office);lawyer;13194 days [36 year(s), 1 month(s), 15 day(s)];(1896-06-23 - 1907-11-21);4168 days [11 year(s), 4 month(s), 28 day(s)];(1907-11-22 - 1932-08-07);9026 days [24 year(s), 8 month(s), 17 day(s)];;
Charles Bélec, K.C., M.P.;1872-12-23;Fort Coulonge, Quebec, Canada;1958-01-16;farmer;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Rhéal Bélisle, Senator;1919-07-03;Blezard Valley, Ontario, Canada;1992-11-03 (Died in Office);farmer, merchant, administrator;10866 days [29 year(s), 8 month(s)];;;(1963-02-04 - 1992-11-03);10866 days [29 year(s), 8 month(s)];;Awarded the title of Knight of the Ordre de la Pléiade in 1981.
Richard Bélisle, M.P.;1946-07-20;Montreal, Quebec, Canada;;manager - health and safety, rehabilitation counsellor;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
The Hon. Adam Carr Bell, M.P., Senator;1847-11-11;Pictou, Nova Scotia, Canada;1912-10-30 (Died in Office);merchant, author;3428 days [9 year(s), 4 month(s), 19 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];(1911-10-23 - 1912-10-30);374 days [1 year(s), 9 day(s)];;
Catherine Bell, M.P.;1954-10-25;Comox, British Columbia, Canada;;union officer, labour and social activist, cook, administrator;995 days [2 year(s), 8 month(s), 22 day(s)];(2006-01-23 - 2008-10-13);995 days [2 year(s), 8 month(s), 22 day(s)];;;;
Charles William Bell, K.C., M.P.;1876-04-24;Hamilton, Ontario, Canada;1938-02-08;lawyer, playwright;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;
Don H. Bell, M.P.;1942-03-10;New Westminster, British Columbia, Canada;;director of public relations;1569 days [4 year(s), 3 month(s), 17 day(s)];(2004-06-28 - 2008-10-13);1569 days [4 year(s), 3 month(s), 17 day(s)];;;;
John Howatt Bell, K.C., M.P.;1846-12-13;Cape Traverse, Prince Edward Island, Canada;1929-01-29;lawyer;693 days [1 year(s), 10 month(s), 24 day(s)];(1898-12-14 - 1900-11-06);693 days [1 year(s), 10 month(s), 24 day(s)];;;;
John William Bell, M.P.;1838-03-18;Camden Township, Upper Canada;1901-07-05 (Died in Office);farmer, teacher;5018 days [13 year(s), 8 month(s), 27 day(s)];(1882-06-20 - 1891-03-04)|(1896-06-23 - 1901-07-05);5018 days [13 year(s), 8 month(s), 27 day(s)];;;;
Leslie Gordon Bell, K.C., M.P.;1889-12-04;Rapid City, Manitoba, Canada;1963-09-08;lawyer;3638 days [9 year(s), 11 month(s), 16 day(s)];(1925-10-29 - 1935-10-14);3638 days [9 year(s), 11 month(s), 16 day(s)];;;;
The Hon. Richard Albert Bell, P.C., Q.C., M.P.;1913-09-04;Britannia Bay, Ontario, Canada;1988-03-20;barrister;3088 days [8 year(s), 5 month(s), 14 day(s)];(1957-06-10 - 1963-04-07)|(1965-11-08 - 1968-06-24);3088 days [8 year(s), 5 month(s), 14 day(s)];;;;
Thomas Bell, M.P.;1863-11-22;Saint John, New Brunswick, Canada;1945-12-08;lumber merchant, merchant;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;
Thomas Miller Bell, M.P.;1923-01-11;Saint John, New Brunswick, Canada;1996-11-12;barrister;7637 days [20 year(s), 10 month(s), 28 day(s)];(1953-08-10 - 1968-06-24)|(1968-06-25 - 1974-07-07);7637 days [20 year(s), 10 month(s), 28 day(s)];;;;
The Hon. Ann Elizabeth Haddon Bell (Heath), Senator;1924-05-26;Ottawa, Ontario, Canada;1989-11-29 (Died in Office);director;6994 days [19 year(s), 1 month(s), 24 day(s)];;;(1970-10-07 - 1989-11-29);6994 days [19 year(s), 1 month(s), 24 day(s)];;
André Bellavance, M.P.;1964-06-03;Victoriaville, Quebec, Canada;;radio announcer, journalist, political assistant;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;
Isidore Noël Belleau, M.P.;1848-03-07;Deschambault, Canada East;1936-05-07;editor, director, lawyer;509 days [1 year(s), 4 month(s), 22 day(s)];(1883-10-25 - 1885-03-16);509 days [1 year(s), 4 month(s), 22 day(s)];;;;
Sir Narcisse-Fortunat Belleau, Senator;1808-10-20;Sainte-Foy, Lower Canada;1894-09-14;lawyer, businessman;1 days [, 1 day(s)];;;(1867-10-23 - 1867-10-23);1 days [, 1 day(s)];;
