Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference;Cause of Death
The Hon. James Dever;1825-05-02;Ballyshannon, Ireland;1904-05-07 (Died in Office);merchant;13203 days [36 year(s), 1 month(s), 24 day(s)];;;(1868-03-14 - 1904-05-07);13203 days [36 year(s), 1 month(s), 24 day(s)];;;
The Hon. Paul DeVillers, P.C., M.P.;1946-03-11;Penetanguishene, Ontario, Canada;;solicitor, lawyer;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;Of Métis origin.;;
Bernard Devlin, Q.C., M.P.;1824-12-15;County Roscommon, Ireland;1880-02-08;editor, journalist, lawyer;1253 days [3 year(s), 5 month(s), 5 day(s)];(1875-01-12 - 1875-08-26)|(1875-11-26 - 1878-09-16);1253 days [3 year(s), 5 month(s), 5 day(s)];;;;;
Charles Ramsay Devlin, M.P.;1858-10-29;Aylmer, Canada East;1914-03-01;diplomat, merchant;2507 days [6 year(s), 10 month(s), 12 day(s)];(1891-03-05 - 1896-06-22)|(1896-06-23 - 1897-03-14)|(1906-12-29 - 1907-10-29);2507 days [6 year(s), 10 month(s), 12 day(s)];;;Member of the British House of Commons, 1903-1906.;;
Emmanuel Berchmans Devlin, K.C., M.P.;1872-12-24;Aylmer, Quebec, Canada;1921-08-30 (Died in Office);lawyer;6043 days [16 year(s), 6 month(s), 16 day(s)];(1905-02-13 - 1921-08-30);6043 days [16 year(s), 6 month(s), 16 day(s)];;;;;
Barry Devolin, M.P.;1963-03-10;Peterborough, Ontario, Canada;;professor, real estate agent, public affairs consultant;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;;
Austin Edwin Dewar, M.P.;1912-04-24;Indian Head, Saskatchewan, Canada;1985-12-15;farmer, contractor, agent, hotelier, grain merchant;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;;
Marion Dewar, C.M.;1928-02-17;Montreal, Quebec, Canada;2008-09-15;registered nurse;490 days [1 year(s), 4 month(s), 3 day(s)];(1987-07-20 - 1988-11-20);490 days [1 year(s), 4 month(s), 3 day(s)];;;;;
Paul Dewar, M.P.;1963-01-25;Ottawa, Ontario, Canada;2019-02-06;union officer, labour and social activist, teacher;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;
The Hon. Mabel M. DeWare, Senator;1926-08-09;Moncton, New Brunswick, Canada;2022-08-17;volunteer worker, dental assistant;3974 days [10 year(s), 10 month(s), 18 day(s)];;;(1990-09-23 - 2001-08-09);3974 days [10 year(s), 10 month(s), 18 day(s)];;;
The Hon. Edgar Dewdney, P.C., M.P.;1835-11-05;Bideford, Devonshire, England;1916-08-08;land surveyor, civil engineer;3938 days [10 year(s), 9 month(s), 12 day(s)];(1872-10-12 - 1879-06-09)|(1888-09-12 - 1892-10-26);3938 days [10 year(s), 9 month(s), 12 day(s)];;;;;
The Hon. Harbance Singh (Herb) Dhaliwal, P.C., M.P.;1952-12-12;Punjab, India;;businessman;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;
Sukh Dhaliwal, M.P.;1960-10-01;;;business owner, professional engineer, land surveyor;5769 days [15 year(s), 9 month(s), 16 day(s)];(2006-01-23 - 2011-05-01)|(2015-10-19 - 2025-04-27)|(2025-04-28 - );5769 days [15 year(s), 9 month(s), 16 day(s)];;;;English, Punjabi;
Ruby Dhalla, M.P.;1974-02-18;Winnipeg, Manitoba, Canada;;chiropractor, actress, businesswoman;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;First Canadian woman of Indian origin, along with Nina Grewal, elected to the House of Commons.;;
Anju Dhillon, M.P.;1979;Montreal, Quebec, Canada;;lawyer;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;English, French;
Nicola Di Iorio, M.P.;;;;professor, labour expert, lawyer, lecturer;1199 days [3 year(s), 3 month(s), 12 day(s)];(2015-10-19 - 2019-01-29);1199 days [3 year(s), 3 month(s), 12 day(s)];;;;;
The Hon. Consiglio Di Nino, Senator;1938-01-24;Italy;;businessman;7976 days [21 year(s), 10 month(s), 2 day(s)];;;(1990-08-30 - 2012-06-30);7976 days [21 year(s), 10 month(s), 2 day(s)];;;
The Hon. Paul Wyatt Dick, , Q.C., P.C.;1940-10-27;Kapuskasing, Ontario, Canada;2018-05-02;lawyer;7665 days [20 year(s), 11 month(s), 25 day(s)];(1972-10-30 - 1988-11-20)|(1988-11-21 - 1993-10-24);7665 days [20 year(s), 11 month(s), 25 day(s)];;;;;
The Hon. Arthur Rupert Dickey, P.C., M.P.;1854-08-18;Amherst, Nova Scotia, Canada;1900-07-03;lawyer;2813 days [7 year(s), 8 month(s), 13 day(s)];(1888-07-13 - 1888-11-29)|(1888-12-26 - 1891-12-22)|(1892-01-30 - 1894-12-20)|(1895-01-15 - 1896-06-22);2813 days [7 year(s), 8 month(s), 13 day(s)];;;;;
John Horace Dickey, Q.C., K.S.G.;1914-09-04;Edmonton, Alberta, Canada;1996-04-27;barrister, lawyer, executive;3619 days [9 year(s), 10 month(s), 28 day(s)];(1947-07-14 - 1957-06-09);3619 days [9 year(s), 10 month(s), 28 day(s)];;;;;
The Hon. Robert Barry Dickey, K.C., Senator;1812-11-10;Amherst, Nova Scotia, Canada;1903-07-14 (Died in Office);judge, lawyer;13048 days [35 year(s), 8 month(s), 21 day(s)];;;(1867-10-23 - 1903-07-14);13048 days [35 year(s), 8 month(s), 21 day(s)];Father of Confederation, attended the Charlottetown (Sept. 1864) and Quebec (Oct. 1864) conferences.;;
Charles Herbert Dickie, M.P.;1859-09-14;Beachville, Canada West;1947-09-16;miner, lumberman, railway employee;5060 days [13 year(s), 10 month(s), 8 day(s)];(1921-12-06 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];;;;;
George Lemuel Dickinson, M.P.;1848-07-04;Toronto, Ontario, Canada;1930-11-07;manufacturer, mill owner;1128 days [3 year(s), 1 month(s), 2 day(s)];(1888-02-01 - 1891-03-04);1128 days [3 year(s), 1 month(s), 2 day(s)];;;;;
Moss Kent Dickinson, M.P.;1822-06-01;Denmark, New York, United States;1897-07-19;businessman;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;;
The Hon. Fred Dickson, Q.C., Senator;1937-07-04;Glace Bay, Nova Scotia, Canada;2012-02-09 (Died in Office);consultant, lawyer;1134 days [3 year(s), 1 month(s), 8 day(s)];;;(2009-01-02 - 2012-02-09);1134 days [3 year(s), 1 month(s), 8 day(s)];;;
The Hon. Walter Hamilton Dickson, Senator;1806-01-04;Niagara, Upper Canada;1885-07-30;lawyer;5959 days [16 year(s), 3 month(s), 24 day(s)];;;(1867-10-23 - 1884-02-14);5959 days [16 year(s), 3 month(s), 24 day(s)];;;
The Right Hon. John George Diefenbaker, P.C., Q.C., M.P.;1895-09-18;Neustadt, Ontario, Canada;1979-08-16 (Died in Office);barrister, lawyer;14388 days [39 year(s), 4 month(s), 21 day(s)];(1940-03-26 - 1953-08-09)|(1953-08-10 - 1979-08-16);14388 days [39 year(s), 4 month(s), 21 day(s)];;;Of Scottish origin.Appointed the first woman, Ellen Louks Fairclough, and the first Canadian of Ukrainian origin, Michael Starr, to Cabinet on June 21, 1957.Recommended the appointment of the first North American Indian, James Gladstone, to the Senate as of January 31, 1958. Recommended the appointment of the first French Canadian, Major General Georges Philias Vanier, as Governor General as of August 1, 1959.The John Diefenbaker Defender of Human Rights and Freedom Award is created in his honour, February 8, 2012.;;heart failure
Wilbert David Dimock, M.P.;1846-11-27;Onslow, Nova Scotia, Canada;1930-08-23;editor, principal, teacher;211 days [, 6 month(s), 28 day(s)];(1896-06-23 - 1897-01-19);211 days [, 6 month(s), 28 day(s)];;;;;
The Hon. David Charles Dingwall, P.C., M.P.;1952-06-29;Sydney, Nova Scotia, Canada;;barrister and solicitor, lawyer;6314 days [17 year(s), 3 month(s), 14 day(s)];(1980-02-18 - 1997-06-01);6314 days [17 year(s), 3 month(s), 14 day(s)];;;;;
The Hon. Walter Gilbert Dinsdale, , D.F.C., P.C.;1916-04-03;Brandon, Manitoba, Canada;1982-11-20 (Died in Office);lecturer, social worker, teacher;11472 days [31 year(s), 4 month(s), 27 day(s)];(1951-06-25 - 1953-08-09)|(1953-08-10 - 1982-11-20);11472 days [31 year(s), 4 month(s), 27 day(s)];;;;;
Joseph-Alfred Dion, K.C.;1897-03-21;L'Ile-Verte, Quebec, Canada;1957-11-30;lawyer;2493 days [6 year(s), 9 month(s), 28 day(s)];(1945-06-11 - 1949-06-26)|(1949-06-27 - 1952-04-07);2493 days [6 year(s), 9 month(s), 28 day(s)];;;;;
Rolland Dion, M.P.;1938-07-05;Saint-Raymond, Quebec, Canada;2011-06-04;businessman;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;;
The Hon. Stéphane Dion, P.C., M.P.;1955-09-28;Québec, Quebec, Canada;;professor of political science, ambassador, author;7624 days [20 year(s), 10 month(s), 15 day(s)];(1996-03-25 - 2015-10-18)|(2015-10-19 - 2017-02-06);7624 days [20 year(s), 10 month(s), 15 day(s)];;;;;
Charles-Eugène Dionne, M.P.;1908-05-07;Saint-Pascal, Quebec, Canada;1984-08-04;labour representative;6182 days [16 year(s), 11 month(s), 3 day(s)];(1962-06-18 - 1979-05-21);6182 days [16 year(s), 11 month(s), 3 day(s)];;;;;
Georges-Léonidas Dionne, M.P.;1876-09-09;Matane, Quebec, Canada;1946-04-11;notary;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;;;;
Ludger Dionne, M.P.;1888-03-01;Sainte-Hélène de Chester, Quebec, Canada;1962-06-04;manufacturer;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;
Marcel Dionne, M.P.;1931-11-21;Saint-Victor-de-Tring, Quebec, Canada;1998-03-03;businessman;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;;
Maurice Adrian Dionne, M.P.;1936-08-26;Bath, New Brunswick, Canada;2003-11-17;school principal, teacher;5510 days [15 year(s), 1 month(s), 1 day(s)];(1974-07-08 - 1984-09-03)|(1988-11-21 - 1993-10-24);5510 days [15 year(s), 1 month(s), 1 day(s)];;;;;
Pierre Dionne Labelle, M.P.;1955-06-04;Saint-Jérôme, Quebec, Canada;;regional community agency group representative, community activist, columnist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;Member of the Society of Composers, Authors and Music Publishers of Canada (SOCAN);;
Kerry Diotte, M.P.;;Sault Ste Marie, Ontario, Canada;;communication consultant, journalist;2528 days [6 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19)|(2025-04-28 - );2528 days [6 year(s), 11 month(s), 2 day(s)];;;;English, French;
Nunzio (Nick) Discepola, M.P.;1949-11-27;Voltura Irpina, Avellino, Italy;2012-11-21;businessman;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;
Dorothy Ina Elgiva Dobbie, M.P.;1945-01-05;;;publisher, businesswoman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;
Thomas William Dobbie, M.P.;1829-11-13;Bayham Township, Upper Canada;1908-04-01;farmer, land surveyor, civil engineer;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;
The Hon. Richard Reid Dobell, P.C., M.P.;1837;Liverpool, England;1902-01-11 (Died in Office);businessman;2028 days [5 year(s), 6 month(s), 19 day(s)];(1896-06-23 - 1902-01-11);2028 days [5 year(s), 6 month(s), 19 day(s)];;;;;
The Hon. John Dobson, Senator;1824-09-08;County Fermanagh, Ireland;1907-01-27 (Died in Office);liquor merchant, grocer;5452 days [14 year(s), 11 month(s), 4 day(s)];;;(1892-02-23 - 1907-01-27);5452 days [14 year(s), 11 month(s), 4 day(s)];;;
Michelle Dockrill, M.P.;1959-05-22;Glace Bay, Nova Scotia, Canada;;health care provider, public servant;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 1998-06-17)|(1998-06-18 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;;
Murray Dodd, K.C., M.P.;1843-05-23;Sydney, Nova Scotia, Canada;1905-08-25;lawyer;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;;
Anson Greene Phelps Dodge, M.P.;1834-08-25;New York, New York, United States;1918-05-28;lumber merchant;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;;
The Right Hon. Charles Joseph Doherty, P.C., K.C., M.P.;1855-05-11;Montreal, Quebec, Canada;1931-07-28;judge, lawyer, bank manager;4789 days [13 year(s), 1 month(s), 11 day(s)];(1908-10-26 - 1917-12-16)|(1917-12-17 - 1921-12-05);4789 days [13 year(s), 1 month(s), 11 day(s)];;;;;
Todd Doherty, M.P.;;Williams Lake, British Columbia, Canada;;business owner, aviation consultant, executive;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;English, French;
William Henry (Bill) Domm, M.P.;1930-07-24;St Catharines, Ontario, Canada;2000-01-08;salesman, broadcaster, businessman;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;;
The Hon. James Domville, F.R.G.S., M.P., Senator;1842-11-29;Belize, British Honduras;1921-07-30 (Died in Office);shipbuilder, merchant;11812 days [32 year(s), 4 month(s), 2 day(s)];(1872-10-12 - 1882-06-19)|(1896-06-23 - 1900-11-06);5135 days [14 year(s), 22 day(s)];(1903-04-20 - 1921-07-30);6677 days [18 year(s), 3 month(s), 12 day(s)];;;
Dugald Donaghy, M.P.;1873-09-22;East Garafraxa, Ontario, Canada;1963-10-17;barrister;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;;
The Hon. Richard Alphonsus Donahoe, Q.C., Senator;1909-09-27;Halifax, Nova Scotia, Canada;2000-04-25;barrister;1842 days [5 year(s), 16 day(s)];;;(1979-09-13 - 1984-09-27);1842 days [5 year(s), 16 day(s)];;;
William Donahue, M.P.;1834-08-12;Frampton, Lower Canada;1892-07-15;merchant;1699 days [4 year(s), 7 month(s), 25 day(s)];(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];;;;;
Samuel James Donaldson, M.P.;1856-03-12;Appleton (Carleton County), Ontario, Canada West;1926-03-14;farmer, police officer, rancher;1050 days [2 year(s), 10 month(s), 16 day(s)];(1915-02-01 - 1917-12-16);1050 days [2 year(s), 10 month(s), 16 day(s)];;;;;
Han Dong, M.P.;1977;Shanghai, China;;;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;
Fin Donnelly, M.P.;1966-05-27;New Westminster, British Columbia, Canada;;executive director, environmentalist;3633 days [9 year(s), 11 month(s), 11 day(s)];(2009-11-09 - 2015-10-18)|(2015-10-19 - 2019-10-20);3633 days [9 year(s), 11 month(s), 11 day(s)];;;;;
The Hon. James J. Donnelly, M.P., Senator;1866-11-14;Pinkerton, Canada West;1948-10-20 (Died in Office);president / manager, lumberman, rancher;14866 days [40 year(s), 8 month(s), 13 day(s)];(1904-02-16 - 1904-11-02)|(1908-10-26 - 1913-05-25);1934 days [5 year(s), 3 month(s), 17 day(s)];(1913-05-26 - 1948-10-20);12932 days [35 year(s), 4 month(s), 26 day(s)];;;
Thomas F. Donnelly, C.M., M.P.;1874-01-01;New Carlisle, Quebec, Canada;1948-10-09;physician, principal, teacher;7165 days [19 year(s), 7 month(s), 12 day(s)];(1925-10-29 - 1935-10-13)|(1935-10-14 - 1945-06-10);7165 days [19 year(s), 7 month(s), 12 day(s)];;;;;
The Hon. C. William Doody, Senator;1931-02-26;St. John's, Newfoundland;2005-12-27 (Died in Office);businessman;9583 days [26 year(s), 2 month(s), 26 day(s)];;;(1979-10-03 - 2005-12-27);9583 days [26 year(s), 2 month(s), 26 day(s)];;;
The Hon. James Joseph Hayes Doone, Senator;1888-08-08;Deadman's Harbour, New Brunswick, Canada;1953-04-06 (Died in Office);lawyer;1382 days [3 year(s), 9 month(s), 12 day(s)];;;(1949-06-25 - 1953-04-06);1382 days [3 year(s), 9 month(s), 12 day(s)];;;
Rosane Doré Lefebvre, M.P.;1984-10-21;Laval, Quebec, Canada;;bachelor of geography and political science;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
Murray Dorin, M.P.;1954-05-21;Viking, Alberta, Canada;2020-04-11;controller, chartered accountant;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;
The Hon. Antoine-Aimé Dorion, P.C., Q.C., M.P.;1818-01-17;Sainte-Anne de la Pérade, Lower Canada;1891-05-31;lawyer;2446 days [6 year(s), 8 month(s), 12 day(s)];(1867-09-20 - 1872-10-11)|(1872-10-12 - 1874-05-31);2446 days [6 year(s), 8 month(s), 12 day(s)];;;;;
Charles Napoléon Dorion, Q.C., V.D., M.P.;1887-08-13;Rivière-du-Loup, Quebec, Canada;1978-12-03;lawyer;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;;
Frédéric Dorion, Q.C., M.P.;1898-08-23;Lauzon, Quebec, Canada;1981-07-15;lawyer;2401 days [6 year(s), 6 month(s), 27 day(s)];(1942-11-30 - 1949-06-26);2401 days [6 year(s), 6 month(s), 27 day(s)];;;;;
Jean Dorion, M.P.;1942-08-17;Montreal, Quebec, Canada;2026-01-23;labour relations consultant, senior public servant, sociologist, librarian;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;;
The Hon. Noël Dorion, P.C., M.P.;1904-07-24;Charlesbourg, Quebec, Canada;1980-03-09;lawyer, professor of law;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;;
Pierre Nérée Dorion, M.P.;1816-10-16;Sainte-Anne de la Pérade, Lower Canada;1874;land surveyor;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;;
George Dormer, M.P.;1838-10-11;Kingston, Upper Canada;1875-06-24;lawyer;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;;
The Hon. Ujjal Dosanjh, P.C., K.C., M.P.;1947-09-09;Dosanjh Kalan, Punjab, India;;lawyer, community activist;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;;
Alexandre Joseph Doucet, M.P.;1880-11-01;Grand-Étang, Nova Scotia, Canada;1951-07-28;farmer;999 days [2 year(s), 8 month(s), 26 day(s)];(1923-12-20 - 1926-09-13);999 days [2 year(s), 8 month(s), 26 day(s)];;;;;
George Henry Doucett, M.P.;1897-05-16;Ramsay Township, Ontario, Canada;1974-05-01;farmer, insurance broker;2996 days [8 year(s), 2 month(s), 13 day(s)];(1957-08-26 - 1965-11-07);2996 days [8 year(s), 2 month(s), 13 day(s)];;;;;
Albert B. Douglas, M.P.;1912-09-02;Briercrest, Saskatchewan, Canada;1971-03-06 (Died in Office);farmer;985 days [2 year(s), 8 month(s), 12 day(s)];(1968-06-25 - 1971-03-06);985 days [2 year(s), 8 month(s), 12 day(s)];;;;;
Crawford Douglas, M.P.;1931-02-10;Guelph, Ontario, Canada;1995-12-15;broadcaster;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;;
James Lester Douglas, M.P.;1881-11-29;Head of Hillsborough, Prince Edward Island, Canada;1950-09-30 (Died in Office);farmer, exporter;3841 days [10 year(s), 6 month(s), 6 day(s)];(1940-03-26 - 1950-09-30);3841 days [10 year(s), 6 month(s), 6 day(s)];;;;;
James McCrie Douglas, M.P.;1867-02-05;Middleville, Canada West;1950-03-16;farmer, merchant, businessman;4430 days [12 year(s), 1 month(s), 17 day(s)];(1909-10-20 - 1921-12-05);4430 days [12 year(s), 1 month(s), 17 day(s)];;;;;
The Hon. James Moffat Douglas, M.P., Senator;1839-05-26;Linton, Roxborough, Scotland;1920-08-19 (Died in Office);farmer, minister, missionary;8333 days [22 year(s), 9 month(s), 24 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];(1906-03-08 - 1920-08-19);5279 days [14 year(s), 5 month(s), 14 day(s)];;;
