Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Notes;Senator;Service in Senate
A.H. Harry Brightwell, M.P.;1932-08-04;Matheson, Ontario, Canada;;veterinarian;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Robert Hylton Brisco, M.P.;1928-12-29;Victoria, British Columbia, Canada;2004-01-04;chiropractor;3590 days [9 year(s), 9 month(s), 29 day(s)];(1974-07-08 - 1980-02-17)|(1984-09-04 - 1988-11-20);3590 days [9 year(s), 9 month(s), 29 day(s)];;;;
The Hon. Scott Brison, P.C., M.P.;1967-05-10;Windsor, Nova Scotia, Canada;;investment banker, businessman;7799 days [21 year(s), 4 month(s), 7 day(s)];(1997-06-02 - 2000-07-24)|(2000-11-27 - 2019-02-10);7799 days [21 year(s), 4 month(s), 7 day(s)];;;;
Lomer Brisson, M.P.;1916-12-05;Grandes-Bergeronnes, Quebec, Canada;1981-01-05;lawyer;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
The Hon. Edmund James Bristol, P.C., K.C., M.P.;1861-09-04;Napanee, Canada West;1927-07-14;barrister, businessman;7826 days [21 year(s), 5 month(s), 4 day(s)];(1905-04-11 - 1925-10-28)|(1925-10-29 - 1926-09-13);7826 days [21 year(s), 5 month(s), 4 day(s)];;;;
Byron Moffatt Britton, M.P.;1833-09-03;Gananoque, Upper Canada;1920-11-19;lecturer, lawyer;1918 days [5 year(s), 3 month(s), 1 day(s)];(1896-06-23 - 1901-09-23);1918 days [5 year(s), 3 month(s), 1 day(s)];;;;
The Hon. John Edward (Ed) Broadbent, P.C., M.P.;1936-03-21;Oshawa, Ontario, Canada;2024-01-11;professor of political science;8434 days [23 year(s), 1 month(s), 3 day(s)];(1968-06-25 - 1979-05-21)|(1979-05-22 - 1989-12-31)|(2004-06-28 - 2006-01-22);8434 days [23 year(s), 1 month(s), 3 day(s)];;;;
William Rees Brock, M.P.;1836-02-14;Eramosa Township, Upper Canada;1917-11-01;businessman;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
The Hon. Andrew Broder, P.C., M.P.;1845-04-16;Franklin, Canada East;1918-01-04;farmer, merchant;7846 days [21 year(s), 5 month(s), 24 day(s)];(1896-06-23 - 1917-12-16);7846 days [21 year(s), 5 month(s), 24 day(s)];;;;
The Hon. Louis-Philippe Brodeur, P.C., K.C., M.P.;1862-08-21;Beloeil, Canada East;1924-01-02;journalist, lawyer;7493 days [20 year(s), 6 month(s), 5 day(s)];(1891-03-05 - 1904-01-18)|(1904-01-30 - 1911-09-20);7493 days [20 year(s), 6 month(s), 5 day(s)];;Baptized Louis-Joseph-Alexandre.Recipient of the Coronation Medal and the medal of the French Recognition. Named Officer de la Legion d'Honneur in 1908.;;
The Hon. Alfred Johnson Brooks, P.C., Q.C., M.P., Senator;1890-11-14;Gagetown, New Brunswick, Canada;1967-12-07;barrister, teacher;11713 days [32 year(s), 25 day(s)];(1935-10-14 - 1960-09-11);9100 days [24 year(s), 10 month(s), 30 day(s)];;;(1960-09-12 - 1967-11-07);2613 days [7 year(s), 1 month(s), 26 day(s)]
Edward Towle Brooks, M.P.;1830-07-06;Lennoxville, Lower Canada;1897-08-05;lawyer;3538 days [9 year(s), 8 month(s), 8 day(s)];(1872-10-12 - 1882-06-19);3538 days [9 year(s), 8 month(s), 8 day(s)];;;;
Ernest James Broome, M.P.;1908-07-28;Lindsay, Ontario, Canada;1975-01-23;industrial engineer;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;
Ruth Ellen Brosseau, M.P.;1984-04-26;;;volunteer worker, assistant manager, community activist;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;;
Joseph Ovide Brouillard, M.P.;1859-01-17;Saint-Aimé, Canada East;1940-03-03;businessman;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;
The Hon. William Henry Brouse, M.P., Senator;1824-06-15;Matilda, Upper Canada;1881-08-23 (Died in Office);physician;3238 days [8 year(s), 10 month(s), 12 day(s)];(1872-10-12 - 1878-08-08);2127 days [5 year(s), 9 month(s), 27 day(s)];;;(1878-08-09 - 1881-08-23);1111 days [3 year(s), 15 day(s)]
Jean Docile Brousseau, M.P.;1825-02-24;Québec, Quebec, Canada;1908-07-28;printer, newspaper owner, bookseller;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
The Hon. Pauline Browes, P.C., M.P.;1938-05-07;Harwood, Ontario, Canada;;educator;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Adam Brown, M.P.;1826-04-03;Edinburgh, Scotland;1926-01-16;grocery wholesaler;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;
Albert A. Brown, M.P.;1894-07-29;Hamilton, Ontario, Canada;1971-06-19;barrister, lawyer, professional football player;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;
The Hon. Albert Joseph Brown, Senator;1861-07-08;Windsor, Canada East;1938-11-16 (Died in Office);lawyer;2233 days [6 year(s), 1 month(s), 12 day(s)];;;;;(1932-10-06 - 1938-11-16);2233 days [6 year(s), 1 month(s), 12 day(s)]
The Hon. Bert Brown, Senator;1938-03-22;Calgary, Alberta, Canada;2018-02-03;farmer, property manager, columnist, development consultant;2083 days [5 year(s), 8 month(s), 14 day(s)];;;;Second senator to be elected by a province and appointed by the Prime Minister.;(2007-07-10 - 2013-03-22);2083 days [5 year(s), 8 month(s), 14 day(s)]
Bonnie Brown, M.P.;1941-03-02;Toronto, Ontario, Canada;;executive director, consultant, social worker, teacher;5468 days [14 year(s), 11 month(s), 20 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;;
Donald Ferguson Brown, M.P.;1903-06-30;Petrolia, Ontario, Canada;1959-10-08;barrister, lawyer;4676 days [12 year(s), 9 month(s), 19 day(s)];(1945-06-11 - 1958-03-30);4676 days [12 year(s), 9 month(s), 19 day(s)];;;;
The Hon. George Brown, Senator;1818-11-29;Alloa, Clackmannan, Scotland;1880-05-09 (Died in Office);journalist, publisher;2337 days [6 year(s), 4 month(s), 24 day(s)];;;;Father of Confederation, attended the Charlottetown (Sept. 1864) and Quebec (Oct. 1864) conferences.;(1873-12-16 - 1880-05-09);2337 days [6 year(s), 4 month(s), 24 day(s)]
Gordon Brown, M.P.;1960-08-31;Toronto, Ontario, Canada;2018-05-02 (Died in Office);innkeeper, businessman;5057 days [13 year(s), 10 month(s), 5 day(s)];(2004-06-28 - 2015-10-18)|(2015-10-19 - 2018-05-02);5057 days [13 year(s), 10 month(s), 5 day(s)];;;;
James Brown, M.P.;1828-10-14;Scotland;1897-04-24;businessman;5387 days [14 year(s), 8 month(s)];(1867-09-20 - 1882-06-19);5387 days [14 year(s), 8 month(s)];;;;
James Elisha Brown, M.P.;1913-05-12;St. Mary's, Ontario, Canada;1974-01-26;lawyer;4617 days [12 year(s), 7 month(s), 21 day(s)];(1953-08-10 - 1957-06-09)|(1962-06-18 - 1968-06-24)|(1968-06-25 - 1971-04-08);4617 days [12 year(s), 7 month(s), 21 day(s)];;;;
James Pollock Brown, M.P.;1841-04-04;Beau River, Canada East;1913-05-30 (Died in Office);farmer;8122 days [22 year(s), 2 month(s), 26 day(s)];(1891-03-05 - 1913-05-30);8122 days [22 year(s), 2 month(s), 26 day(s)];;;;
Jan Brown, M.P.;1947-06-23;Nanaimo, British Columbia, Canada;;business manager, business consultant, agricultural consultant, teacher;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;Of Croatian origin.;;
John Brown, M.P.;1841-12-23;Wentworth County, Canada West;1905-08-01;mining consultant / prospector, miller;310 days [, 10 month(s), 6 day(s)];(1891-03-05 - 1892-01-08);310 days [, 10 month(s), 6 day(s)];;;;
John Livingstone Brown, M.P.;1867-02-07;Belwood, Ontario, Canada;1953-03-20;farmer, minister;5060 days [13 year(s), 10 month(s), 8 day(s)];(1921-12-06 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];;;;
Lois Brown, M.P.;1955-01-22;Stouffville, Ontario, Canada;;consultant, musician, political assistant, teacher;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;
Patrick W. Brown, M.P.;1978-05-26;Barrie, Ontario, Canada;;lawyer;3399 days [9 year(s), 3 month(s), 21 day(s)];(2006-01-23 - 2015-05-14);3399 days [9 year(s), 3 month(s), 21 day(s)];;;;
Rev. Walter George Brown, M.P.;1875-09-06;Athelstan, Quebec, Canada;1940-04-01 (Died in Office);minister;106 days [, 3 month(s), 15 day(s)];(1939-12-18 - 1940-04-01);106 days [, 3 month(s), 15 day(s)];;;;
John Ferguson Browne, M.P.;1920-11-11;Regina, Saskatchewan, Canada;2014-06-09;traffic manager, manager;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
The Hon. William Joseph Browne, P.C., M.P.;1897-05-03;St. John's, Newfoundland;1989-01-10;judge, barrister;3339 days [9 year(s), 1 month(s), 22 day(s)];(1949-06-27 - 1953-08-09)|(1957-06-10 - 1962-06-17);3339 days [9 year(s), 1 month(s), 22 day(s)];;;;
Francis Carmichael Bruce, M.P.;1837-12-29;Peebleshire, Scotland;1928-07-09;businessman;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
Col. The Hon. Herbert Alexander Bruce, M.P.;1868-09-28;Blackstock, Ontario, Canada;1963-06-23;professor, physician, surgeon;2196 days [6 year(s), 5 day(s)];(1940-03-26 - 1946-03-30);2196 days [6 year(s), 5 day(s)];;;;
Gérard Bruchési, M.P.;1931-03-30;Montreal, Quebec, Canada;2025-11-29;insurance broker;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Rod Bruinooge, M.P.;1973-05-06;Thompson, Manitoba, Canada;;film producer, executive director, entrepreneur;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;Of Métis origin. First federal candidate in Canadian history to utilize movie theatre advertising.;;
Arthur Aimé Bruneau, M.P.;1864-03-04;Saint-Athanase-d'Iberville, Canada East;1940-12-01;lawyer;5496 days [15 year(s), 17 day(s)];(1892-01-11 - 1907-01-28);5496 days [15 year(s), 17 day(s)];;;;
Raymond Bruneau, M.P.;1917-06-12;Hawkesbury, Ontario, Canada;1971-07-05;translator;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1953-08-09)|(1953-08-10 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
Hervé-Edgar Brunelle, M.P.;1891-06-13;Batiscan, Quebec, Canada;1950-05-15;lawyer;5005 days [13 year(s), 8 month(s), 14 day(s)];(1935-10-14 - 1949-06-26);5005 days [13 year(s), 8 month(s), 14 day(s)];;;;
Paule Brunelle, M.P.;1953-08-21;Trois-Rivières, Quebec, Canada;;executive director, businesswoman;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;
Alexis Brunelle-Duceppe, M.P.;1979-07-01;Montreal, Quebec, Canada;;sound technician, labourer;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];French, English, Spanish;;;
Joseph Brunet, M.P.;1834-10-26;Saint-Vincent de Paul, Lower Canada;1904-04-17;businessman;342 days [, 11 month(s), 7 day(s)];(1902-01-15 - 1902-12-22);342 days [, 11 month(s), 7 day(s)];;;;
Edwin William Brunsden, M.P.;1896-12-10;Kent, England;1976-09-28;agent, journalist, agrologist;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
The Hon. William Ralph Brunt, Senator;1902-10-24;Hanover, Ontario, Canada;1962-07-07 (Died in Office);lawyer;1730 days [4 year(s), 8 month(s), 26 day(s)];;;;;(1957-10-12 - 1962-07-07);1730 days [4 year(s), 8 month(s), 26 day(s)]
Dianne Brushett, M.P.;1942-10-11;Bath, New Brunswick, Canada;2017-07-11;businesswoman;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
William Scottie Bryce, M.P.;1888-09-07;Lanark, Scotland;1963-06-17;farmer, machinist;4893 days [13 year(s), 4 month(s), 23 day(s)];(1943-08-09 - 1953-08-09)|(1954-11-08 - 1958-03-30);4893 days [13 year(s), 4 month(s), 23 day(s)];;;;
The Hon. John G. Bryden, Senator;1937-08-25;Port Elgin, New Brunswick, Canada;2016-07-24;senior public servant, lawyer, businessman;5457 days [14 year(s), 11 month(s), 9 day(s)];;;;;(1994-11-23 - 2009-10-31);5457 days [14 year(s), 11 month(s), 9 day(s)]
John H. Bryden, M.P.;1943-07-15;Dundas, Ontario, Canada;;editor, reporter, writer;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;
Hugh Alexander Bryson, M.P.;1912-08-21;Medicine Hat, Alberta, Canada;1987-10-13;farmer, insurance agent;1694 days [4 year(s), 7 month(s), 20 day(s)];(1953-08-10 - 1958-03-30);1694 days [4 year(s), 7 month(s), 20 day(s)];;;;
John Bryson, M.P.;1849-11-30;Fort Coulonge, Canada East;1896-01-20 (Died in Office);farmer, businessman;4484 days [12 year(s), 3 month(s), 10 day(s)];(1882-06-20 - 1891-03-04)|(1892-06-26 - 1896-01-20);4484 days [12 year(s), 3 month(s), 10 day(s)];;Brother of George Bryson Jr., member of the Legislative Council of Quebec (1887-1937).Son of George Bryson Sr., member of the Legislative Assembly of Québec (1857-1858).Nephew of Thomas Bryson, member of the Legislative Assembly of Québec (1881-1882).;;
The Hon. J. Judd Buchanan, P.C., M.P.;1929-07-25;Edmonton, Alberta, Canada;;life insurance agent, businessman;4432 days [12 year(s), 1 month(s), 19 day(s)];(1968-06-25 - 1980-08-12);4432 days [12 year(s), 1 month(s), 19 day(s)];;;;
The Hon. John Alexander Buchanan, Senator;1887-03-04;Comber, Ontario, Canada;1976-05-09;civil engineer;2453 days [6 year(s), 8 month(s), 19 day(s)];;;;;(1959-01-15 - 1965-10-02);2453 days [6 year(s), 8 month(s), 19 day(s)]
The Hon. John MacLennan Buchanan, P.C., Q.C., Senator;1931-04-22;Sydney, Nova Scotia, Canada;2019-10-03;lawyer;5702 days [15 year(s), 7 month(s), 10 day(s)];;;;;(1990-09-12 - 2006-04-22);5702 days [15 year(s), 7 month(s), 10 day(s)]
The Hon. William Ashbury Buchanan, Senator, M.P.;1876-07-02;Fraserville (Rivière-du-Loup), Ontario, Canada;1954-07-08 (Died in Office);journalist, publisher;14266 days [39 year(s), 21 day(s)];(1911-09-21 - 1917-12-16)|(1917-12-17 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;First head librarian of Alberta's Legislature Library established in 1906.;(1925-09-05 - 1954-07-11);10537 days [28 year(s), 10 month(s), 6 day(s)]
William Murdoch Buchanan, M.P.;1897-11-30;North Sydney, Nova Scotia, Canada;1966-09-05;dentist;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
John Francis Buckley, M.P.;1891-11-26;Butte, Montana, United States;1931-11-27 (Died in Office);barrister;488 days [1 year(s), 4 month(s), 1 day(s)];(1930-07-28 - 1931-11-27);488 days [1 year(s), 4 month(s), 1 day(s)];;;;
The Hon. Sidney Labe Buckwold, O.C., Senator;1916-11-03;Winnipeg, Manitoba, Canada;2001-06-27;businessman;7305 days [20 year(s)];;;;;(1971-11-04 - 1991-11-03);7305 days [20 year(s)]
Jacob Dockstader Buell, M.P.;1827-10-04;Brockville, Upper Canada;1894-02-01;lawyer;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;;
The Hon. Joseph Roger Rémi Bujold, P.C., C.M.,;1944-10-18;Saint-Jules de Cascapédia, Quebec, Canada;;senior public servant, lawyer;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;
The Hon. Harcourt Burland Bull, Senator;1824-06-02;Dublin, Ireland;1881-08-12 (Died in Office);journalist, publisher;901 days [2 year(s), 5 month(s), 19 day(s)];;;;;(1879-02-24 - 1881-08-12);901 days [2 year(s), 5 month(s), 19 day(s)]
The Hon. Sarmite D. Bulte, P.C., M.P.;1953-09-27;Hamilton, Ontario, Canada;;lawyer;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;
Arthur Bunster, M.P.;1827;County Queen's, Ireland;1891-10-08;farmer, brewer, miller;3071 days [8 year(s), 4 month(s), 27 day(s)];(1874-01-22 - 1882-06-19);3071 days [8 year(s), 4 month(s), 27 day(s)];;;;
Christopher William Bunting, M.P.;1837-09-11;Amigan, Limerick, Ireland;1896-01-14;newspaper owner, newspaper publisher, merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;
The Hon. George Percival Burchill, Senator;1889-11-03;Nelson, New Brunswick, Canada;1977-08-22;lumber merchant, forester, businessman;11811 days [32 year(s), 4 month(s), 1 day(s)];;;;;(1945-04-19 - 1977-08-19);11811 days [32 year(s), 4 month(s), 1 day(s)]
Samuel Barton Burdett, M.P.;1843-09-30;Tyendinaga Township, Canada West;1892-01-20 (Died in Office);lecturer, lawyer;1794 days [4 year(s), 10 month(s), 29 day(s)];(1887-02-22 - 1892-01-20);1794 days [4 year(s), 10 month(s), 29 day(s)];;;;
The Hon. Jacques Bureau, P.C., M.P., Senator;1860-07-09;Trois-Rivières, Canada East;1933-01-23 (Died in Office);lawyer;11745 days [32 year(s), 1 month(s), 27 day(s)];(1900-11-07 - 1921-12-28)|(1922-01-19 - 1925-09-04);9047 days [24 year(s), 9 month(s), 7 day(s)];;;(1925-09-05 - 1933-01-23);2698 days [7 year(s), 4 month(s), 19 day(s)]
The Hon. Jacques-Olivier Bureau;1820-02-06;Trois-Rivières, Lower Canada;1883-02-07 (Died in Office);notary;5587 days [15 year(s), 3 month(s), 17 day(s)];;;;;(1867-10-23 - 1883-02-07);5587 days [15 year(s), 3 month(s), 17 day(s)]
John Wesley Burgess, M.P.;1907-05-19;Wallaceburg, Ontario, Canada;1990-09-01;lawyer;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;
John O. (Jack) Burghardt, M.P.;1929-09-19;Port Colborne, Ontario, Canada;2002-09-28;broadcaster, journalist;1240 days [3 year(s), 4 month(s), 22 day(s)];(1981-04-13 - 1984-09-03);1240 days [3 year(s), 4 month(s), 22 day(s)];;;;
Harvey William Burk, M.P.;1822;Darlington Township, Upper Canada;1907-10-13;farmer;2021 days [5 year(s), 6 month(s), 12 day(s)];(1874-04-07 - 1879-10-18);2021 days [5 year(s), 6 month(s), 12 day(s)];;;;
The Hon. Vincent P. Burke, K.C.S.G., C.B.E., Senator;1878-08-03;Saint-Jacques, Newfoundland;1953-12-19 (Died in Office);educational administrator, teacher;1425 days [3 year(s), 10 month(s), 25 day(s)];;;;;(1950-01-25 - 1953-12-19);1425 days [3 year(s), 10 month(s), 25 day(s)]
Leonard Burnett, M.P.;1845-04-05;Yorkshire, England;1932-08-21;farmer, teacher;1598 days [4 year(s), 4 month(s), 15 day(s)];(1896-06-23 - 1900-11-07);1598 days [4 year(s), 4 month(s), 15 day(s)];;;;
The Hon. Asa Allworth Burnham, Senator;1808-02-17;Cobourg, Upper Canada;1873-05-10 (Died in Office);farmer;2027 days [5 year(s), 6 month(s), 18 day(s)];;;;;(1867-10-23 - 1873-05-10);2027 days [5 year(s), 6 month(s), 18 day(s)]
John Burnham, Q.C., M.P.;1842-12-03;St Thomas, Canada West;1897-12-29;lawyer;5017 days [13 year(s), 8 month(s), 26 day(s)];(1878-09-17 - 1887-02-21)|(1891-03-05 - 1896-06-22);5017 days [13 year(s), 8 month(s), 26 day(s)];;;;
John Hampden Burnham, M.P.;1860-10-14;Peterborough, Canada West;1940-04-25;lawyer;3221 days [8 year(s), 9 month(s), 25 day(s)];(1911-09-21 - 1920-07-15);3221 days [8 year(s), 9 month(s), 25 day(s)];;;;
The Hon. Kennedy Francis Burns, M.P., Senator;1842-01-08;Thomastown, County Tipperary, Ireland;1895-06-23 (Died in Office);manufacturer, merchant;4387 days [12 year(s), 4 day(s)];(1882-06-20 - 1893-03-20);3927 days [10 year(s), 9 month(s), 1 day(s)];;;(1894-03-21 - 1895-06-23);460 days [1 year(s), 3 month(s), 4 day(s)]
The Hon. Patrick Burns, K.C.S.G., Senator;1856-07-06;Oshawa, Canada West;1937-02-24;businessman, rancher;1793 days [4 year(s), 10 month(s), 28 day(s)];;;;;(1931-07-06 - 1936-06-01);1793 days [4 year(s), 10 month(s), 28 day(s)]
William Herbert Burns, M.P.;1878-02-27;Stayner, Ontario, Canada;1964-01-01;merchant;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Charles Burpee, M.P., Senator;1817-06-18;Sheffield, New Brunswick, Canada;1909-11-29;farmer;7264 days [19 year(s), 10 month(s), 20 day(s)];(1867-09-20 - 1887-02-21);7095 days [19 year(s), 5 month(s), 3 day(s)];;;(1900-02-01 - 1900-07-19);169 days [, 5 month(s), 17 day(s)]
The Hon. Isaac Burpee, P.C., M.P.;1825-11-28;Sheffield, New Brunswick, Canada;1885-03-01 (Died in Office);businessman;4524 days [12 year(s), 4 month(s), 19 day(s)];(1872-10-12 - 1885-03-01);4524 days [12 year(s), 4 month(s), 19 day(s)];;;;
The Hon. Martin Burrell, P.C., M.P.;1858-10-15;Farington, Berkshire, England;1938-03-20;parliamentary librarian, fruit grower, author;4273 days [11 year(s), 8 month(s), 12 day(s)];(1908-10-26 - 1917-12-16)|(1917-12-17 - 1920-07-07);4273 days [11 year(s), 8 month(s), 12 day(s)];;;;
The Hon. Theodore Arthur Burrows, M.P.;1857-08-15;Ottawa, Ontario, Canada;1929-01-18;mill owner, land agent;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;
Andy Burton, M.P.;1942-07-07;Marrdgate, Yorkshire, England;;property manager;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;
Francis Henry Burton, M.P.;1817;Galway, Ireland;1872-07-28 (Died in Office);distiller, miller;1774 days [4 year(s), 10 month(s), 9 day(s)];(1867-09-20 - 1872-07-28);1774 days [4 year(s), 10 month(s), 9 day(s)];;;;
John Stratford Burton, M.P.;1927-11-27;Humboldt, Saskatchewan, Canada;2022-12-09;cashier, agricultural economist, farmer consultant, accountant;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
