Name;Place of Birth;Profession | Occupation;Language Preference;Years of Service;Senator;Service in Senate;Date of Birth (yyyy-mm-dd);Date of Death (yyyy-mm-dd);MP;Service in House of Commons;Notes
The Hon. John Richard Garland, P.C., M.P.;Smiths Falls, Ontario, Canada;manufacturer, manager, journalist;;5375 days [14 year(s), 8 month(s), 19 day(s)];;;1918-01-01;1964-03-14 (Died in Office);(1949-06-27 - 1964-03-14);5375 days [14 year(s), 8 month(s), 19 day(s)];
William Foster Garland, M.P.;Bells Corners, Ontario, Canada;pharmacist, breeder;;6032 days [16 year(s), 6 month(s), 5 day(s)];;;1875-06-01;1941-03-19;(1912-10-30 - 1915-06-28)|(1921-12-06 - 1935-10-13);6032 days [16 year(s), 6 month(s), 5 day(s)];
The Hon. Marc Garneau, P.C., M.P.;Québec, Quebec, Canada;engineer, director, naval officer;;5258 days [14 year(s), 4 month(s), 23 day(s)];;;1949-02-23;2025-06-04;(2008-10-14 - 2015-10-18)|(2015-10-19 - 2023-03-07);5258 days [14 year(s), 4 month(s), 23 day(s)];In October 1984, became the first Canadian astronaut to fly in space. Awarded the title of Knight of the Ordre de la Pléiade in 1997.
Raymond Garneau, M.P.;Plessisville, Quebec, Canada;banker, professor, economist, administrator;;1539 days [4 year(s), 2 month(s), 17 day(s)];;;1935-01-03;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];
Randall Garrison, M.P.;Lincoln, Nebraska, United States;college instructor, criminal justice instructor, city councillor;;5023 days [13 year(s), 9 month(s), 1 day(s)];;;1950-08-27;;(2011-05-02 - 2015-10-18)|(2015-10-19 - 2025-01-30);5023 days [13 year(s), 9 month(s), 1 day(s)];
The Hon. Stuart Sinclair Garson, P.C., Q.C., M.P.;St. Catharines, Ontario, Canada;barrister;;3094 days [8 year(s), 5 month(s), 20 day(s)];;;1898-12-01;1977-05-05;(1948-12-20 - 1957-06-09);3094 days [8 year(s), 5 month(s), 20 day(s)];
Melbourne Alexander Gass, M.P.;New Haven, Prince Edward Island, Canada;refrigeration engineer, businessman;;3471 days [9 year(s), 6 month(s), 1 day(s)];;;1938-12-21;2019-01-29;(1979-05-22 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];
Guillaume Gamelin Gaucher, M.P.;Sault-Saint-Louis, Lower Canada;merchant;;1849 days [5 year(s), 23 day(s)];;;1810-08-16;1885-09-06;(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];
Athanase Gaudet, M.P.;Gentilly, Canada East;farmer, merchant;;1475 days [4 year(s), 14 day(s)];;;1848-06-20;1888-04-29 (Died in Office);(1884-04-16 - 1888-04-29);1475 days [4 year(s), 14 day(s)];
Joseph Gaudet, M.P.;Gentilly, Lower Canada;farmer;;3694 days [10 year(s), 1 month(s), 12 day(s)];;;1818-05-10;1882-08-04;(1867-09-20 - 1877-10-30);3694 days [10 year(s), 1 month(s), 12 day(s)];
Roger Gaudet, M.P.;Saint-Liguori, Quebec, Canada;restaurant owner;;3066 days [8 year(s), 4 month(s), 22 day(s)];;;1945-05-26;;(2002-12-09 - 2004-06-27)|(2004-06-28 - 2011-05-01);3066 days [8 year(s), 4 month(s), 22 day(s)];
Marie-Hélène Gaudreau, M.P.;Mont-Laurier, Quebec, Canada;administrator, manager, entrepreneur;French;2381 days [6 year(s), 6 month(s), 7 day(s)];;;1976-11-24;;(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];
Matthew Hamilton Gault, M.P.;Strabane, County Tyrone, Ireland;insurance agent;;3080 days [8 year(s), 5 month(s), 6 day(s)];;;1822-07-18;1887-06-01;(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];
André Gauthier, M.P.;L'Ascension, Quebec, Canada;lawyer;;3199 days [8 year(s), 9 month(s), 3 day(s)];;;1915-02-06;1994-05-22;(1949-06-27 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];
Charles-Arthur Gauthier, M.P.;Mistassini, Quebec, Canada;undertaker, merchant, furniture and appliances retailer;;6454 days [17 year(s), 8 month(s), 2 day(s)];;;1913-05-12;1997-05-12;(1962-06-18 - 1980-02-17);6454 days [17 year(s), 8 month(s), 2 day(s)];
The Hon. Jean-Robert Gauthier, M.P., Senator;Ottawa, Ontario, Canada;chiropractor;;11681 days [31 year(s), 11 month(s), 23 day(s)];(1994-11-23 - 2004-10-22);3622 days [9 year(s), 10 month(s)];1929-10-22;2009-12-10;(1972-10-30 - 1974-07-07)|(1974-07-08 - 1994-11-22);8059 days [22 year(s), 24 day(s)];Awarded the Order of Ontario (O.Ont.) in 2008.
Joseph Gauthier, M.P.;Saint-Lin, Canada East;farmer, grain merchant;;3377 days [9 year(s), 2 month(s), 29 day(s)];;;1842-03-11;1911-09-26;(1887-02-22 - 1888-03-02)|(1888-04-03 - 1892-02-06)|(1896-06-23 - 1900-11-06);3377 days [9 year(s), 2 month(s), 29 day(s)];
Jules Gauthier, M.P.;Laterrière, Quebec, Canada;notary;;1505 days [4 year(s), 1 month(s), 14 day(s)];;;1892-09-26;1975-12-17;(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];
Léoda Gauthier, M.P.;Copper Cliff, Ontario, Canada;lumber merchant;;4676 days [12 year(s), 9 month(s), 19 day(s)];;;1904-12-29;1964-01-17;(1945-06-11 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);4676 days [12 year(s), 9 month(s), 19 day(s)];
Louis Joseph Gauthier, M.P.;Montreal, Canada East;lawyer;;3729 days [10 year(s), 2 month(s), 16 day(s)];;;1866-03-21;1938-04-12;(1911-09-21 - 1917-12-16)|(1917-12-17 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];
Louis-Philippe Gauthier, M.P.;Sainte-Anne-des-Monts, Quebec, Canada;physician;;2279 days [6 year(s), 2 month(s), 27 day(s)];;;1876-01-17;1946-07-07;(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];
Michel Gauthier, M.P.;Québec, Quebec, Canada;school administrator, teacher;;5026 days [13 year(s), 9 month(s), 4 day(s)];;;1950-02-18;2020-05-30;(1993-10-25 - 2004-08-31)|(2004-09-01 - 2007-07-29);5026 days [13 year(s), 9 month(s), 4 day(s)];
Pierre Gauthier, M.P.;Deschambault, Quebec, Canada;physician;;7774 days [21 year(s), 3 month(s), 13 day(s)];;;1894-08-31;1972-07-06;(1936-01-27 - 1944-07-20)|(1945-06-11 - 1958-03-30);7774 days [21 year(s), 3 month(s), 13 day(s)];
Rosaire Gauthier, M.P.;Chicoutimi, Quebec, Canada;industrialist, businessman;;294 days [, 9 month(s), 20 day(s)];;;1904-02-28;1992-12-15;(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];
Charles Arthur Gauvreau, M.P.;Isle-Verte, Canada East;author, notary;;9834 days [26 year(s), 11 month(s), 3 day(s)];;;1860-09-29;1924-10-09 (Died in Office);(1897-11-06 - 1924-10-09);9834 days [26 year(s), 11 month(s), 3 day(s)];
Leah Gazan, M.P.;;;English, French;2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];
The Hon. George Reginald Geary, P.C., K.C., M.P.;Strathroy, Ontario, Canada;barrister, counsel;;3637 days [9 year(s), 11 month(s), 15 day(s)];;;1873-08-12;1954-04-30;(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];Awarded the title of Officer of the British Empire (O.B.E.) in 1919.
Marvin Gelber, M.P.;Toronto, Ontario, Canada;merchant, businessman;;945 days [2 year(s), 7 month(s), 2 day(s)];;;1912-11-01;1990-10-05;(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];
The Hon. Louis-Philippe Gélinas, Senator;Montreal, Quebec, Canada;business executive;;4566 days [12 year(s), 6 month(s)];(1963-06-11 - 1975-12-10);4566 days [12 year(s), 6 month(s)];1902-04-05;1976-01-01;;;
Pierre Samuel Gendron, M.P.;Sainte-Rosalie, Lower Canada;notary;;2316 days [6 year(s), 4 month(s), 3 day(s)];;;1828-08-31;1889-06-11;(1867-09-20 - 1874-01-21);2316 days [6 year(s), 4 month(s), 3 day(s)];
Romuald Montézuma Gendron, M.P.;Sault-Montmorency, Canada East;farmer, contractor;;1423 days [3 year(s), 10 month(s), 23 day(s)];;;1865-12-05;1946-10-26;(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];
Rosaire Gendron, M.P.;Saint-François-Xavier, Quebec, Canada;chartered accountant;;7820 days [21 year(s), 4 month(s), 28 day(s)];;;1920-10-19;1986-07-05;(1963-04-08 - 1968-06-24)|(1968-06-25 - 1972-10-29)|(1972-10-30 - 1979-05-21)|(1979-05-22 - 1984-09-03);7820 days [21 year(s), 4 month(s), 28 day(s)];
Bernard Généreux, M.P.;La Pocatière, Quebec, Canada;contractor, businessman;French, English;4383 days [12 year(s)];;;1962-04-23;;(2009-11-09 - 2011-05-01)|(2015-10-19 - 2025-04-27)|(2025-04-28 - );4383 days [12 year(s)];
Réjean Genest, M.P.;Saint-Raymond de Portneuf, Quebec, Canada;gardener, writer;;1631 days [4 year(s), 5 month(s), 18 day(s)];;;1946-03-09;2023-12-26;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];
Jonathan Genest-Jourdain, M.P.;Uashat mak Mani-Utenam, Quebec, Canada;lawyer;;1631 days [4 year(s), 5 month(s), 18 day(s)];;;1979-07-16;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];Member of the  Innu Takuaikan Uashat mak Mani-Utenam Band
Garnett Genuis, M.P.;Strathcona County, Alberta, Canada;political assistant, executive;English;3844 days [10 year(s), 6 month(s), 9 day(s)];;;1987;;(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];
The Hon. Christophe Alphonse Geoffrion, P.C., M.P.;Varennes, Canada East;lawyer;;1554 days [4 year(s), 3 month(s), 2 day(s)];;;1843-11-23;1899-07-18 (Died in Office);(1895-04-17 - 1896-06-22)|(1896-06-23 - 1899-07-18);1554 days [4 year(s), 3 month(s), 2 day(s)];
The Hon. Félix Geoffrion, P.C., M.P.;Varennes, Lower Canada;notary;;9802 days [26 year(s), 10 month(s), 2 day(s)];;;1832-10-03;1894-08-07 (Died in Office);(1867-09-20 - 1874-07-07)|(1874-07-25 - 1894-08-07);9802 days [26 year(s), 10 month(s), 2 day(s)];
Victor Geoffrion, M.P.;Saint-Simon de Bagot, Canada East;lawyer;;4263 days [11 year(s), 8 month(s), 2 day(s)];;;1851-10-23;1923-05-31;(1900-01-18 - 1911-09-20);4263 days [11 year(s), 8 month(s), 2 day(s)];
Edmund William George, M.P.;Upper Sackville, New Brunswick, Canada;farmer;;1505 days [4 year(s), 1 month(s), 14 day(s)];;;1908-03-14;1963-09-27;(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];
The Hon. Amina Gerba, Senator;Cameroon;businesswoman;French;1734 days [4 year(s), 8 month(s), 30 day(s)];(2021-07-29 - );1734 days [4 year(s), 8 month(s), 30 day(s)];;;;;
François Gérin, M.P.;Coaticook, Quebec, Canada;lawyer;;3338 days [9 year(s), 1 month(s), 21 day(s)];;;1944-08-03;2005-04-03;(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];
Melville Carlyle Germa, M.P.;Creighton Mine, Ontario, Canada;armature winder;;393 days [1 year(s), 28 day(s)];;;1920-08-05;1993-06-17;(1967-05-29 - 1968-06-24);393 days [1 year(s), 28 day(s)];
William Manley German, M.P.;Hillier Township, Canada West;barrister;;8390 days [22 year(s), 11 month(s), 20 day(s)];;;1851-05-26;1933-03-31;(1891-03-05 - 1892-04-05)|(1900-11-07 - 1917-12-16)|(1921-12-06 - 1926-09-13);8390 days [22 year(s), 11 month(s), 20 day(s)];
The Hon. Jon Gerrard, P.C., M.P.;Birmingham, England;professor, scientist, pediatric hematologist, physician, surgeon;;1316 days [3 year(s), 7 month(s), 7 day(s)];;;1947-10-13;;(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];
The Hon. Mark Gerretsen, P.C., M.P.;Kingston, Ontario, Canada;property manager;English, French;3844 days [10 year(s), 6 month(s), 9 day(s)];;;1975-06-05;;(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];Son of John Gerretsen, member of the Ontario Legislative Assembly (1995-2014), Minister of Municipal Affairs and Housing (2003-2007), Minister of the Environment (2007-2010), Minister of Consumer Services (2010-2011), Attorney General (2011-2014).
The Hon. Frederick William Gershaw, M.P., Senator;Emerson, Manitoba, Canada;physician;;13865 days [37 year(s), 11 month(s), 16 day(s)];(1945-04-18 - 1968-03-26);8379 days [22 year(s), 11 month(s), 9 day(s)];1883-04-11;1968-06-26;(1925-10-29 - 1935-10-13)|(1940-03-26 - 1945-04-17);5486 days [15 year(s), 7 day(s)];
The Hon. Irving Gerstein, Senator;Toronto, Ontario, Canada;fundraiser, corporate director, businessman;;2596 days [7 year(s), 1 month(s), 9 day(s)];(2009-01-02 - 2016-02-10);2596 days [7 year(s), 1 month(s), 9 day(s)];1941-02-10;;;;Awarded the Order of Ontario (O.Ont.) in 2002.
Aurèle Gervais, M.P.;Potter, Ontario, Canada;industrial development consultant, businessman;;1539 days [4 year(s), 2 month(s), 17 day(s)];;;1933-02-01;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];
Honoré Hippolyte Achille Gervais, K.C., M.P.;Richelieu, Canada East;professor, author, lawyer;;2774 days [7 year(s), 7 month(s), 4 day(s)];;;1864-08-13;1915-08-08;(1904-02-16 - 1911-09-20);2774 days [7 year(s), 7 month(s), 4 day(s)];
Joseph-Charles-Théodore Gervais, M.P.;Berthier-en-Haut, Quebec, Canada;physician;;4607 days [12 year(s), 7 month(s), 11 day(s)];;;1868-07-25;1940-02-18;(1917-12-17 - 1925-10-28)|(1925-10-29 - 1930-07-28);4607 days [12 year(s), 7 month(s), 11 day(s)];
Paul Mullins Gervais, Q.C., M.P.;Sherbrooke, Quebec, Canada;lawyer;;1588 days [4 year(s), 4 month(s), 5 day(s)];;;1925-12-08;1997-04-29;(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];
The Hon. Ronald D. Ghitter, K.C., Senator;Calgary, Alberta, Canada;lawyer, real estate development consultant, businessman;;2564 days [7 year(s), 7 day(s)];(1993-03-25 - 2000-03-31);2564 days [7 year(s), 7 day(s)];1935-08-22;;;;
The Hon. Thomas Nicholson Gibbs, P.C., M.P., Senator;Terrebonne, Lower Canada;banker, manufacturer, merchant, miller;;4197 days [11 year(s), 5 month(s), 27 day(s)];(1880-04-03 - 1883-04-07);1100 days [3 year(s), 4 day(s)];1821-03-11;1883-04-07 (Died in Office);(1867-09-20 - 1873-06-13)|(1873-07-07 - 1874-01-21)|(1876-07-05 - 1878-09-16);3097 days [8 year(s), 5 month(s), 23 day(s)];
William Henry Gibbs, M.P.;Terrebonne, Lower Canada;manufacturer, merchant, miller;;1271 days [3 year(s), 5 month(s), 23 day(s)];;;1823-11-29;1902-11-05;(1872-10-12 - 1874-01-21)|(1876-07-05 - 1878-09-16);1271 days [3 year(s), 5 month(s), 23 day(s)];
Marie Gibeau, M.P.;Montreal, Quebec, Canada;administrator;;1799 days [4 year(s), 11 month(s), 3 day(s)];;;1950-07-11;2002-02-12;(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];
Alexander Gibson, M.P.;Fredericton, New Brunswick, Canada;businessman;;1258 days [3 year(s), 5 month(s), 10 day(s)];;;1852-12-15;1920-04-19;(1900-11-07 - 1901-06-11)|(1901-12-28 - 1904-11-02);1258 days [3 year(s), 5 month(s), 10 day(s)];
Colin David Gibson, Q.C., M.P.;Hamilton, Ontario, Canada;barrister, lawyer;;1588 days [4 year(s), 4 month(s), 5 day(s)];;;1922-11-02;2002-07-03;(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];
The Hon. Colin William George Gibson, P.C., Q.C., M.P.;Hamilton, Ontario, Canada;land surveyor, lawyer;;3585 days [9 year(s), 9 month(s), 24 day(s)];;;1891-02-16;1974-07-03;(1940-03-26 - 1950-01-17);3585 days [9 year(s), 9 month(s), 24 day(s)];
John Lambert Gibson, M.P.;Vancouver, British Columbia, Canada;lumber merchant, logger;;2982 days [8 year(s), 1 month(s), 30 day(s)];;;1906-03-07;1986-12-17;(1945-06-11 - 1953-08-09);2982 days [8 year(s), 1 month(s), 30 day(s)];
The Hon. William Gibson, M.P., Senator;Peterhead, Scotland;engineer, contractor;;7928 days [21 year(s), 8 month(s), 15 day(s)];(1902-02-11 - 1914-05-04);4466 days [12 year(s), 2 month(s), 22 day(s)];1849-08-07;1914-05-04 (Died in Office);(1891-03-05 - 1891-11-16)|(1892-01-28 - 1900-11-06);3462 days [9 year(s), 5 month(s), 23 day(s)];
William Gibson, M.P.;Dumfries-shire, Scotland;miller;;2166 days [5 year(s), 11 month(s), 5 day(s)];;;1815;1900-02;(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];
The Hon. Philippe D. Gigantès, Senator;Salonica, Greece;author, journalist;;5330 days [14 year(s), 7 month(s), 4 day(s)];(1984-01-13 - 1998-08-16);5330 days [14 year(s), 7 month(s), 4 day(s)];1923-08-16;2004-12-09;;;First Canadian of Hellenic origin appointed to the Senate. (Source Encyclopedia of Canada's peoples)
Georges Auguste Gigault, M.P.;Saint-Mathias, Canada East;notary;;4552 days [12 year(s), 5 month(s), 17 day(s)];;;1845-11-23;1915-04-25;(1878-09-17 - 1891-03-04);4552 days [12 year(s), 5 month(s), 17 day(s)];
The Hon. Clément Gignac, Senator;Saint-Gilbert, Quebec, Canada;economist;French;1734 days [4 year(s), 8 month(s), 30 day(s)];(2021-07-29 - );1734 days [4 year(s), 8 month(s), 30 day(s)];;;;;
Alain Giguère, M.P.;Lachine, Quebec, Canada;tax lawyer, lawyer;;1631 days [4 year(s), 5 month(s), 18 day(s)];;;1958-10-24;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];
The Hon. Louis de Gonzague Giguère, Senator;Hébertville, Quebec, Canada;administrator;;6674 days [18 year(s), 3 month(s), 9 day(s)];(1968-09-10 - 1986-12-18);6674 days [18 year(s), 3 month(s), 9 day(s)];1911-12-18;2002-06-16;;;
Arthur Gilbert, M.P.;Sainte-Monique de Nicolet, Quebec, Canada;farmer, merchant;;322 days [, 10 month(s), 18 day(s)];;;1879-01-01;1932-07-01;(1910-11-03 - 1911-09-20);322 days [, 10 month(s), 18 day(s)];
John Gilbert, M.P.;Toronto, Ontario, Canada;barrister, lawyer;;4554 days [12 year(s), 5 month(s), 19 day(s)];;;1921-09-21;2006-08-07;(1965-11-08 - 1978-04-27);4554 days [12 year(s), 5 month(s), 19 day(s)];
James Gordon Gilchrist, M.P.;Toronto, Ontario, Canada;businessman;;1766 days [4 year(s), 10 month(s), 1 day(s)];;;1928-08-11;;(1979-05-22 - 1984-03-21);1766 days [4 year(s), 10 month(s), 1 day(s)];
The Hon. Aurélien Gill, Senator;Pointe-Bleue, Quebec, Canada;businessman, teacher;;3632 days [9 year(s), 11 month(s), 10 day(s)];(1998-09-17 - 2008-08-26);3632 days [9 year(s), 11 month(s), 10 day(s)];1933-08-26;2015-01-17;;;Member of the Mashteuiatsh Montagnais Community of Quebec.
Charles-Ignace Gill, M.P.;Saint-François, Canada East;lawyer;;1944 days [5 year(s), 3 month(s), 27 day(s)];;;1844-03-12;1901-09-16;(1874-01-22 - 1879-05-19);1944 days [5 year(s), 3 month(s), 27 day(s)];
Marilène Gill, M.P.;Sorel, Quebec, Canada;unionist, coordinator, political attaché, teacher;French, English;3844 days [10 year(s), 6 month(s), 9 day(s)];;;1977;;(2015-10-19 - 2025-04-27)|(2025-04-28 - );3844 days [10 year(s), 6 month(s), 9 day(s)];
Parm Gill, M.P.;Moga, Punjab, India;business executive, entrepreneur;;1631 days [4 year(s), 5 month(s), 18 day(s)];;;1974-05-17;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];
The Hon. Alastair William Gillespie, P.C., O.C., M.P.;Victoria, British Columbia, Canada;business executive;;3983 days [10 year(s), 10 month(s), 27 day(s)];;;1922-05-01;2018-08-19;(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];
André Gillet, M.P.;;builder, contractor, administrator;;1540 days [4 year(s), 2 month(s), 18 day(s)];;;1916-11-03;1993-06-29;(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];
James McPhail Gillies, M.P.;Teeswater, Ontario, Canada;economist, educator;;2395 days [6 year(s), 6 month(s), 21 day(s)];;;1924-11-02;2015-12-13;(1972-10-30 - 1979-05-21);2395 days [6 year(s), 6 month(s), 21 day(s)];
John Gillies, M.P.;Kilcolomnell, Argyleshire, Scotland;farmer;;3538 days [9 year(s), 8 month(s), 8 day(s)];;;1837;1889-12-10;(1872-10-12 - 1882-06-19);3538 days [9 year(s), 8 month(s), 8 day(s)];
Joseph Alexander Gillies, M.P.;Irish Cove, Nova Scotia, Canada;solicitor, lawyer;;3505 days [9 year(s), 7 month(s), 5 day(s)];;;1849-09-17;1921-07-07;(1891-03-05 - 1891-12-21)|(1892-01-21 - 1900-11-07);3505 days [9 year(s), 7 month(s), 5 day(s)];
The Hon. Archibald Beaton Gillis, Senator;Whycocomagh, Nova Scotia, Canada;farmer, postmaster;;6668 days [18 year(s), 3 month(s), 3 day(s)];(1921-10-17 - 1940-01-18);6668 days [18 year(s), 3 month(s), 3 day(s)];1864-01-28;1940-01-18 (Died in Office);;;
Clarence Gillis, M.P.;Westville, Nova Scotia, Canada;miner, union officer;;6285 days [17 year(s), 2 month(s), 15 day(s)];;;1895-10-03;1960-12-17;(1940-03-26 - 1957-06-09);6285 days [17 year(s), 2 month(s), 15 day(s)];
The Hon. Arthur Hill Gillmor, M.P., Senator;St. George, New Brunswick, Canada;lumberman, farmer;;9295 days [25 year(s), 5 month(s), 12 day(s)];(1900-04-02 - 1903-04-13);1107 days [3 year(s), 11 day(s)];1824-03-12;1903-04-13 (Died in Office);(1874-01-22 - 1896-06-22);8188 days [22 year(s), 5 month(s), 1 day(s)];
The Hon. Daniel Gillmor, Senator;St. George, New Brunswick, Canada;merchant;;4057 days [11 year(s), 1 month(s), 9 day(s)];(1907-01-15 - 1918-02-22);4057 days [11 year(s), 1 month(s), 9 day(s)];1849-07-01;1918-02-22 (Died in Office);;;
James Gilmour, M.P.;South Hillhead, Renfrewshire, Scotland;farmer;;3054 days [8 year(s), 4 month(s), 10 day(s)];;;1842-01-20;1908-05-15;(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];
William (Bill) Douglas Gilmour, M.P.;Powell River, British Columbia, Canada;forester;;2590 days [7 year(s), 1 month(s), 3 day(s)];;;1942-12-29;;(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];
Pierre J.J. Georges Adelard Gimaïel, M.P.;Metabetchouan, Quebec, Canada;manpower consultant, development manager;;1660 days [4 year(s), 6 month(s), 16 day(s)];;;1949-06-06;;(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];
Ernest-Omer Gingras, M.P.;Saint-Camille, Quebec, Canada;merchant, clerk;;3199 days [8 year(s), 9 month(s), 3 day(s)];;;1887-02-17;1983-09-11;(1949-06-27 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];
René Gingras, M.P.;Amos, Quebec, Canada;electrician, administrator, businessman;;1660 days [4 year(s), 6 month(s), 16 day(s)];;;1938-09-16;2016-01-08;(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];
Maurice Gingues, M.P.;Sherbrooke, Quebec, Canada;merchant, real estate broker;;6224 days [17 year(s), 15 day(s)];;;1903-11-08;1960-08-27;(1940-03-26 - 1944-06-20)|(1945-06-11 - 1958-03-30);6224 days [17 year(s), 15 day(s)];
Albert Girard, M.P.;Saint-Jean, New Brunswick, Canada;businessman;;1539 days [4 year(s), 2 month(s), 17 day(s)];;;1949-08-18;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];
