Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
The Hon. Robert William Weir Carrall, Senator;1837-02-02;Carrall's Grove, Upper Canada;1879-09-19 (Died in Office);physician;2838 days [7 year(s), 9 month(s), 7 day(s)];;;(1871-12-13 - 1879-09-19);2838 days [7 year(s), 9 month(s), 7 day(s)];;
Donald D. Carrick, M.P.;1906-09-18;Port Arthur, Ontario, Canada;1997-02-28;athlete, lawyer;945 days [2 year(s), 7 month(s), 2 day(s)];(1954-11-08 - 1957-06-09);945 days [2 year(s), 7 month(s), 2 day(s)];;;;
John James Carrick, M.P.;1873-09-17;Terre Haute, Indiana, United States;1966-05-11;financial agent / adviser / consultant, real estate broker;2279 days [6 year(s), 2 month(s), 27 day(s)];(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];;;;
Colin Carrie, M.P.;1962-04-11;Hamilton, Ontario, Canada;;chiropractor;7609 days [20 year(s), 9 month(s), 30 day(s)];(2004-06-28 - 2025-04-27);7609 days [20 year(s), 9 month(s), 30 day(s)];;;;
Louis Auguste Carrier, M.P.;1858-05-24;Lévis, Canada East;1928-03-10;wholesaler;2298 days [6 year(s), 3 month(s), 16 day(s)];(1905-06-06 - 1911-09-20);2298 days [6 year(s), 3 month(s), 16 day(s)];;;;
Robert Carrier, M.P.;1941-06-03;Montreal, Quebec, Canada;;civil engineer, political adviser, project coordinator;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;
The Hon. Henry George Carroll, P.C., K.C., M.P.;1865-01-31;Kamouraska, Canada East;1939-08-20;lawyer;4694 days [12 year(s), 10 month(s), 7 day(s)];(1891-03-05 - 1902-02-09)|(1902-02-28 - 1904-01-28);4694 days [12 year(s), 10 month(s), 7 day(s)];;;;
The Hon. Margaret Aileen Carroll, P.C., M.P.;1944-06-01;Halifax, Nova Scotia, Canada;2020-04-19;administrator;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;
William F. Carroll, M.P.;1877-06-11;Margaree Forks, Nova Scotia, Canada;1964-08-25;judge, barrister, lawyer;5207 days [14 year(s), 3 month(s), 3 day(s)];(1911-09-21 - 1917-12-16)|(1921-12-06 - 1925-10-28)|(1949-06-27 - 1953-08-09);5207 days [14 year(s), 3 month(s), 3 day(s)];;;;
John W. Carruthers, M.P.;1863-10-25;Hamilton, Canada West;1949-12-25;physician;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
Alexander Augustus Williamson Carscallen, M.P.;1844-10-14;North Fredericksburg Township, Canada West;1907-02-13;banker;4335 days [11 year(s), 10 month(s), 13 day(s)];(1892-12-20 - 1904-11-02);4335 days [11 year(s), 10 month(s), 13 day(s)];;;;
The Hon. Sharon Carstairs, P.C., Senator;1942-04-26;Halifax, Nova Scotia, Canada;;teacher;6242 days [17 year(s), 1 month(s), 3 day(s)];;;(1994-09-15 - 2011-10-17);6242 days [17 year(s), 1 month(s), 3 day(s)];Appointed Member of the Order of Canada (C.M.) in 2016.;
The Hon. Chesley William Carter, M.P., Senator;1902-07-29;Pass Island, Newfoundland;1994-01-14;educator;10259 days [28 year(s), 1 month(s), 2 day(s)];(1949-06-27 - 1966-07-07);6220 days [17 year(s), 11 day(s)];(1966-07-08 - 1977-07-28);4039 days [11 year(s), 21 day(s)];;
Edward Brock Carter, Q.C., M.P.;1822-03-01;Trois-Rivières, Lower Canada;1883-09-27;professor of criminal law, author, lawyer;797 days [2 year(s), 2 month(s), 6 day(s)];(1871-11-17 - 1874-01-21);797 days [2 year(s), 2 month(s), 6 day(s)];;;;
Walter C. Carter, M.P.;1929-04-08;Greenspond, Newfoundland;2002-01-20;director, businessman;2627 days [7 year(s), 2 month(s), 9 day(s)];(1968-06-25 - 1975-09-03);2627 days [7 year(s), 2 month(s), 9 day(s)];;;;
The Hon. Sir George-Étienne Cartier, P.C., Q.C., M.P.;1814-09-06;Saint-Antoine-sur-Richelieu, Lower Canada;1873-05-20 (Died in Office);lawyer;2070 days [5 year(s), 8 month(s), 1 day(s)];(1867-09-20 - 1872-10-11)|(1872-10-12 - 1873-05-20);2070 days [5 year(s), 8 month(s), 1 day(s)];;;Father of Confederation, attended the Charlottetown (Sept. 1864), Quebec (Oct. 1864) and London (Dec. 1866) conferences.Grandson of Jacques Cartier, member of the Quebec Legislative Assembly (1804-09),great-uncle of Antoine-Paul Cartier, member of the Quebec Legislative Assembly (1892-97),and nephew by marriage of Louis-Édouard Hubert, member of the Quebec Legislative Assembly (1800-04) and of Ovide Perrault, member of the Quebec Legislative Assembly (1834-37).;
The Right Hon. Sir Richard John Cartwright, P.C., G.C.M.G., M.P., Senator;1835-12-04;Kingston, Upper Canada;1912-09-24 (Died in Office);banker, author, businessman;15857 days [43 year(s), 4 month(s), 29 day(s)];(1867-09-20 - 1878-09-16)|(1878-11-02 - 1882-06-19)|(1883-12-10 - 1887-02-21)|(1887-02-22 - 1904-09-29);12940 days [35 year(s), 5 month(s), 4 day(s)];(1904-09-30 - 1912-09-24);2917 days [7 year(s), 11 month(s), 25 day(s)];;
The Hon. Frank Broadstreet Carvell, P.C., K.C., M.P.;1862-08-14;Bloomfield, New Brunswick, Canada;1924-08-09;lawyer, businessman;5385 days [14 year(s), 8 month(s), 29 day(s)];(1904-11-03 - 1917-12-16)|(1917-12-17 - 1919-08-01);5385 days [14 year(s), 8 month(s), 29 day(s)];;;;
The Hon. Jedediah Slason Carvell, Senator;1832-03-16;Newcastle, New Brunswick, Canada;1894-02-14;merchant;3486 days [9 year(s), 6 month(s), 16 day(s)];;;(1879-12-18 - 1889-07-03);3486 days [9 year(s), 6 month(s), 16 day(s)];;
Sir Louis Napoléon Casault, Q.C., M.P.;1823-07-10;Saint-Thomas-de-Montmagny, Lower Canada;1908-05-18;professor, lawyer;980 days [2 year(s), 8 month(s), 7 day(s)];(1867-09-20 - 1870-05-26);980 days [2 year(s), 8 month(s), 7 day(s)];;;;
Wilfrid Garfield Case, M.P.;1896-09-23;East Gwillimbury Township, Ontario, Canada;1959-09-22;farmer, insurance broker;1603 days [4 year(s), 4 month(s), 20 day(s)];(1945-02-05 - 1949-06-26);1603 days [4 year(s), 4 month(s), 20 day(s)];;;;
George Elliott Casey, M.P.;1850-03-24;Southwold Township, Canada West;1903-11-30;author, journalist;10252 days [28 year(s), 25 day(s)];(1872-10-12 - 1900-11-06);10252 days [28 year(s), 25 day(s)];;;Appointed to the staff of the Library of Parliament, Ottawa, October 1903.;
Sean Casey, , M.P.;1963-05-16;St. John's, Newfoundland, Canada;;lawyer, businessman;5475 days [14 year(s), 11 month(s), 27 day(s)];(2011-05-02 - );5475 days [14 year(s), 11 month(s), 27 day(s)];;;Spouse of Kathleen Casey, member of the Prince Edward Island Legislative Assembly (2007 - 2019   ).;English
William D. (Bill) Casey, M.P.;1945-02-19;Amherst, Nova Scotia, Canada;;stockbroker, senior public servant, businessman;7613 days [20 year(s), 10 month(s), 4 day(s)];(1988-11-21 - 1993-10-24)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2009-04-30)|(2015-10-19 - 2019-10-20);7613 days [20 year(s), 10 month(s), 4 day(s)];;;;
The Hon. Charles Eusèbe Casgrain, Senator;1825-08-03;Québec, Lower Canada;1907-03-08 (Died in Office);coroner, physician;7360 days [20 year(s), 1 month(s), 25 day(s)];;;(1887-01-12 - 1907-03-08);7360 days [20 year(s), 1 month(s), 25 day(s)];;
The Hon. Joseph Philippe Baby Casgrain, Senator;1856-03-01;Québec, Canada East;1939-01-06 (Died in Office);land surveyor, civil engineer, author;14222 days [38 year(s), 11 month(s), 8 day(s)];;;(1900-01-29 - 1939-01-06);14222 days [38 year(s), 11 month(s), 8 day(s)];"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Great-grandson of James Baby, speaker of the Legislative Council of Upper Canada.";
Philippe Baby Casgrain, Q.C., M.P.;1826-12-30;Québec, Quebec, Canada;1917-05-23;author, lawyer;6718 days [18 year(s), 4 month(s), 22 day(s)];(1872-10-12 - 1891-03-04);6718 days [18 year(s), 4 month(s), 22 day(s)];;;;
The Hon. Pierre-François Casgrain, P.C., M.P.;1886-08-04;Montreal, Quebec, Canada;1950-08-02;lawyer;8764 days [23 year(s), 11 month(s), 28 day(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1941-12-14);8764 days [23 year(s), 11 month(s), 28 day(s)];;;;
The Hon. Thérèse Forget Casgrain, Senator;1896-07-10;Montreal, Quebec, Canada;1981-11-03;lecturer, journalist, humanist;277 days [, 9 month(s), 3 day(s)];;;(1970-10-07 - 1971-07-10);277 days [, 9 month(s), 3 day(s)];First woman to lead a Canadian political party (C.C.F.- Quebec, 1951-1957). Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 1979.;
The Hon. Thomas Chase Casgrain, P.C., M.P.;1852-07-28;Detroit, Michigan, United States;1916-12-29 (Died in Office);lawyer, professor of law;3838 days [10 year(s), 6 month(s), 3 day(s)];(1896-06-23 - 1904-11-02)|(1914-11-07 - 1916-12-29);3838 days [10 year(s), 6 month(s), 3 day(s)];;;;
Andrew Cash, M.P.;1962-01-22;Scarborough, Ontario, Canada;;musician, composer, singer, journalist, writer;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
Edward L. Cash, M.P.;1849-12-26;Markham, Canada West;1922-05-31;physician;4792 days [13 year(s), 1 month(s), 14 day(s)];(1904-11-03 - 1908-10-25)|(1908-10-26 - 1917-12-16);4792 days [13 year(s), 1 month(s), 14 day(s)];;;;
The Hon. Richard Joseph Cashin, P.C., M.P.;1937-01-05;St John's, Newfoundland;;lawyer;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;Awarded the Order of Newfoundland and Labrador (O.N.L.) in 2019.;
Arza Clair Casselman, Q.C., M.P.;1891-01-19;Williamsburg Township, Ontario, Canada;1958-05-11 (Died in Office);barrister, lawyer;11905 days [32 year(s), 7 month(s), 4 day(s)];(1921-12-06 - 1921-12-27)|(1925-10-29 - 1958-05-11);11905 days [32 year(s), 7 month(s), 4 day(s)];;;;
Cora Taylor Casselman, M.P.;1888-10-18;Tara, Ontario, Canada;1964-09-06;teacher;1470 days [4 year(s), 9 day(s)];(1941-06-02 - 1945-06-10);1470 days [4 year(s), 9 day(s)];;;;
Frederick Clayton Casselman, M.P.;1885-10-02;Helmsville, Montana, United States;1941-03-20 (Died in Office);barrister, teacher;360 days [, 11 month(s), 25 day(s)];(1940-03-26 - 1941-03-20);360 days [, 11 month(s), 25 day(s)];;;;
Orren D. Casselman, M.P.;1861-11-03;Chesterville, Canada West;1950-11-15;merchant;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Michael Morris Cassidy, M.P.;1937-05-10;Victoria, British Columbia, Canada;2025-11-09;professor (assistant) - journalism, journalist;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Rick Casson, P.C., M.P.;1948-12-30;Calgary, Alberta, Canada;;manager - printing services;5082 days [13 year(s), 10 month(s), 30 day(s)];(1997-06-02 - 2011-05-01);5082 days [13 year(s), 10 month(s), 30 day(s)];;;;
George Hugh Castleden, M.P.;1895-07-23;Moosomin, Northwest Territories, Canada;1969-04-25;teacher;5074 days [13 year(s), 10 month(s), 22 day(s)];(1940-03-26 - 1949-06-26)|(1953-08-10 - 1958-03-30);5074 days [13 year(s), 10 month(s), 22 day(s)];;;;
Douglas Marmaduke Caston, M.P.;1917-09-03;Macklin, Saskatchewan, Canada;1996-06-26;newspaper publisher;232 days [, 7 month(s), 19 day(s)];(1967-11-06 - 1968-06-24);232 days [, 7 month(s), 19 day(s)];;;;
The Hon. Claude Castonguay, C.C., O.Q., Senator;1929-05-08;Québec, Quebec, Canada;2020-12-12;actuary, businessman;809 days [2 year(s), 2 month(s), 18 day(s)];;;(1990-09-23 - 1992-12-09);809 days [2 year(s), 2 month(s), 18 day(s)];;
Jeannot Castonguay, M.P.;1944-09-01;Saint-Quentin, New Brunswick, Canada;;physician;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;
Cecil A. (Tiny) Cathers, M.P.;1901-04-21;Toronto, Ontario, Canada;1989-12-06;business executive, farmer;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;
A. Earl Catherwood, M.P.;1900-05-23;Hagersville, Ontario, Canada;1988-03-25;farmer;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
Marlene Catterall, M.P.;1939-03-01;Ottawa, Ontario, Canada;2024-08-12;consultant, teacher;6272 days [17 year(s), 2 month(s), 2 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 2006-01-22);6272 days [17 year(s), 2 month(s), 2 day(s)];;;Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 2023.;
Médéric Catudal, M.P.;1856-11-24;Napierville, Canada East;1939-05-08;agent;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
The Hon. Joseph Édouard Cauchon, P.C., M.P., Senator;1816-12-31;Saint-Roch, Lower Canada;1885-02-23;editor, author, journalist, lawyer;3564 days [9 year(s), 9 month(s), 3 day(s)];(1867-09-20 - 1867-11-01)|(1872-10-12 - 1875-12-07)|(1875-12-27 - 1877-10-22);1861 days [5 year(s), 1 month(s), 5 day(s)];(1867-11-02 - 1872-06-30);1703 days [4 year(s), 7 month(s), 29 day(s)];;
The Hon. Martin Cauchon, P.C., M.P.;1962-08-23;La Malbaie, Quebec, Canada;;lawyer;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;
Robert Cauchon, C.M.,;1900-09-10;La Malbaie, Quebec, Canada;1980-12-17;stenographer;3199 days [8 year(s), 9 month(s), 3 day(s)];(1949-06-27 - 1953-08-09)|(1953-08-10 - 1958-03-30);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;
Harry Peter Cavers, Q.C., M.P.;1909-12-27;St. Catharines, Ontario, Canada;1995-12-07;judge, barrister;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
Michael Cayley, M.P.;1842-05-15;Kilkenny, Ireland;1878-12-03 (Died in Office);lawyer;1927 days [5 year(s), 3 month(s), 10 day(s)];(1867-09-20 - 1872-10-11)|(1878-09-17 - 1878-12-03);1927 days [5 year(s), 3 month(s), 10 day(s)];;;;
Thomas Merritt Cayley, M.P.;1878-08-18;East Oxford Township, Ontario, Canada;1933-05-30 (Died in Office);school principal, insurance agent, teacher;2451 days [6 year(s), 8 month(s), 17 day(s)];(1926-09-14 - 1933-05-30);2451 days [6 year(s), 8 month(s), 17 day(s)];;;;
Benoît Chabot, M.P.;1911-02-13;Plaisance, Quebec, Canada;2006-07-20;newspaper dealer, sales agent;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;;;
The Hon. John Léo Chabot, P.C., M.P.;1869-02-23;Ottawa, Ontario, Canada;1936-12-08;physician, surgeon;4049 days [11 year(s), 1 month(s), 1 day(s)];(1911-09-21 - 1921-12-05)|(1925-10-29 - 1926-09-13);4049 days [11 year(s), 1 month(s), 1 day(s)];;;;
Louise Chabot, M.P.;;;;nurse, unionist;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;
Harry Chadwick, M.P.;1930-11-13;Toronto, Ontario, Canada;2020-03-23;receiver, warehouseman, autoworker;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1990-12-18)|(1990-12-19 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. William Henry Chaffers, Senator;1827-08-02;Québec, Lower Canada;1894-07-19 (Died in Office);merchant;9767 days [26 year(s), 8 month(s), 28 day(s)];;;(1867-10-23 - 1894-07-19);9767 days [26 year(s), 8 month(s), 28 day(s)];Baptized Guillaume-Henri-Jacques.Grandson of François Blanchet, member of the Legislative Assembly of Quebec (1809-1816, 1818-1930).;
The Hon. Bardish Chagger, P.C., M.P.;1980-04-06;Kitchener, Ontario, Canada;;executive assistant, community organizer, project coordinator;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;English
The Hon. Thelma Chalifoux, Senator;1929-02-08;Calgary, Alberta, Canada;2017-09-22;educator;2266 days [6 year(s), 2 month(s), 14 day(s)];;;(1997-11-26 - 2004-02-08);2266 days [6 year(s), 2 month(s), 14 day(s)];First Métis and first aboriginal woman appointed to the Senate.;
The Hon. Brenda Chamberlain, P.C., M.P.;1952-04-09;Toronto, Ontario, Canada;;executive director;5279 days [14 year(s), 5 month(s), 14 day(s)];(1993-10-25 - 2004-06-27)|(2004-06-28 - 2008-04-07);5279 days [14 year(s), 5 month(s), 14 day(s)];;;;
Brown Chamberlin, M.P.;1827-03-26;Frelighsburg, Lower Canada;1897-07-13;newspaper publisher, author, lawyer;991 days [2 year(s), 8 month(s), 18 day(s)];(1867-09-20 - 1870-06-06);991 days [2 year(s), 8 month(s), 18 day(s)];;;;
Alan Chambers, M.P.;1904-01-14;England;1981;merchant, exporter, importer;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;
Egan Chambers, M.P.;1921-03-22;Montreal, Quebec, Canada;1994-05-05;insurance broker, sales manager;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;
Albert Champagne, M.P.;1867-06-23;Ottawa, Ontario, Canada;1937-10-12;farmer, police officer, hotelier, rancher;3339 days [9 year(s), 1 month(s), 22 day(s)];(1908-10-26 - 1917-12-16);3339 days [9 year(s), 1 month(s), 22 day(s)];;;;
The Hon. Andrée Champagne, P.C., C.M., M.P., Senator;1939-07-17;Saint-Hyacinthe, Quebec, Canada;2020-06-06;radio & tv announcer & producer, public relations officer, actress, administrator, writer;6610 days [18 year(s), 1 month(s), 6 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];(2005-08-02 - 2014-07-17);3272 days [8 year(s), 11 month(s), 15 day(s)];Author of more than 200 poems and songs.First woman Deputy Speaker of the House of Commons.Awarded the title of Commander of the Ordre de la Pléiade in 1991.;
The Hon. François-Philippe Champagne, P.C., M.P.;1970-06-25;Greenfield Park, Quebec, Canada;;consultant in international trade, lawyer, businessman;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;French
Louis Napoléon Champagne, K.C., M.P.;1860-11-21;Saint-Eustache, Canada East;1911-10-15;lawyer;2781 days [7 year(s), 7 month(s), 11 day(s)];(1897-03-23 - 1904-11-02);2781 days [7 year(s), 7 month(s), 11 day(s)];;;;
Michel Champagne, M.P.;1956-05-04;Saint-Sévérin-de-Proulxville, Quebec, Canada;;political scientist, businessman, teacher;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Martin Champoux, M.P.;1968;Québec, Quebec, Canada;;communications advisor, entrepreneur;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;French, English
Arnold Chan, M.P.;1967-06-10;Toronto, Ontario, Canada;2017-09-14 (Died in Office);lawyer;1173 days [3 year(s), 2 month(s), 16 day(s)];(2014-06-30 - 2017-09-14);1173 days [3 year(s), 2 month(s), 16 day(s)];;;;
The Hon. Raymond Chan, P.C., M.P.;1951-10-25;Hong Kong, China;;electrical engineer, professional engineer;4159 days [11 year(s), 4 month(s), 19 day(s)];(1993-10-25 - 2000-11-26)|(2004-06-28 - 2008-10-13);4159 days [11 year(s), 4 month(s), 19 day(s)];;;;
Edmund Leavens Chandler, M.P.;1829-12-21;Frelighsburg, Lower Canada;1880-08-21 (Died in Office);merchant, teacher;705 days [1 year(s), 11 month(s), 5 day(s)];(1878-09-17 - 1880-08-21);705 days [1 year(s), 11 month(s), 5 day(s)];;;;
The Hon. Edward Barron Chandler, Q.C., Senator;1800-08-22;Amherst, Nova Scotia, Canada;1880-02-06;judge, lawyer, administrator;1 days [, 1 day(s)];;;(1867-10-23 - 1867-10-23);1 days [, 1 day(s)];Father of Confederation, attended the Charlottetown (Sept. 1864) and Quebec (Oct. 1864) conferences.;
The Hon. Jean-Charles Chapais, , P.C., Senator;1811-12-02;Rivière-Ouelle, Lower Canada;1885-07-17 (Died in Office);merchant;6379 days [17 year(s), 5 month(s), 18 day(s)];;;(1868-01-30 - 1885-07-17);6379 days [17 year(s), 5 month(s), 18 day(s)];Father of Confederation, attended the Quebec (Oct. 1864) conference.;
The Hon. Sir Joseph Amable Thomas Chapais, K.C.S.G., Senator;1858-03-23;Saint-Denis de Kamouraska, Canada East;1946-07-15 (Died in Office);professor, historian, editor, author, journalist;9694 days [26 year(s), 6 month(s), 15 day(s)];;;(1919-12-31 - 1946-07-15);9694 days [26 year(s), 6 month(s), 15 day(s)];;
Gérard Chapdelaine, M.P.;1935-07-31;Coaticook, Quebec, Canada;1994-08-07;lawyer;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;
Renaud Chapdelaine, M.P.;1911-03-27;Nicolet, Quebec, Canada;1971-09-01;lawyer;140 days [, 4 month(s), 18 day(s)];(1949-02-07 - 1949-06-26);140 days [, 4 month(s), 18 day(s)];;;;
The Hon. Sir Joseph Adolphe Chapleau, P.C., Q.C., K.C.M.G., M.P.;1840-11-09;Sainte-Thérèse-de-Blainville, Lower Canada;1898-06-13;professor, lawyer, publisher;3766 days [10 year(s), 3 month(s), 23 day(s)];(1882-08-16 - 1892-12-06);3766 days [10 year(s), 3 month(s), 23 day(s)];;;;
Alexander Dew Chaplin, M.P.;1872-04-10;Port Granby, Ontario, Canada;1938-01-18;manufacturer;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;
Gordon Chaplin, M.P.;1907-07-31;St. Catharines, Ontario, Canada;1964-06-27 (Died in Office);manufacturer, businessman;741 days [2 year(s), 11 day(s)];(1962-06-18 - 1964-06-27);741 days [2 year(s), 11 day(s)];;;;
The Hon. James Dew Chaplin, P.C., M.P.;1863-03-20;Toronto, Ontario, Canada;1937-08-23;businessman;6510 days [17 year(s), 9 month(s), 27 day(s)];(1917-12-17 - 1935-10-13);6510 days [17 year(s), 9 month(s), 27 day(s)];;;;
Hyliard G. Chappell, Q.C., M.P.;1916-04-16;Barrie, Ontario, Canada;1988-03-05;barrister and solicitor;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
The Hon. Maria Chaput, Senator, C.M.;1942-05-07;Saint-Adolphe, Manitoba, Canada;;consultant, businesswoman;4828 days [13 year(s), 2 month(s), 19 day(s)];;;(2002-12-12 - 2016-02-29);4828 days [13 year(s), 2 month(s), 19 day(s)];"First Franco-Manitoban woman appointed to the Senate.Appointed ""chevalier de l'Ordre national de la Légion d'honneur de France"", July 2011.";
The Hon. Solange Chaput-Rolland, Senator;1919-05-14;Montreal, Quebec, Canada;2001-10-31;commentator, journalist, writer;2057 days [5 year(s), 7 month(s), 18 day(s)];;;(1988-09-26 - 1994-05-14);2057 days [5 year(s), 7 month(s), 18 day(s)];;
The Hon. Guy Charbonneau, P.C., Senator;1922-06-21;Trois-Rivières, Quebec, Canada;1998-01-18;insurance broker;6478 days [17 year(s), 8 month(s), 26 day(s)];;;(1979-09-27 - 1997-06-21);6478 days [17 year(s), 8 month(s), 26 day(s)];Received B'nai Brith Canada Award of Merit, 1986 and Grande Croix, Ordre de la Pléiade, 1991.;
