Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Alfred Claude Ellis, M.P.;1919-11-02;Regina, Saskatchewan, Canada;1997-10-01;teacher;1694 days [4 year(s), 7 month(s), 20 day(s)];(1953-08-10 - 1958-03-30);1694 days [4 year(s), 7 month(s), 20 day(s)];;;;
John Raymond Ellis, M.P.;1929-10-31;Campbellford, Ontario, Canada;1994-12-01;manager, entrepreneur;5866 days [16 year(s), 22 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1988-11-20);5866 days [16 year(s), 22 day(s)];;;;
The Hon. John Valentine Ellis, M.P., Senator;1835-02-14;Halifax, Nova Scotia, Canada;1913-07-10;editor, author, journalist;7668 days [20 year(s), 11 month(s), 28 day(s)];(1887-02-22 - 1891-03-04)|(1896-06-23 - 1900-09-02);3004 days [8 year(s), 2 month(s), 21 day(s)];(1900-09-03 - 1913-06-10);4664 days [12 year(s), 9 month(s), 7 day(s)];;
Neil R. Ellis, M.P.;1962-07-02;Belleville, Ontario, Canada;;business owner;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;
Peter Elson, M.P.;1839-01-18;London Township, Canada West;1913-06-11 (Died in Office);farmer;3143 days [8 year(s), 7 month(s), 8 day(s)];(1904-11-03 - 1913-06-11);3143 days [8 year(s), 7 month(s), 8 day(s)];;;;
Peter Elzinga, M.P.;1944-04-06;Edmonton, Alberta, Canada;2023-11-08;farmer, rancher;4301 days [11 year(s), 9 month(s), 9 day(s)];(1974-07-08 - 1986-04-16);4301 days [11 year(s), 9 month(s), 9 day(s)];;;;
René Émard, M.P.;1914-09-01;Village of Châteauguay, Quebec, Canada;1984-06-07;unionist;3493 days [9 year(s), 6 month(s), 23 day(s)];(1963-04-08 - 1968-06-24)|(1968-06-25 - 1972-10-29);3493 days [9 year(s), 6 month(s), 23 day(s)];;;;
Alexander Thomas Embury, C.M., M.P.;1874-01-12;Lennox County, Ontario, Canada;1956-07-19;physician;3637 days [9 year(s), 11 month(s), 15 day(s)];(1925-10-29 - 1935-10-13);3637 days [9 year(s), 11 month(s), 15 day(s)];;;;
The Hon. Clarence Vernon Emerson, Senator;1901-01-24;Saint John, New Brunswick, Canada;1963-09-25 (Died in Office);merchant;2175 days [5 year(s), 11 month(s), 14 day(s)];;;(1957-10-12 - 1963-09-25);2175 days [5 year(s), 11 month(s), 14 day(s)];;
The Hon. David Emerson, P.C., M.P.;1945-09-17;Montreal, Quebec, Canada;;economist, senior public servant, researcher, executive;1569 days [4 year(s), 3 month(s), 17 day(s)];(2004-06-28 - 2008-10-13);1569 days [4 year(s), 3 month(s), 17 day(s)];;;;
The Hon. Henry Read Emmerson;1883-11-07;Dorchester, New Brunswick, Canada;1954-06-21 (Died in Office);business executive, salesman;6826 days [18 year(s), 8 month(s), 9 day(s)];(1935-10-14 - 1949-06-24);5003 days [13 year(s), 8 month(s), 12 day(s)];(1949-06-25 - 1954-06-21);1823 days [4 year(s), 11 month(s), 27 day(s)];;
The Hon. Henry Robert Emmerson, P.C., K.C., M.P.;1853-09-25;Maugerville, New Brunswick, Canada;1914-07-09 (Died in Office);lawyer;4978 days [13 year(s), 7 month(s), 17 day(s)];(1900-11-07 - 1904-01-14)|(1904-01-30 - 1914-07-09);4978 days [13 year(s), 7 month(s), 17 day(s)];;;;
Frank A. Enfield, M.P.;1920-06-16;Toronto, Ontario, Canada;1983-10-24;solicitor, barrister;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
John Richard English, , M.P.;1945-01-26;Woodstock, Ontario, Canada;;professor, editor, author;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
Roland Léo English, M.P.;1909-01-01;Rivière-aux-Renards, Quebec, Canada;1993-01-15;manufacturer, organizer, teacher;2128 days [5 year(s), 9 month(s), 28 day(s)];(1957-06-10 - 1963-04-07);2128 days [5 year(s), 9 month(s), 28 day(s)];;;;
Siegfried John Enns, M.P.;1924-04-16;Ukraine;2020-01-25;social worker;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;
The Hon. Tobias C. Enverga, Jr., Senator;1955-12-02;Philippines;2017-11-16 (Died in Office);project manager;1898 days [5 year(s), 2 month(s), 11 day(s)];;;(2012-09-06 - 2017-11-16);1898 days [5 year(s), 2 month(s), 11 day(s)];;First Canadian of Filipino origin appointed to the Senate.
Abram Ernest Epp, M.P.;1941-09-28;Winnipeg, Manitoba, Canada;;professor;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Arthur Jacob (Jake) Epp, P.C., M.P.;1939-09-01;Saint-Boniface, Manitoba, Canada;2025-07-05;business executive, teacher;7612 days [20 year(s), 10 month(s), 3 day(s)];(1972-10-30 - 1993-09-01);7612 days [20 year(s), 10 month(s), 3 day(s)];;;;
Dave Epp, M.P.;;;;farmer;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;English;
Marvin Kenneth (Ken) Epp, M.P.;1939-05-11;Swift Current, Saskatchewan, Canada;2022-02-20;teacher;5468 days [14 year(s), 11 month(s), 20 day(s)];(1993-10-25 - 2004-06-27)|(2004-06-28 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;;
Dilman Kinsey Erb, M.P.;1857-07-16;Woolwich Township, Canada West;1936-02-19;farmer, principal, teacher;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;;;
The Hon. William Gordon Ernst, P.C., M.P.;1897-10-18;Mahone Bay, Nova Scotia, Canada;1939-07-12;barrister;3317 days [9 year(s), 30 day(s)];(1926-09-14 - 1935-10-13);3317 days [9 year(s), 30 day(s)];;;;
The Hon. Judith A. Erola, , P.C.;1934-01-16;Sudbury, Ontario, Canada;;radio salesperson, account executive, businesswoman;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;
Nathaniel Erskine-Smith, P.C., M.P.;1984-06-15;Toronto, Ontario, Canada;;lawyer;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;English, French;
William Kemble Esling, M.P.;1868-02-19;Philadelphia, Pennsylvania, United States;1946-12-02;newspaper publisher, agent;7165 days [19 year(s), 7 month(s), 12 day(s)];(1925-10-29 - 1945-06-10);7165 days [19 year(s), 7 month(s), 12 day(s)];;;;
Denis Éthier, M.P.;1926-03-25;Sainte-Justine-de-Newton, Quebec, Canada;2017-03-15;merchant, businessman;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;
Joseph Arthur Calixte Éthier, M.P.;1868-05-26;Saint-Benoît, Quebec, Canada;1936-08-14;crown prosecutor, lawyer;10518 days [28 year(s), 9 month(s), 17 day(s)];(1896-06-23 - 1902-08-06)|(1903-02-24 - 1917-12-16)|(1917-12-17 - 1925-10-28);10518 days [28 year(s), 9 month(s), 17 day(s)];;;;
Viateur Éthier, M.P.;1915-06-27;Sainte-Justine-de-Newton, Quebec, Canada;1975-07-19;baker;3787 days [10 year(s), 4 month(s), 13 day(s)];(1962-06-18 - 1972-10-29);3787 days [10 year(s), 4 month(s), 13 day(s)];;;;
The Hon. Raymond Pierre Eudes, M.P., Senator;1912-10-10;Montreal, Quebec, Canada;1980-10-25 (Died in Office);lawyer;13942 days [38 year(s), 2 month(s), 2 day(s)];(1940-03-26 - 1965-11-07);9358 days [25 year(s), 7 month(s), 14 day(s)];(1968-04-08 - 1980-10-25);4584 days [12 year(s), 6 month(s), 18 day(s)];;
The Hon. William Daum Euler, P.C., M.P., Senator;1875-07-10;Conestogo, Ontario, Canada;1961-07-15 (Died in Office);businessman;15887 days [43 year(s), 5 month(s), 29 day(s)];(1917-12-17 - 1926-10-04)|(1926-11-02 - 1940-05-08);8151 days [22 year(s), 3 month(s), 25 day(s)];(1940-05-11 - 1961-07-15);7736 days [21 year(s), 2 month(s), 5 day(s)];;
Charles Robert Evans, M.P.;1882-09-08;Mount Forest, Ontario, Canada;1947-10-29;lumber merchant, farmer;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;;;
John Evans, M.P.;1867-06-25;Rhayader, Radnorshire, Wales;1958-01-05;farmer;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;;;
John Leslie Evans, M.P.;1941-07-12;Seattle, Washington, United States;;professor, economist;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;
Gustave Évanturel, M.P.;1879-03-19;Ottawa, Ontario, Canada;1934-02-09;notary;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;
Charles Arthur Everett, M.P.;1828-03-24;;1909-05-16;merchant, businessman;490 days [1 year(s), 4 month(s), 3 day(s)];(1885-10-20 - 1887-02-21);490 days [1 year(s), 4 month(s), 3 day(s)];;;;
The Hon. Douglas Donald Everett, Senator;1927-08-12;Vancouver, British Columbia, Canada;2018-03-27;automobile dealer, lawyer;9936 days [27 year(s), 2 month(s), 13 day(s)];;;(1966-11-08 - 1994-01-20);9936 days [27 year(s), 2 month(s), 13 day(s)];;
The Hon. John Ewasew, Q.C., Senator;1922-03-13;Grenfell, Saskatchewan, Canada;1978-03-26 (Died in Office);lawyer;465 days [1 year(s), 3 month(s), 9 day(s)];;;(1976-12-17 - 1978-03-26);465 days [1 year(s), 3 month(s), 9 day(s)];;
The Hon. Mark Eyking, P.C., M.P.;1960-08-30;Sydney, Nova Scotia, Canada;;farmer, businessman;6902 days [18 year(s), 10 month(s), 24 day(s)];(2000-11-27 - 2019-10-20);6902 days [18 year(s), 10 month(s), 24 day(s)];;;;
Doug Eyolfson, M.P.;1963;Winnipeg, Manitoba, Canada;;physician;1828 days [5 year(s), 2 day(s)];(2015-10-19 - 2019-10-20)|(2025-04-28 - );1828 days [5 year(s), 2 day(s)];;;English;
Karl Arliss Eyre, M.P.;1896-06-11;Yonge Mills, Ontario, Canada;1964-09-04;manufacturer, farmer;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];;;;
The Hon. John Trevor Eyton, Q.C., O.C., Senator;1934-07-12;Québec, Quebec, Canada;2019-02-24;lawyer, businessman;6868 days [18 year(s), 9 month(s), 20 day(s)];;;(1990-09-23 - 2009-07-12);6868 days [18 year(s), 9 month(s), 20 day(s)];;
The Hon. Hector Fabre, Senator;1834-08-09;Montreal, Quebec, Canada;1910-09-02;diplomat, editor, author, lawyer;2715 days [7 year(s), 5 month(s), 6 day(s)];;;(1875-02-05 - 1882-07-12);2715 days [7 year(s), 5 month(s), 6 day(s)];;Baptized Louis-Roch-Hector Fabre.
Samuel Factor, K.C., M.P.;1891-10-26;Russia;1962-08-21;barrister, lawyer;5432 days [14 year(s), 10 month(s), 15 day(s)];(1930-07-28 - 1935-10-13)|(1935-10-14 - 1945-06-10);5432 days [14 year(s), 10 month(s), 15 day(s)];;;;
The Hon. Joseph-Fernand Fafard, M.P., Senator;1882-08-25;L'Islet, Quebec, Canada;1955-05-14 (Died in Office);land surveyor;13663 days [37 year(s), 4 month(s), 27 day(s)];(1917-12-17 - 1935-10-13)|(1935-10-14 - 1940-01-28);8078 days [22 year(s), 1 month(s), 13 day(s)];(1940-01-29 - 1955-05-14);5585 days [15 year(s), 3 month(s), 15 day(s)];;
Meili Faille, M.P.;1972-06-18;Montreal, Quebec, Canada;;consultant, project coordinator;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;First Canadian of Taiwanese origin elected to the House of Commons.
Robert Fair, M.P.;1891-09-04;Keelognes, Ireland;1954-11-01 (Died in Office);farmer;6959 days [19 year(s), 19 day(s)];(1935-10-14 - 1953-08-09)|(1953-08-10 - 1954-11-01);6959 days [19 year(s), 19 day(s)];;;;
Charles Fairbairn, M.P.;1837-07-04;;1911-04-26;farmer, businessman;1904 days [5 year(s), 2 month(s), 17 day(s)];(1890-12-18 - 1891-12-22)|(1892-02-11 - 1896-04-24);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
The Hon. Joyce Fairbairn, P.C., C.M., Senator;1939-11-06;Lethbridge, Alberta, Canada;2022-03-29;journalist;10431 days [28 year(s), 6 month(s), 21 day(s)];;;(1984-06-29 - 2013-01-18);10431 days [28 year(s), 6 month(s), 21 day(s)];;
John Henry Fairbank, M.P.;1831-07-31;Rouse's Point, New York, United States;1914-02-10;land surveyor, oilman, insurance agent;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
The Right Hon. Ellen Louks Fairclough, P.C., M.P.;1905-01-28;Hamilton, Ontario, Canada;2004-11-13;accountant;4711 days [12 year(s), 10 month(s), 24 day(s)];(1950-05-15 - 1963-04-07);4711 days [12 year(s), 10 month(s), 24 day(s)];;;;Awarded the Order of Ontario (O.Ont.) in 1996. Recipient of the Governor General’s Awards in Commemoration of the Persons Case in 1989.
Francis Thrower Fairey, M.P.;1887-11-08;Liverpool, England;1971-11-04;teacher;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;
George Clark Fairfield, M.P.;1912-06-24;Winnipeg, Manitoba, Canada;1978-11-09;physician, surgeon;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;
Robert Gordon Lee Fairweather, Q.C., O.C., M.P.;1923-03-27;Rothesay, New Brunswick, Canada;2008-12-24;lawyer;5554 days [15 year(s), 2 month(s), 14 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1977-08-31);5554 days [15 year(s), 2 month(s), 14 day(s)];;;;
Rosemarie Falk, M.P.;;;;social worker, political assistant, legal assistant;3060 days [8 year(s), 4 month(s), 16 day(s)];(2017-12-11 - 2025-04-27)|(2025-04-28 - );3060 days [8 year(s), 4 month(s), 16 day(s)];;;English;
Ted Falk, M.P.;1960-05-23;Winnipeg, Manitoba, Canada;;president / manager, business owner;4537 days [12 year(s), 5 month(s), 2 day(s)];(2013-11-25 - );4537 days [12 year(s), 5 month(s), 2 day(s)];;;English;
The Hon. Iva Campbell Fallis, Senator;1883-06-23;Castleton, Ontario, Canada;1956-03-07 (Died in Office);homemaker, teacher;7537 days [20 year(s), 7 month(s), 19 day(s)];;;(1935-07-20 - 1956-03-07);7537 days [20 year(s), 7 month(s), 19 day(s)];;
Frank John William Fane, M.C., M.P.;1897-02-23;Beaver Lake, Alberta, Canada;1980-01-06;farmer;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;
Burt Wendell Fansher, M.P.;1880-05-06;Florence, Ontario, Canada;1941-04-01;farmer;2836 days [7 year(s), 9 month(s), 5 day(s)];(1921-12-06 - 1925-10-28)|(1926-09-14 - 1930-07-27);2836 days [7 year(s), 9 month(s), 5 day(s)];;;;
William Russell Fansher, M.P.;1876-02-26;Florence, Ontario, Canada;1957-02-28;farmer;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;;;
The Hon. Julian Fantino, P.C., M.P.;1942-08-13;Vendoglio, Italy;;police officer;1785 days [4 year(s), 10 month(s), 20 day(s)];(2010-11-29 - 2015-10-18);1785 days [4 year(s), 10 month(s), 20 day(s)];;;;Awarded the Order of Ontario (O.Ont.) in 2003.
Alphonsus Faour, M.P.;1951-11-16;Corner Brook, Newfoundland and Labrador, Canada;;lawyer;490 days [1 year(s), 4 month(s), 3 day(s)];(1978-10-16 - 1979-05-21)|(1979-05-22 - 1980-02-17);490 days [1 year(s), 4 month(s), 3 day(s)];;;;
The Hon. Thomas Farquhar, M.P., Senator;1875-01-28;Simcoe County, Ontario, Canada;1962-12-24;farmer, merchant;9846 days [26 year(s), 11 month(s), 15 day(s)];(1935-10-14 - 1948-09-09);4715 days [12 year(s), 10 month(s), 28 day(s)];(1948-09-10 - 1962-09-27);5131 days [14 year(s), 18 day(s)];;
Donald Farquharson, M.P.;1834-07-27;Mermaid, Prince Edward Island, Canada;1903-06-26 (Died in Office);businessman;528 days [1 year(s), 5 month(s), 11 day(s)];(1902-01-15 - 1903-06-26);528 days [1 year(s), 5 month(s), 11 day(s)];;;;
The Hon. Georges Farrah, P.C., M.P.;1957-08-23;Cap-aux-Meules, Quebec, Canada;;administrator;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;
The Hon. Edward Matthew Farrell, Senator;1854-03-31;Liverpool, Nova Scotia, Canada;1931-08-06 (Died in Office);printer, publisher;7877 days [21 year(s), 6 month(s), 24 day(s)];;;(1910-01-12 - 1931-08-06);7877 days [21 year(s), 6 month(s), 24 day(s)];;
The Hon. John Wallace de Beque Farris, Q.C., Senator;1878-12-03;White's Cove, New Brunswick, Canada;1970-02-25 (Died in Office);lawyer;12101 days [33 year(s), 1 month(s), 18 day(s)];;;(1937-01-09 - 1970-02-25);12101 days [33 year(s), 1 month(s), 18 day(s)];;
Thomas Farrow, M.P.;1833-03-08;Mumby, Lincoln County, England;1916-04-15;school superintendent;5246 days [14 year(s), 4 month(s), 11 day(s)];(1872-10-12 - 1882-06-19)|(1882-06-20 - 1887-02-21);5246 days [14 year(s), 4 month(s), 11 day(s)];;;;
The Hon. Ed Fast, P.C., M.P.;1955-06-18;Winnipeg, Manitoba, Canada;;lawyer;7035 days [19 year(s), 3 month(s), 4 day(s)];(2006-01-23 - 2025-04-27);7035 days [19 year(s), 3 month(s), 4 day(s)];;;;
The Hon. James Hugh Faulkner, P.C., M.P.;1933-03-09;Montreal, Quebec, Canada;2016-04-21;teacher;4943 days [13 year(s), 6 month(s), 12 day(s)];(1965-11-08 - 1979-05-21);4943 days [13 year(s), 6 month(s), 12 day(s)];;;;
The Hon. Gaspard Fauteux, P.C., M.P.;1898-08-27;Saint-Hyacinthe, Quebec, Canada;1963-03-29;dentist, industrialist;3123 days [8 year(s), 6 month(s), 18 day(s)];(1942-02-09 - 1949-06-26)|(1949-06-27 - 1950-08-28);3123 days [8 year(s), 6 month(s), 18 day(s)];;;;
The Hon. Guillaume-André Fauteux, P.C., K.C., Senator;1874-10-20;Saint-Benoît, Quebec, Canada;1940-09-10 (Died in Office);lawyer;2447 days [6 year(s), 8 month(s), 13 day(s)];;;(1933-12-30 - 1940-09-10);2447 days [6 year(s), 8 month(s), 13 day(s)];;
William LeBoutillier Fauvel, M.P.;1850-01-05;Percé, Canada East;1897-02-08 (Died in Office);merchant, shipowner;2168 days [5 year(s), 11 month(s), 7 day(s)];(1891-03-05 - 1897-02-08);2168 days [5 year(s), 11 month(s), 7 day(s)];;;;
The Hon. Guy Favreau, P.C., Q.C., M.P.;1917-05-20;Montreal, Quebec, Canada;1967-07-11;lecturer, legal counsel, lawyer;1457 days [3 year(s), 11 month(s), 26 day(s)];(1963-04-08 - 1967-04-03);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;
Norman Edward Fawcett, M.P.;1910-07-29;Adanac, Saskatchewan, Canada;1997-01-26;miner, farmer, logger, train conductor;960 days [2 year(s), 7 month(s), 17 day(s)];(1965-11-08 - 1968-06-24);960 days [2 year(s), 7 month(s), 17 day(s)];;;;
