Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;Senator;Service in Senate;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Language Preference;Notes
The Hon. Daniel Christmas, Senator;;;aboriginal leader;2248 days [6 year(s), 1 month(s), 27 day(s)];(2016-12-06 - 2023-01-31);2248 days [6 year(s), 1 month(s), 27 day(s)];;;;;Senator Christmas is the first Mi’kmaw senator to be appointed to the Senate of Canada
David Christopherson, M.P.;1954-10-05;Hamilton, Ontario, Canada;union officer, director, political assistant;5593 days [15 year(s), 3 month(s), 23 day(s)];;;(2004-06-28 - 2019-10-20);5593 days [15 year(s), 3 month(s), 23 day(s)];;;
The Hon. Charles Edward Church, M.P., Senator;1835-01-03;Tancook Island, Nova Scotia, Canada;merchant, teacher;3592 days [9 year(s), 10 month(s), 1 day(s)];(1902-02-08 - 1906-01-03);1426 days [3 year(s), 10 month(s), 26 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];1906-01-03 (Died in Office);;
Thomas Langton Church, M.P.;1873-01-30;Toronto, Ontario, Canada;barrister;8772 days [24 year(s), 6 day(s)];;;(1921-12-06 - 1925-10-28)|(1925-10-29 - 1930-07-27)|(1934-09-24 - 1935-10-13)|(1935-10-14 - 1950-02-07);8772 days [24 year(s), 6 day(s)];1950-02-07 (Died in Office);;
The Hon. Ezra Churchill, Senator;1804-05-18;Yarmouth, Nova Scotia, Canada;shipbuilder, merchant;1191 days [3 year(s), 3 month(s), 4 day(s)];(1871-02-03 - 1874-05-08);1191 days [3 year(s), 3 month(s), 4 day(s)];;;1874-05-08 (Died in Office);;
The Hon. Gordon Minto Churchill, P.C., D.S.O., M.P.;1898-11-08;Cold Water, Ontario, Canada;barrister, school principal, teacher;6210 days [17 year(s), 1 day(s)];;;(1951-06-25 - 1968-06-24);6210 days [17 year(s), 1 day(s)];1985-08-03;;
The Hon. Marie Honorius Ernest Cimon, K.C., M.P.;1849-03-30;Murray Bay, Canada East;lawyer;3071 days [8 year(s), 4 month(s), 27 day(s)];;;(1874-01-22 - 1882-06-19);3071 days [8 year(s), 4 month(s), 27 day(s)];1917-07-16;;
Simon Cimon, M.P.;1852-12-15;Murray Bay, Canada East;civil engineer;1254 days [3 year(s), 5 month(s), 6 day(s)];;;(1887-09-28 - 1891-03-04);1254 days [3 year(s), 5 month(s), 6 day(s)];1903-03-22;;
Simon Xavier Cimon, M.P.;1829-12-04;Murray Bay, Lower Canada;manufacturer, contractor, merchant;4140 days [11 year(s), 4 month(s)];;;(1867-09-20 - 1872-10-11)|(1881-03-19 - 1887-06-26);4140 days [11 year(s), 4 month(s)];1887-06-26 (Died in Office);;
Gordon Drummond Clancy, M.P.;1912-05-11;Semans, Saskatchewan, Canada;pharmacist;3739 days [10 year(s), 2 month(s), 26 day(s)];;;(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];1996-02-16;;
James Clancy, M.P.;1844-07-21;Mosa Township, Canada West;lumberman, farmer;3054 days [8 year(s), 4 month(s), 10 day(s)];;;(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];1921-01-10;;
Mary Catherine Clancy, M.P.;1948-01-13;Halifax, Nova Scotia, Canada;lawyer, consul general, diplomat;3115 days [8 year(s), 6 month(s), 10 day(s)];;;(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;
The Hon. George Adam Clare, P.C., M.P.;1854-06-06;Preston, Canada West;manufacturer, businessman;5177 days [14 year(s), 2 month(s), 3 day(s)];;;(1900-11-07 - 1915-01-09);5177 days [14 year(s), 2 month(s), 3 day(s)];1915-01-09 (Died in Office);;
The Right Hon. Charles Joseph Clark, P.C., M.P.;1939-06-05;High River, Alberta, Canada;lecturer, journalist;9051 days [24 year(s), 9 month(s), 11 day(s)];;;(1972-10-30 - 1979-05-21)|(1979-05-22 - 1993-10-24)|(2000-09-11 - 2000-11-26)|(2000-11-27 - 2004-06-27);9051 days [24 year(s), 9 month(s), 11 day(s)];;;
Hugh Clark, M.P.;1867-05-06;Kincardine Township, Canada West;editor, teacher;3729 days [10 year(s), 2 month(s), 16 day(s)];;;(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];1959-05-13;;
John Clark, M.P.;1835;Scotland;farmer;35 days [, 1 month(s), 5 day(s)];;;(1896-06-23 - 1896-07-27);35 days [, 1 month(s), 5 day(s)];1896-07-27 (Died in Office);;
BGen John Arthur Clark, Q.C., C.M.G., D.S.O., M.P.;1886-06-08;Dundas, Ontario, Canada;barrister and solicitor;3156 days [8 year(s), 7 month(s), 21 day(s)];;;(1921-12-06 - 1925-10-28)|(1925-10-29 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];1976-01-18;;
Michael Clark, M.P.;1861;Belford, Northumberland, England;farmer, physician, rancher;4789 days [13 year(s), 1 month(s), 11 day(s)];;;(1908-10-26 - 1921-12-05);4789 days [13 year(s), 1 month(s), 11 day(s)];1926-07-29;;
Stuart Murray Clark, M.P.;1899-05-22;Harrow, Ontario, Canada;manager;7910 days [21 year(s), 7 month(s), 27 day(s)];;;(1935-10-14 - 1957-06-09);7910 days [21 year(s), 7 month(s), 27 day(s)];1973-06-12;;
Walter Leland Rutherford (Lee) Clark, M.P.;1936-12-16;Davidson, Saskatchewan, Canada;professor;3807 days [10 year(s), 5 month(s), 3 day(s)];;;(1983-05-24 - 1993-10-24);3807 days [10 year(s), 5 month(s), 3 day(s)];2008-08-10;;
The Hon. William George Clark, M.P.;1865-10-01;Queensbury, New Brunswick, Canada;merchant;1625 days [4 year(s), 5 month(s), 12 day(s)];;;(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];1948-01-18;;
Alfred Henry Clarke, K.C., M.P.;1860-10-25;Manilla, Canada West;lawyer;4792 days [13 year(s), 1 month(s), 14 day(s)];;;(1904-11-03 - 1917-12-16);4792 days [13 year(s), 1 month(s), 14 day(s)];1942-01-30;;
Alupa Clarke, M.P.;1986-04-04;Québec, Quebec, Canada;reserve, armed forces personnel;1463 days [4 year(s), 2 day(s)];;;(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;
Edward Frederick Clarke, M.P.;1850-04-24;Bailieboro, County Cavan, Ireland;editor, journalist;3175 days [8 year(s), 8 month(s), 10 day(s)];;;(1896-06-23 - 1904-11-02)|(1904-11-03 - 1905-03-03);3175 days [8 year(s), 8 month(s), 10 day(s)];1905-03-03 (Died in Office);;
Harry Gladstone Clarke, M.P.;1881-06-01;Toronto, Ontario, Canada;gentleman, insurance agent;1625 days [4 year(s), 5 month(s), 12 day(s)];;;(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];1956-04-08;;
Rob Clarke, M.P.;1967-03-02;Kitimat, British Columbia, Canada;RCMP sergeant;2772 days [7 year(s), 7 month(s), 2 day(s)];;;(2008-03-17 - 2015-10-18);2772 days [7 year(s), 7 month(s), 2 day(s)];;;Member of the Muskeg Lake First Nation.
William Aurelius Clarke, M.P.;1868-11-18;Arthur, Ontario, Canada;merchant;3729 days [10 year(s), 2 month(s), 16 day(s)];;;(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];1940-02-05;;
William Hillary (Bill) Clarke, M.P.;1933-07-05;Toronto, Ontario, Canada;chartered accountant, businessman;4327 days [11 year(s), 10 month(s), 5 day(s)];;;(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;
Roger Clavet, M.P.;1953-02-08;Québec, Quebec, Canada;journalist;574 days [1 year(s), 6 month(s), 26 day(s)];;;(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;
The Hon. Brooke Claxton, P.C., M.P.;1898-08-23;Montreal, Quebec, Canada;professor (associate) - commercial law, lawyer;5241 days [14 year(s), 4 month(s), 6 day(s)];;;(1940-03-26 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1954-07-31);5241 days [14 year(s), 4 month(s), 6 day(s)];1960-06-13;;
George Clayes, M.P.;1831;New Hampshire, United States;farmer, merchant;376 days [1 year(s), 11 day(s)];;;(1887-02-22 - 1888-03-03);376 days [1 year(s), 11 day(s)];1888-03-03 (Died in Office);;
Bernard Cleary, M.P.;1937-05-08;Mashteuiatsh, Quebec, Canada;professor, journalist, chief negociator, businessman;574 days [1 year(s), 6 month(s), 26 day(s)];;;(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];2020-07-27;;First aboriginal from Quebec elected to the House of Commons.Member of the Mashteuiatsh Innu community.
Ryan Cleary, M.P.;1966-11-20;Gander, Newfoundland and Labrador, Canada;journalist, writer;1631 days [4 year(s), 5 month(s), 18 day(s)];;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;
Hughes Cleaver, M.P.;1892-09-12;Burlington, Ontario, Canada;lawyer;6510 days [17 year(s), 9 month(s), 27 day(s)];;;(1935-10-14 - 1953-08-09);6510 days [17 year(s), 9 month(s), 27 day(s)];1980-10-31;;
The Hon. Bernadette Clement, Senator;;;lawyer, mayor, city councillor;1771 days [4 year(s), 10 month(s), 6 day(s)];(2021-06-22 - );1771 days [4 year(s), 10 month(s), 6 day(s)];;;;French, English;First Black woman to serve as a mayor in Ontario.
The Hon. Tony Clement, P.C., M.P.;1961-01-27;Manchester, England;lawyer, counsel, businessman;5019 days [13 year(s), 8 month(s), 28 day(s)];;;(2006-01-23 - 2019-10-20);5019 days [13 year(s), 8 month(s), 28 day(s)];;;Stepson of John Clement, Ontario cabinet minister (1972-75).
Herbert Sylvester Clements, M.P.;1865-11-08;Dover Township, Canada West;farmer, real estate agent, broker;5182 days [14 year(s), 2 month(s), 8 day(s)];;;(1904-11-03 - 1908-10-25)|(1911-09-21 - 1917-12-16)|(1917-12-17 - 1921-12-05);5182 days [14 year(s), 2 month(s), 8 day(s)];1939-11-30;;
The Hon. Francis Clemow, Senator;1821-05-04;Trois-Rivières, Lower Canada;merchant;6323 days [17 year(s), 3 month(s), 23 day(s)];(1885-02-03 - 1902-05-28);6323 days [17 year(s), 3 month(s), 23 day(s)];;;1902-05-28 (Died in Office);;
Gaston Clermont, M.P.;1913-12-05;L'Abord-à-Plouffe, Quebec, Canada;manager, executive, businessman;5832 days [15 year(s), 11 month(s), 18 day(s)];;;(1960-10-31 - 1963-04-07)|(1965-11-08 - 1968-06-24)|(1968-06-25 - 1979-05-21);5832 days [15 year(s), 11 month(s), 18 day(s)];2005-01-12;;
Clarence Chester Cleveland, M.P.;1849-09-14;Danville, Canada East;manufacturer, farmer;1937 days [5 year(s), 3 month(s), 20 day(s)];;;(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];1907-01-06;;
Lawson Omar Clifford, M.P.;1878-06-22;Oshawa, Ontario, Canada;farmer, fruit grower, rancher;1423 days [3 year(s), 10 month(s), 23 day(s)];;;(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];1937-12-07;;
Terrence (Terry) Clifford, C.M., M.P.;1938-11-12;Acton, Ontario, Canada;educator, school principal;3338 days [9 year(s), 1 month(s), 21 day(s)];;;(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;
J. Roger Clinch, M.P.;1947-01-08;Bathurst, New Brunswick, Canada;school administrator, school principal;1539 days [4 year(s), 2 month(s), 17 day(s)];;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;
The Hon. Henry Joseph Cloran, K.C., Senator;1855-05-08;Montreal, Quebec, Canada;professor, editor, lawyer;8990 days [24 year(s), 7 month(s), 11 day(s)];(1903-06-30 - 1928-02-08);8990 days [24 year(s), 7 month(s), 11 day(s)];;;1928-02-08 (Died in Office);;
Hector Daniel (Hec) Clouthier, M.P.;1949-10-18;Pembroke, Ontario, Canada;consultant, businessman;1274 days [3 year(s), 5 month(s), 26 day(s)];;;(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;
Armand Cloutier, M.P.;1901-12-30;Manchester, New Hampshire, United States;paymaster, accountant;6285 days [17 year(s), 2 month(s), 15 day(s)];;;(1940-03-26 - 1957-06-09);6285 days [17 year(s), 2 month(s), 15 day(s)];1982-02-14;;
Sidney LeRoi Clunis, , M.P.;1911-04-22;Blenheim, Ontario, Canada;lawyer;294 days [, 9 month(s), 20 day(s)];;;(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];1975-11-07;;
William Cluxton, M.P.;1819-03-31;Dundalk, County Louth, Ireland;businessman;467 days [1 year(s), 3 month(s), 11 day(s)];;;(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];1901-02-16;;
Siobhan Coady, M.P.;1960-11-11;Grand Falls-Windsor, Newfoundland and Labrador, Canada;business executive, businesswoman;930 days [2 year(s), 6 month(s), 17 day(s)];;;(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;
The Hon. Robert Carman Coates, P.C., Q.C., M.P.;1928-03-10;Amherst, Nova Scotia, Canada;barrister, author, lawyer;11487 days [31 year(s), 5 month(s), 12 day(s)];;;(1957-06-10 - 1968-06-24)|(1968-06-25 - 1979-05-21)|(1979-05-22 - 1988-11-20);11487 days [31 year(s), 5 month(s), 12 day(s)];2016-01-11;;
Emerson Coatsworth, K.C., M.P.;1854-03-09;Toronto, Ontario, Canada;lawyer;1937 days [5 year(s), 3 month(s), 20 day(s)];;;(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];1943-05-11;;
